onset	duration	trial_type	response_time	stim_file
6.0215	3	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
12.055	2.9998	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
15.071	3.0001	face3r3ext_st	N/A	face3r3ext_st.mat
18.088	3.0001.1	animal2r3ext_st	N/A	animal2r3ext_st.mat
21.105	3.0001.2	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
24.121	3.1	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
27.138	3.2	animal2r4ext_st	N/A	animal2r4ext_st.mat
30.155	3.3	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
33.171	3.4	face2r5ext_st	N/A	face2r5ext_st.mat
36.188	3.0001.3	animal3r1ext_st	N/A	animal3r1ext_st.mat
39.205	3.5	fruits5r3ext_st	N/A	fruits5r3ext_st.mat
42.221	3.6	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
45.238	3.0001.4	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
51.271	2.9999	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
54.288	3.7	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
60.321	2.9998.1	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
63.338	3.8	face4r2ext_st	N/A	face4r2ext_st.mat
69.371	2.9999.1	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
72.388	3.9	face4r1ext_st	N/A	face4r1ext_st.mat
75.405	3.0001.5	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
78.421	3.0001.6	animal4r4ext_st	N/A	animal4r4ext_st.mat
81.438	3.10	animal4r2ext_st	N/A	animal4r2ext_st.mat
84.454	3.11	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
87.471	3.0001.7	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
90.488	3.12	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
96.521	2.9999.2	animal5r2ext_st	N/A	animal5r2ext_st.mat
99.538	3.13	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
102.55	3.14	face5r4ext_st	N/A	face5r4ext_st.mat
105.57	3.15	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
111.6	2.9999.3	chairs4r2ext_st	N/A	chairs4r2ext_st.mat
114.62	3.0001.8	chairs1r4ext_st	N/A	chairs1r4ext_st.mat
117.64	3.0001.9	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
120.65	3.16	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
126.69	3.17	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
129.7	3.18	animal5r5ext_st	N/A	animal5r5ext_st.mat
132.72	3.19	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
138.75	2.9999.4	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
141.77	3.0001.10	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
147.8	2.9998.2	animal5r4ext_st	N/A	animal5r4ext_st.mat
150.82	3.20	animal3r4ext_st	N/A	animal3r4ext_st.mat
153.84	3.21	animal1r2ext_st	N/A	animal1r2ext_st.mat
156.85	3.0001.11	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
162.89	2.9999.5	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
165.9	3.22	animal1r4ext_st	N/A	animal1r4ext_st.mat
168.92	3.0001.12	face4r3ext_st	N/A	face4r3ext_st.mat
174.95	3.23	animal4r3ext_st	N/A	animal4r3ext_st.mat
180.99	2.9999.6	animal4r5ext_st	N/A	animal4r5ext_st.mat
184	3.24	face2r4ext_st	N/A	face2r4ext_st.mat
190.04	2.9999.7	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
193.05	3.25	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
199.09	2.9997	face5r1ext_st	N/A	face5r1ext_st.mat
202.1	3.0001.13	fruits4r2ext_st	N/A	fruits4r2ext_st.mat
205.12	3.26	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
208.14	3.0001.14	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
211.15	3.0001.15	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
214.17	3.27	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
217.19	3.28	face1r3ext_st	N/A	face1r3ext_st.mat
220.2	3.29	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
223.22	3.0001.16	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
229.25	2.9999.8	animal5r1ext_st	N/A	animal5r1ext_st.mat
232.27	3.30	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
235.29	3.0001.17	face2r3ext_st	N/A	face2r3ext_st.mat
238.3	3.31	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
244.34	2.9999.9	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
250.37	2.9999.10	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
256.4	2.9999.11	face1r2ext_st	N/A	face1r2ext_st.mat
259.42	3.32	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
262.44	3.0001.18	face1r1ext_st	N/A	face1r1ext_st.mat
