onset	duration	trial_type	response_time	stim_file
6.0186	2.9997	face4r2ext_st	N/A	face4r2ext_st.mat
12.052	2.9998	face3r4ext_st	N/A	face3r4ext_st.mat
18.085	2.9998.1	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
21.102	3	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
24.118	3.1	vehicle1r2ext_st	N/A	vehicle1r2ext_st.mat
27.135	3.2	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
33.168	2.9998.2	face5r2ext_st	N/A	face5r2ext_st.mat
36.185	3.3	fruits4r3ext_st	N/A	fruits4r3ext_st.mat
39.202	3.0001	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
42.218	3.4	chairs5r2ext_st	N/A	chairs5r2ext_st.mat
45.235	3.5	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
48.252	3.0001.1	fruits5r1ext_st	N/A	fruits5r1ext_st.mat
51.268	3.6	face4r3ext_st	N/A	face4r3ext_st.mat
57.302	2.9997.1	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
63.335	2.9998.3	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
66.351	3.7	vehicle5r4ext_st	N/A	vehicle5r4ext_st.mat
69.368	3.0001.2	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
75.402	2.9999	animal4r2ext_st	N/A	animal4r2ext_st.mat
78.418	3.8	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
81.435	3.9	fruits1r2ext_st	N/A	fruits1r2ext_st.mat
84.451	3.10	vehicle4r4ext_st	N/A	vehicle4r4ext_st.mat
87.468	3.0001.3	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
90.485	3.0001.4	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
93.501	3.0001.5	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
99.535	2.9999.1	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
102.55	3.11	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
105.57	3.0001.6	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
111.6	2.9999.2	face1r1ext_st	N/A	face1r1ext_st.mat
114.62	3.12	fruits2r2ext_st	N/A	fruits2r2ext_st.mat
117.63	3.13	animal4r5ext_st	N/A	animal4r5ext_st.mat
120.65	3.14	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
123.67	3.0001.7	animal5r3ext_st	N/A	animal5r3ext_st.mat
126.68	2.9999.3	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
129.7	3.15	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
135.73	2.9999.4	face3r3ext_st	N/A	face3r3ext_st.mat
138.75	3.0001.8	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
144.78	2.9999.5	animal5r4ext_st	N/A	animal5r4ext_st.mat
147.8	3.16	face3r1ext_st	N/A	face3r1ext_st.mat
150.82	3.0001.9	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
153.83	3.0001.10	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
159.87	2.9999.6	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
162.88	3.17	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
168.92	2.9998.4	animal4r3ext_st	N/A	animal4r3ext_st.mat
171.93	3.18	face1r4ext_st	N/A	face1r4ext_st.mat
174.95	3.19	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
177.97	2.9999.7	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
180.98	3.20	animal2r5ext_st	N/A	animal2r5ext_st.mat
184	3.0001.11	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
187.02	3.21	fruits3r5ext_st	N/A	fruits3r5ext_st.mat
190.03	3.22	chairs4r3ext_st	N/A	chairs4r3ext_st.mat
196.07	2.9999.8	face1r5ext_st	N/A	face1r5ext_st.mat
199.08	3.23	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
