onset	duration	trial_type	response_time	stim_file
6.0106	2.9999	chairs3r2ext_st	N/A	chairs3r2ext_st.mat
9.0271	3	chairs1r5ext_st	N/A	chairs1r5ext_st.mat
12.044	3.0001	chairs4r5ext_st	N/A	chairs4r5ext_st.mat
15.06	3.1	chairs2r2ext_st	N/A	chairs2r2ext_st.mat
18.077	3.2	vehicle5r1ext_st	N/A	vehicle5r1ext_st.mat
21.094	3.0001.1	face2r2ext_st	N/A	face2r2ext_st.mat
24.11	3.0001.2	animal4r3ext_st	N/A	animal4r3ext_st.mat
27.127	3.0001.3	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
30.144	3.0001.4	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
33.16	3.0001.5	chairs3r1ext_st	N/A	chairs3r1ext_st.mat
39.194	2.9999.1	chairs3r4ext_st	N/A	chairs3r4ext_st.mat
45.227	2.9998	animal2r1ext_st	N/A	animal2r1ext_st.mat
51.26	2.9999.2	chairs2r4ext_st	N/A	chairs2r4ext_st.mat
54.277	3.0001.6	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
57.294	3.3	fruits1r1ext_st	N/A	fruits1r1ext_st.mat
60.31	3.4	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
63.327	3.5	face3r3ext_st	N/A	face3r3ext_st.mat
69.36	2.9999.3	animal1r4ext_st	N/A	animal1r4ext_st.mat
72.377	3.0001.7	animal2r5ext_st	N/A	animal2r5ext_st.mat
75.394	3.0001.8	animal4r2ext_st	N/A	animal4r2ext_st.mat
81.427	3.6	vehicle4r2ext_st	N/A	vehicle4r2ext_st.mat
84.444	3.0001.9	fruits3r4ext_st	N/A	fruits3r4ext_st.mat
90.477	2.9999.4	face4r1ext_st	N/A	face4r1ext_st.mat
96.51	3.7	face5r4ext_st	N/A	face5r4ext_st.mat
99.527	3.8	face2r3ext_st	N/A	face2r3ext_st.mat
102.54	3.9	vehicle3r3ext_st	N/A	vehicle3r3ext_st.mat
105.56	3.0001.10	vehicle2r1ext_st	N/A	vehicle2r1ext_st.mat
108.58	3.0001.11	chairs1r1ext_st	N/A	chairs1r1ext_st.mat
111.59	3.0001.12	face5r1ext_st	N/A	face5r1ext_st.mat
114.61	3.0001.13	animal5r2ext_st	N/A	animal5r2ext_st.mat
117.63	3.0001.14	vehicle1r3ext_st	N/A	vehicle1r3ext_st.mat
120.64	3.10	animal1r1ext_st	N/A	animal1r1ext_st.mat
126.68	2.9999.5	fruits3r1ext_st	N/A	fruits3r1ext_st.mat
129.69	3.11	animal2r4ext_st	N/A	animal2r4ext_st.mat
135.73	2.9999.6	animal3r5ext_st	N/A	animal3r5ext_st.mat
138.74	3.0001.15	animal5r4ext_st	N/A	animal5r4ext_st.mat
141.76	3.0001.16	animal2r3ext_st	N/A	animal2r3ext_st.mat
144.78	3.0001.17	fruits3r2ext_st	N/A	fruits3r2ext_st.mat
150.81	2.9999.7	face5r5ext_st	N/A	face5r5ext_st.mat
156.84	2.9999.8	chairs3r3ext_st	N/A	chairs3r3ext_st.mat
159.86	3.12	fruits2r3ext_st	N/A	fruits2r3ext_st.mat
162.88	3.0001.18	vehicle1r4ext_st	N/A	vehicle1r4ext_st.mat
168.91	2.9999.9	animal2r2ext_st	N/A	animal2r2ext_st.mat
171.93	3.0001.19	vehicle3r4ext_st	N/A	vehicle3r4ext_st.mat
174.94	3.0001.20	chairs5r5ext_st	N/A	chairs5r5ext_st.mat
177.96	3.0001.21	fruits2r4ext_st	N/A	fruits2r4ext_st.mat
180.98	3.0001.22	fruits5r4ext_st	N/A	fruits5r4ext_st.mat
183.99	3.13	vehicle1r5ext_st	N/A	vehicle1r5ext_st.mat
190.03	2.9999.10	fruits5r5ext_st	N/A	fruits5r5ext_st.mat
193.04	3.14	animal5r1ext_st	N/A	animal5r1ext_st.mat
196.06	3.15	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
199.08	3.16	animal4r4ext_st	N/A	animal4r4ext_st.mat
205.11	2.9999.11	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
208.13	3.17	chairs2r5ext_st	N/A	chairs2r5ext_st.mat
214.16	2.9999.12	chairs2r1ext_st	N/A	chairs2r1ext_st.mat
217.18	3.18	face3r2ext_st	N/A	face3r2ext_st.mat
220.19	3.0001.23	vehicle4r1ext_st	N/A	vehicle4r1ext_st.mat
223.21	3.19	animal1r5ext_st	N/A	animal1r5ext_st.mat
229.24	2.9999.13	vehicle3r2ext_st	N/A	vehicle3r2ext_st.mat
232.26	3.20	animal3r2ext_st	N/A	animal3r2ext_st.mat
235.28	3.0001.24	vehicle3r5ext_st	N/A	vehicle3r5ext_st.mat
241.31	2.9999.14	face1r1ext_st	N/A	face1r1ext_st.mat
244.33	3.0001.25	vehicle5r2ext_st	N/A	vehicle5r2ext_st.mat
247.34	3.0001.26	chairs5r1ext_st	N/A	chairs5r1ext_st.mat
250.36	3.21	face3r4ext_st	N/A	face3r4ext_st.mat
253.38	3.0001.27	vehicle2r5ext_st	N/A	vehicle2r5ext_st.mat
256.39	3.0002	animal5r3ext_st	N/A	animal5r3ext_st.mat
259.41	3.22	face1r4ext_st	N/A	face1r4ext_st.mat
262.43	3.23	face4r2ext_st	N/A	face4r2ext_st.mat
268.46	2.9998.1	face3r1ext_st	N/A	face3r1ext_st.mat
274.49	2.9999.15	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
280.53	2.9998.2	animal1r2ext_st	N/A	animal1r2ext_st.mat
283.54	3.0001.28	fruits1r3ext_st	N/A	fruits1r3ext_st.mat
286.56	3.0001.29	vehicle1r1ext_st	N/A	vehicle1r1ext_st.mat
289.58	3.24	fruits4r5ext_st	N/A	fruits4r5ext_st.mat
292.59	3.0001.30	chairs4r4ext_st	N/A	chairs4r4ext_st.mat
295.61	3.25	chairs1r3ext_st	N/A	chairs1r3ext_st.mat
298.63	3.26	fruits4r4ext_st	N/A	fruits4r4ext_st.mat
304.66	2.9999.16	face1r5ext_st	N/A	face1r5ext_st.mat
307.68	3.0001.31	face5r3ext_st	N/A	face5r3ext_st.mat
313.71	2.9999.17	animal3r1ext_st	N/A	animal3r1ext_st.mat
316.73	3.0001.32	fruits1r4ext_st	N/A	fruits1r4ext_st.mat
319.74	3.27	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
