onset	duration	trial	value	instruction
12684	5	1	1	rest
17611	2	1	2	ready
19606	6	1	3	task
25605	3	1	4	interval
28156	4	2	1	rest
32604	2	2	2	ready
34606	6	2	3	task
40602	3	2	4	interval
43170	4	3	1	rest
47609	2	3	2	ready
49606	6	3	3	task
55605	3	3	4	interval
58155	5	4	1	rest
62613	2	4	2	ready
64604	6	4	3	task
70603	3	4	4	interval
73136	5	5	1	rest
77607	2	5	2	ready
79607	6	5	3	task
85606	3	5	4	interval
88074	5	6	1	rest
92611	2	6	2	ready
94606	6	6	3	task
100607	3	6	4	interval
103147	5	7	1	rest
107604	2	7	2	ready
109603	6	7	3	task
115607	3	7	4	interval
118149	5	8	1	rest
122612	2	8	2	ready
124605	6	8	3	task
130604	3	8	4	interval
133066	5	9	1	rest
137604	2	9	2	ready
139606	6	9	3	task
145620	3	9	4	interval
148079	5	10	1	rest
152612	2	10	2	ready
154601	6	10	3	task
160608	3	10	4	interval
