onset	duration	sample	value	trial_type
2.0000000000	n/a	2000	7	DUCK
7.5010000000	n/a	7501	9	SOCK
13.0020000000	n/a	13002	210	DOG
18.5030000000	n/a	18503	210	DOG
24.0040000000	n/a	24004	14	LADDER
29.5050000000	n/a	29505	20	HIPPOPOT
35.0060000000	n/a	35006	16	ZIPPER
40.5070000000	n/a	40507	12	CRAB
46.0080000000	n/a	46008	11	HEART
51.5090000000	n/a	51509	32	FOX
57.0100000000	n/a	57010	8	KITE
62.5110000000	n/a	62511	30	APPLE
68.0120000000	n/a	68012	1	BEE
73.5130000000	n/a	73513	35	SUN
79.0140000000	n/a	79014	210	DOG
84.5150000000	n/a	84515	210	DOG
90.0160000000	n/a	90016	6	DESK
95.5170000000	n/a	95517	17	FLOWER
101.0180000000	n/a	101018	2	CAMERA
106.5190000000	n/a	106519	34	SNAKE
112.0200000000	n/a	112020	10	KEY
117.5210000000	n/a	117521	21	KANGAROO
123.0220000000	n/a	123022	31	PYRAMID
128.5230000000	n/a	128523	37	STOOL
134.0240000000	n/a	134024	210	DOG
139.5250000000	n/a	139525	210	DOG
145.0260000000	n/a	145026	3	AIRPLANE
150.5270000000	n/a	150527	210	DOG
156.0280000000	n/a	156028	210	DOG
161.5290000000	n/a	161529	28	ROLLERSK
167.0300000000	n/a	167030	13	SPOON
172.5310000000	n/a	172531	19	HARP
178.0320000000	n/a	178032	210	DOG
183.5330000000	n/a	183533	24	HAND
189.0340000000	n/a	189034	210	DOG
194.5350000000	n/a	194535	15	SNAIL
200.0360000000	n/a	200036	40	GLASS
205.5370000000	n/a	205537	210	DOG
211.0380000000	n/a	211038	210	DOG
216.5390000000	n/a	216539	26	BIRD
222.0400000000	n/a	222040	5	CANDLE
227.5410000000	n/a	227541	210	DOG
233.0420000000	n/a	233042	4	BANANA
238.5430000000	n/a	238543	23	LADLE
244.0440000000	n/a	244044	27	BASKET
249.5450000000	n/a	249545	38	SPIDERWE
255.0460000000	n/a	255046	210	DOG
260.5470000000	n/a	260547	33	ROLLINGP
266.0480000000	n/a	266048	18	GORILLA
271.5490000000	n/a	271549	25	MOTORCYC
277.0500000000	n/a	277050	29	CLOTHESP
282.5510000000	n/a	282551	39	RECORDPL
288.0520000000	n/a	288052	22	LIPS
293.5530000000	n/a	293553	36	TABLE
299.0540000000	n/a	299054	77	TELEPHON
304.5550000000	n/a	304555	73	RHINOCER
