onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0357	6	active_change	correct	1.8109000000000002	right
24.0521	6	active_change	correct	1.3413000000000004	right
30.0603	6	active_nochange	incorrect	1.322899999999997	right
40.0768	6	passive	n/a	1.829100000000004	right
46.085	6	active_change	correct	2.0936999999999983	right
56.1015	6	active_nochange	correct	1.2800000000000011	left
64.118	6	active_change	correct	1.2323000000000093	right
70.1262	6	active_nochange	miss	n/a	right
76.1344	6	active_change	correct	1.681600000000003	right
82.1426	6	active_change	correct	1.3401999999999958	right
90.1591	6	active_nochange	correct	1.211500000000001	left
96.1673	6	active_nochange	correct	1.5610999999999962	left
104.1838	6	active_nochange	correct	1.3074000000000012	left
110.192	6	passive	n/a	1.5561000000000007	right
116.2002	6	active_change	correct	1.6017000000000081	right
122.2084	6	active_nochange	correct	1.3153999999999968	left
130.2249	6	passive	n/a	2.056600000000003	right
138.2414	6	active_nochange	correct	1.4069000000000074	left
144.2496	6	active_nochange	correct	1.8135000000000048	left
154.2661	6	active_nochange	miss	n/a	right
160.2743	6	passive	n/a	1.6263999999999896	left
166.2825	6	passive	n/a	1.4251000000000147	right
176.299	6	active_change	correct	1.3112999999999886	right
184.3155	6	active_change	correct	1.7536000000000058	right
192.332	6	active_nochange	correct	1.6259000000000015	left
198.3402	6	active_change	correct	1.4605999999999995	right
208.3566	6	passive	n/a	1.9439000000000135	left
214.3648	6	active_nochange	correct	1.552500000000009	left
220.3731	6	active_change	miss	n/a	right
226.3813	6	active_change	incorrect	1.6596999999999866	left
232.3895	6	active_nochange	correct	1.2613000000000056	left
242.4059	6	active_change	incorrect	1.551700000000011	left
248.4141	6	active_change	correct	1.547300000000007	right
256.4306	6	active_change	correct	1.8555999999999813	right
262.4389	6	active_change	incorrect	1.8070999999999913	left
268.4471	6	active_nochange	miss	n/a	right
276.4636	6	passive	miss	n/a	right
284.4801	6	passive	n/a	1.9084000000000287	left
300.4964	6	active_nochange	correct	1.3057000000000016	left
306.5046	6	active_nochange	correct	1.2642999999999915	left
