onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0393	6	active_change	correct	2.084199999999999	right
24.0558	6	active_change	incorrect	1.5703999999999994	left
30.064	6	active_nochange	correct	1.4421	left
40.0804	6	passive	n/a	1.4894000000000034	left
46.0886	6	active_change	correct	1.7051000000000016	right
56.1051	6	active_nochange	correct	1.6073000000000022	left
64.1216	6	active_change	correct	1.6355999999999966	right
70.1298	6	active_nochange	incorrect	1.5921999999999912	right
76.138	6	active_change	correct	1.6289000000000016	right
82.1462	6	active_change	correct	1.8645000000000067	right
90.1627	6	active_nochange	correct	1.5138000000000034	left
96.1709	6	active_nochange	correct	1.2574999999999932	left
104.1874	6	active_nochange	incorrect	1.8367000000000075	right
110.1956	6	passive	n/a	1.9043999999999954	left
116.2039	6	active_change	correct	1.5888999999999953	right
122.2121	6	active_nochange	correct	1.7395999999999958	left
130.2286	6	passive	n/a	1.6768999999999892	left
138.2451	6	active_nochange	correct	1.6520999999999901	left
144.2533	6	active_nochange	incorrect	1.6208000000000027	right
154.2697	6	active_nochange	correct	1.504099999999994	left
160.2779	6	passive	n/a	1.4668000000000063	right
166.2861	6	passive	n/a	1.6573999999999955	left
176.3026	6	active_change	correct	1.5865999999999758	right
184.3191	6	active_change	correct	1.7419000000000153	right
192.3356	6	active_nochange	correct	1.7711999999999932	left
198.3438	6	active_change	incorrect	1.6609000000000265	left
208.3603	6	passive	n/a	0.48910000000000764	right
214.3685	6	active_nochange	correct	1.4586999999999932	left
220.3767	6	active_change	incorrect	1.6513999999999953	left
226.3849	6	active_change	incorrect	2.1570000000000107	left
232.3931	6	active_nochange	miss	n/a	right
242.4096	6	active_change	correct	0.033999999999991815	right
248.4178	6	active_change	correct	1.5074999999999932	right
256.4343	6	active_change	correct	1.258800000000008	right
262.4425	6	active_change	correct	1.47950000000003	right
268.4507	6	active_nochange	incorrect	1.4361000000000104	right
276.4672	6	passive	n/a	1.6913999999999874	right
284.4837	6	passive	miss	n/a	left
300.5	6	active_nochange	incorrect	1.5810000000000173	right
306.5082	6	active_nochange	miss	n/a	n/a
