onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0388	6	active_change	correct	1.2148000000000003	right
24.0552	6	active_change	correct	1.3291000000000004	right
30.0634	6	active_nochange	correct	1.3726999999999983	left
40.0799	6	passive	n/a	1.5518999999999963	right
46.0881	6	active_change	correct	1.5106000000000037	right
56.1045	6	active_nochange	correct	1.3119000000000014	left
64.121	6	active_change	correct	1.5482000000000085	right
70.1292	6	active_nochange	correct	1.403800000000004	left
76.1374	6	active_change	correct	1.471500000000006	right
82.1456	6	active_change	correct	1.6661000000000001	right
90.1622	6	active_nochange	correct	1.3333000000000084	left
96.1704	6	active_nochange	correct	1.3689999999999998	left
104.1869	6	active_nochange	correct	1.4882000000000062	left
110.1951	6	passive	n/a	1.390900000000002	right
116.2033	6	active_change	correct	1.2865000000000038	right
122.2115	6	active_nochange	incorrect	1.5472000000000037	right
130.228	6	passive	n/a	1.4864999999999782	right
138.2445	6	active_nochange	correct	1.406800000000004	left
144.2527	6	active_nochange	correct	1.1954000000000065	left
154.2692	6	active_nochange	correct	1.4715999999999951	left
160.2774	6	passive	n/a	1.337299999999999	right
166.2856	6	passive	n/a	1.3899000000000115	left
176.302	6	active_change	correct	1.5811999999999955	right
184.3185	6	active_change	correct	1.2726000000000113	right
192.335	6	active_nochange	correct	1.6467999999999847	left
198.3432	6	active_change	incorrect	1.5815000000000055	left
208.3597	6	passive	n/a	1.4236999999999966	left
214.3679	6	active_nochange	correct	1.409400000000005	left
220.3761	6	active_change	incorrect	1.282999999999987	left
226.3843	6	active_change	correct	1.6216000000000008	right
232.3925	6	active_nochange	correct	1.644299999999987	left
242.409	6	active_change	correct	1.5165000000000077	right
248.4172	6	active_change	correct	1.5571999999999946	right
256.4337	6	active_change	correct	1.2775000000000318	right
262.4419	6	active_change	correct	1.4441000000000486	right
268.4501	6	active_nochange	correct	1.317799999999977	left
276.4666	6	passive	n/a	1.5269999999999868	left
284.4831	6	passive	n/a	1.4723000000000184	left
300.4994	6	active_nochange	correct	2.146600000000035	left
306.5077	6	active_nochange	correct	1.2950999999999908	left
