onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
431.38199842	5.0	PredictScram	prediction	2.0	4.8	0.30475	13.0	n/a	n/a	3	3.0	1.0	0.0	1.0	1.0	61.0	408.0	0.0	0.00389842	-0.01561206
436.37849000000006	5.0	Prediction	prediction	1.0	4.8	0.10035	13.0	n/a	n/a	3	1.0	1.0	0.0	2.0	1.0	61.0	413.0	5.0	5.00039	4.984693
441.3784	5.0	PredictViol	prediction	2.0	4.8	0.090261	13.0	n/a	n/a	3	2.0	1.0	0.0	3.0	1.0	61.0	418.0	10.0	10.0003	9.984407
446.3784	5.0	PredictScram	prediction	2.0	4.8	0.44474	13.0	n/a	n/a	3	3.0	1.0	0.0	4.0	1.0	61.0	423.0	15.0	15.0003	14.98385
451.3789	5.0	PredictViol	prediction	2.0	4.8	0.65517	13.0	n/a	n/a	3	2.0	1.0	0.0	5.0	1.0	61.0	428.0	20.0	20.0008	19.98481
456.3793	5.0	Prediction	prediction	1.0	4.8	0.44364	13.0	n/a	n/a	3	1.0	0.0	0.0	6.0	1.0	61.0	433.0	25.0	25.0012	24.98414
461.29272923800005	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
466.29272923800005	30.0	PermutedRules	CPRO	1.0	7.2	0.50689	14.0	n/a	n/a	3	1.0	1.0	0.0	1.0	1.0	61.0	443.0	0.0	2.9238e-05	-0.01683053
473.79349	30.0	PermutedRules	CPRO	2.0	7.2	0.4878	14.0	n/a	n/a	3	1.0	1.0	0.0	2.0	1.0	61.0	450.0	7.5	7.5007899999999985	6.9846270000000015
481.2937	30.0	PermutedRules	CPRO	2.0	7.2	1.3549	14.0	n/a	n/a	3	1.0	0.0	1.0	3.0	1.0	61.0	458.0	15.0	15.001	14.98463
488.7939	30.0	PermutedRules	CPRO	1.0	7.2	0.55388	14.0	n/a	n/a	3	1.0	1.0	0.0	4.0	1.0	61.0	465.0	22.5	22.5012	21.98578
496.240644759	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
501.240644759	15.0	VideoActions	actionObservation2	n/a	14.0	n/a	15.0	n/a	n/a	3	1.0	n/a	n/a	1.0	n/a	61.0	478.0	0.0	4.4759e-05	-0.09372999
516.305	15.0	VideoKnots	actionObservation2	n/a	14.0	n/a	15.0	n/a	n/a	3	2.0	n/a	n/a	2.0	n/a	61.0	490.0	15.0	15.0644	11.91548
531.238334805	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
536.238334805	30.0	NatureMovie	natureMovie	n/a	29.9	n/a	16.0	n/a	n/a	3	1.0	n/a	n/a	1.0	n/a	61.0	504.0	0.0	3.4805e-05	-0.08406295
566.102732897	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
571.102732897	30.0	SpatialImagery	spatialNavigation2	n/a	30.0	n/a	17.0	n/a	n/a	3	1.0	n/a	n/a	1.0	n/a	61.0	510.0	0.0	3.2897e-05	-0.0186453
