onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4273	1.6000	dynamic	25	1	0	89	44	159.4737
8.0104	1.6000	dynamic	25	1	0	89	92	76.9737
12.5937	1.6000	dynamic	25	1	0	89	70	84.8684
17.1600	1.6000	dynamic	25	1	1	198	188	63.1579
21.7431	1.6000	dynamic	25	0	0	198	163	167.3684
26.3258	1.6000	dynamic	25	0	0	198	151	156.3158
30.9089	1.6000	dynamic	25	1	1	237	296	157.5000
35.5257	1.6000	dynamic	25	1	0	237	233	263.2895
40.0916	1.6000	dynamic	25	1	0	237	198	231.7105
44.6747	1.6000	dynamic	25	0	0	237	239	203.6842
49.2580	1.6000	dynamic	25	1	0	237	194	215.9211
53.8410	1.6000	dynamic	25	1	0	237	293	191.4474
58.4240	1.6000	dynamic	25	0	0	237	199	230.5263
63.0068	1.6000	dynamic	25	1	0	237	232	207.6316
67.5902	1.6000	dynamic	25	1	0	237	233	226.5789
72.1729	1.6000	dynamic	25	1	0	237	223	223.8158
76.7563	1.6000	dynamic	25	0	0	237	267	206.8421
81.3389	1.6000	dynamic	25	0	0	237	260	215.9211
85.9249	1.6000	dynamic	25	1	0	237	248	226.9737
90.5217	1.6000	dynamic	25	1	1	45	26	235.6579
95.1047	1.6000	dynamic	25	0	0	45	67	66.3158
99.6877	1.6000	dynamic	25	0	0	45	38	58.8158
104.2708	1.6000	dynamic	25	1	0	45	48	53.6842
108.8563	1.6000	dynamic	25	1	0	45	34	35.9211
113.4562	1.6000	dynamic	25	1	0	45	44	35.9211
118.0533	1.6000	dynamic	25	1	1	230	228	35.5263
122.6363	1.6000	dynamic	25	0	0	230	229	204.8684
127.2361	1.6000	dynamic	25	0	0	230	260	204.4737
131.8218	1.6000	dynamic	25	0	0	230	222	209.2105
136.4188	1.6000	dynamic	25	0	0	230	258	209.2105
141.0185	1.6000	dynamic	25	1	0	230	210	215.1316
145.6015	1.6000	dynamic	25	1	1	35	26	207.6316
150.2012	1.6000	dynamic	25	1	0	35	75	63.9474
154.8013	1.6000	dynamic	25	0	0	35	23	69.8684
159.4173	1.6000	dynamic	25	1	0	35	26	63.1579
164.0173	1.6000	dynamic	25	0	1	227	205	56.4474
168.6171	1.6000	dynamic	25	1	0	227	219	134.6053
173.2168	1.6000	dynamic	25	0	0	227	190	202.1053
177.8161	1.6000	dynamic	25	0	0	227	222	181.5789
182.3992	1.6000	dynamic	25	0	0	227	196	173.6842
186.9821	1.6000	dynamic	25	1	0	227	222	159.4737
191.5817	1.6000	dynamic	25	0	0	227	204	167.3684
196.1817	1.6000	dynamic	25	1	0	227	216	173.6842
200.7814	1.6000	dynamic	25	0	0	227	186	194.6053
205.3814	1.6000	dynamic	25	0	0	227	283	185.1316
209.9808	1.6000	dynamic	25	0	0	227	233	196.5789
214.5808	1.6000	dynamic	25	1	0	227	209	206.8421
219.1805	1.6000	dynamic	25	0	0	227	248	205.2632
223.7799	1.6000	dynamic	25	1	1	212	201	204.8684
228.3629	1.6000	dynamic	25	0	0	212	213	196.5789
232.9626	1.6000	dynamic	25	1	0	212	251	200.1316
237.5623	1.6000	dynamic	25	0	0	212	188	219.0789
242.2619	1.6000	dynamic	25	0	0	212	206	201.7105
246.8619	1.6000	dynamic	25	1	0	212	185	202.1053
251.4618	1.6000	dynamic	25	0	0	212	250	175.2632
256.0614	1.6000	dynamic	25	1	1	267	271	195.3947
260.6635	1.6000	dynamic	25	0	0	267	218	226.5789
265.2776	1.6000	dynamic	25	0	0	267	285	221.4474
269.8773	1.6000	dynamic	25	1	0	267	235	231.7105
274.4766	1.6000	dynamic	25	0	0	267	271	226.5789
279.0767	1.6000	dynamic	25	1	0	267	259	235.6579
283.6930	1.6000	dynamic	25	1	0	267	257	252.6316
288.3091	1.6000	dynamic	25	0	0	267	250	256.1842
292.9424	1.6000	dynamic	25	0	0	267	277	251.8421
297.5421	1.6000	dynamic	25	0	0	267	264	259.3421
302.1418	1.6000	dynamic	25	1	0	267	247	258.9474
306.7581	1.6000	dynamic	25	1	0	267	225	246.7105
311.3578	1.6000	dynamic	25	1	0	267	288	228.1579
