onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4173	1.6000	dynamic	10	1	0	218	223	170.9211
8.0174	1.6000	dynamic	10	1	0	218	206	204.0789
12.6001	1.6000	dynamic	10	0	0	218	219	209.2105
17.1831	1.6000	dynamic	10	0	0	218	234	215.9211
21.7661	1.6000	dynamic	10	0	0	218	221	229.3421
26.3492	1.6000	dynamic	10	1	1	284	277	226.5789
30.9349	1.6000	dynamic	10	1	0	284	277	238.0263
35.4818	1.6000	dynamic	10	0	0	284	294	262.8947
40.0650	1.6000	dynamic	10	0	0	284	280	278.2895
44.6511	1.6000	dynamic	10	0	0	284	293	276.7105
49.2811	1.6000	dynamic	10	1	0	284	281	287.3684
53.8641	1.6000	dynamic	10	1	1	270	276	285.3947
58.4471	1.6000	dynamic	10	0	0	270	255	278.2895
63.0301	1.6000	dynamic	10	1	0	270	262	276.7105
67.6132	1.6000	dynamic	10	0	0	270	263	270.7895
72.1991	1.6000	dynamic	10	0	0	270	246	266.4474
76.7958	1.6000	dynamic	10	0	0	270	273	258.9474
81.3789	1.6000	dynamic	10	0	0	270	272	269.2105
85.9619	1.6000	dynamic	10	0	0	270	260	272.3684
90.5454	1.6000	dynamic	10	1	0	270	264	270.3947
95.1281	1.6000	dynamic	10	0	0	270	268	267.6316
99.7111	1.6000	dynamic	10	1	0	270	267	265.2632
104.2970	1.6000	dynamic	10	1	0	270	266	264.8684
108.8937	1.6000	dynamic	10	0	1	44	25	270.0000
113.4772	1.6000	dynamic	10	1	0	44	45	44.2105
118.0766	1.6000	dynamic	10	1	0	44	44	43.4211
122.6597	1.6000	dynamic	10	0	0	44	28	37.5000
127.2596	1.6000	dynamic	10	0	0	44	44	35.5263
131.8590	1.6000	dynamic	10	0	0	44	54	37.8947
136.4421	1.6000	dynamic	10	0	0	44	38	43.4211
141.0419	1.6000	dynamic	10	1	0	44	43	37.8947
145.6419	1.6000	dynamic	10	1	0	44	53	39.4737
150.2246	1.6000	dynamic	10	1	0	44	55	47.7632
154.8242	1.6000	dynamic	10	0	0	44	30	56.8421
159.4243	1.6000	dynamic	10	1	0	44	44	54.0789
164.0070	1.6000	dynamic	10	0	0	44	31	46.1842
168.6067	1.6000	dynamic	10	1	0	44	38	41.0526
173.2092	1.6000	dynamic	10	0	0	44	40	37.8947
177.8228	1.6000	dynamic	10	0	0	44	46	39.4737
182.4228	1.6000	dynamic	10	1	0	44	38	43.8158
187.0222	1.6000	dynamic	10	0	0	44	51	37.1053
191.6056	1.6000	dynamic	10	1	0	44	37	43.8158
196.2078	1.6000	dynamic	10	1	0	44	51	26.0526
200.8213	1.6000	dynamic	10	0	0	44	43	43.4211
205.4210	1.6000	dynamic	10	1	1	256	267	49.3421
210.0210	1.6000	dynamic	10	1	0	256	236	258.5526
214.6208	1.6000	dynamic	10	1	0	256	275	247.5000
219.2200	1.6000	dynamic	10	1	0	256	249	260.5263
223.8202	1.6000	dynamic	10	0	0	256	256	254.2105
228.4196	1.6000	dynamic	10	0	0	256	254	260.9211
233.0193	1.6000	dynamic	10	0	0	256	256	255.0000
237.6189	1.6000	dynamic	10	0	0	256	278	265.6579
242.2186	1.6000	dynamic	10	1	0	256	258	270.7895
246.8187	1.6000	dynamic	10	1	0	256	248	246.3158
251.4187	1.6000	dynamic	10	1	0	256	279	248.2895
256.0180	1.6000	dynamic	10	0	0	256	247	273.5526
260.6178	1.6000	dynamic	10	1	0	256	258	263.2895
265.2172	1.6000	dynamic	10	1	0	256	251	258.5526
269.8172	1.6000	dynamic	10	0	1	201	213	251.4474
274.4169	1.6000	dynamic	10	0	0	201	195	233.6842
279.0166	1.6000	dynamic	10	1	0	201	207	225.3947
283.6186	1.6000	dynamic	10	0	0	201	202	217.8947
288.2324	1.6000	dynamic	10	1	0	201	193	212.3684
292.8321	1.6000	dynamic	10	1	0	201	213	204.4737
297.4318	1.6000	dynamic	10	1	0	201	219	213.9474
302.0315	1.6000	dynamic	10	1	0	201	206	220.6579
306.6841	1.6000	dynamic	10	1	0	201	200	214.7368
311.2976	1.6000	dynamic	10	0	0	201	202	205.2632
315.9139	1.6000	dynamic	10	1	0	201	207	204.8684
320.5303	1.6000	dynamic	10	1	0	201	207	207.2368
325.1467	1.6000	dynamic	10	0	0	201	186	213.1579
329.7634	1.6000	dynamic	10	1	0	201	201	204.8684
334.3797	1.6000	dynamic	10	0	0	201	212	199.7368
338.9958	1.6000	dynamic	10	1	0	201	205	205.6579
343.6121	1.6000	dynamic	10	0	0	201	194	208.4211
348.2288	1.6000	dynamic	10	1	0	201	194	202.8947
352.8449	1.6000	dynamic	10	1	0	201	212	192.6316
357.4613	1.6000	dynamic	10	0	0	201	211	204.8684
362.0774	1.6000	dynamic	10	1	0	201	205	205.6579
366.6940	1.6000	dynamic	10	0	0	201	220	211.5789
371.3103	1.6000	dynamic	10	1	0	201	207	213.9474
375.9267	1.6000	dynamic	10	0	1	276	286	203.6842
380.5598	1.6000	dynamic	10	1	0	276	272	257.3684
385.1765	1.6000	dynamic	10	0	0	276	268	279.4737
389.8091	1.6000	dynamic	10	1	0	276	268	281.8421
394.4426	1.6000	dynamic	10	0	1	94	85	273.5526
399.0753	1.6000	dynamic	10	1	0	94	103	108.1579
403.7086	1.6000	dynamic	10	1	0	94	93	101.4474
408.3417	1.6000	dynamic	10	0	1	48	42	93.5526
412.9744	1.6000	dynamic	10	1	0	48	45	82.1053
417.6747	1.6000	dynamic	10	1	0	48	51	69.0789
422.3083	1.6000	dynamic	10	0	0	48	70	56.4474
427.0239	1.6000	dynamic	10	0	0	48	51	60.7895
431.6566	1.6000	dynamic	10	0	0	48	39	55.2632
436.2922	1.6000	dynamic	10	1	0	48	39	47.3684
440.9418	1.6000	dynamic	10	1	0	48	49	33.1579
445.5893	1.6000	dynamic	10	1	0	48	41	43.4211
450.2387	1.6000	dynamic	10	1	0	48	49	35.5263
454.8720	1.6000	dynamic	10	1	0	48	40	43.8158
459.5051	1.6000	dynamic	10	1	1	45	43	36.7105
464.1381	1.6000	dynamic	10	0	0	45	63	43.8158
468.7712	1.6000	dynamic	10	0	0	45	50	57.6316
473.4042	1.6000	dynamic	10	1	0	45	60	50.9211
478.1205	1.6000	dynamic	10	1	0	45	33	58.0263
482.7706	1.6000	dynamic	10	1	0	45	40	41.0526
487.4196	1.6000	dynamic	10	1	1	217	211	47.7632
492.0697	1.6000	dynamic	10	0	0	217	224	196.9737
496.7190	1.6000	dynamic	10	1	0	217	201	210.3947
501.3691	1.6000	dynamic	10	0	0	217	203	208.0263
506.0184	1.6000	dynamic	10	1	0	217	203	202.5000
510.6685	1.6000	dynamic	10	1	1	271	261	203.6842
515.3178	1.6000	dynamic	10	0	0	271	261	222.2368
519.9679	1.6000	dynamic	10	1	0	271	270	231.3158
524.6175	1.6000	dynamic	10	1	0	271	264	255.3947
529.2673	1.6000	dynamic	10	1	0	271	276	261.3158
533.9166	1.6000	dynamic	10	1	1	209	219	275.5263
538.5830	1.6000	dynamic	10	0	0	209	207	257.3684
543.2497	1.6000	dynamic	10	1	0	209	190	240.7895
547.9157	1.6000	dynamic	10	0	0	209	229	201.7105
552.5821	1.6000	dynamic	10	0	0	209	201	216.3158
