onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
3.4211	1.6000	dynamic	25	1	0	70	66	162.2368
8.3018	1.6000	dynamic	25	0	0	70	60	87.6316
12.8850	1.6000	dynamic	25	0	0	70	34	67.8947
17.4677	1.6000	dynamic	25	0	0	70	70	44.6053
22.0509	1.6000	dynamic	25	1	0	70	19	52.8947
26.6340	1.6000	dynamic	25	0	0	70	89	22.1053
31.2168	1.6000	dynamic	25	1	0	70	81	48.5526
35.8168	1.6000	dynamic	25	0	0	70	83	70.2632
40.3995	1.6000	dynamic	25	0	0	70	94	75.0000
44.9992	1.6000	dynamic	25	0	0	70	58	86.8421
49.5823	1.6000	dynamic	25	0	0	70	117	70.6579
54.2823	1.6000	dynamic	25	0	0	70	76	94.3421
58.8654	1.6000	dynamic	25	0	0	70	81	87.2368
63.4484	1.6000	dynamic	25	0	0	70	108	81.7105
68.0311	1.6000	dynamic	25	0	0	70	98	97.5000
72.6141	1.6000	dynamic	25	0	1	64	22	95.9211
77.1975	1.6000	dynamic	25	0	0	64	113	86.8421
81.7805	1.6000	dynamic	25	0	0	64	69	101.0526
86.3802	1.6000	dynamic	25	0	0	64	65	85.6579
90.9627	1.6000	dynamic	25	1	0	64	21	73.8158
95.5630	1.6000	dynamic	25	0	0	64	60	42.6316
100.1484	1.6000	dynamic	25	1	0	64	91	40.6579
104.7457	1.6000	dynamic	25	0	0	64	63	66.3158
109.3454	1.6000	dynamic	25	0	0	64	66	69.4737
113.9281	1.6000	dynamic	25	0	0	64	34	73.8158
118.5111	1.6000	dynamic	25	0	0	64	67	64.7368
123.0941	1.6000	dynamic	25	0	1	101	131	69.8684
127.6772	1.6000	dynamic	25	0	0	101	108	94.3421
132.2773	1.6000	dynamic	25	0	0	101	102	98.2895
136.8600	1.6000	dynamic	25	1	1	187	197	102.2368
141.4600	1.6000	dynamic	25	0	0	187	215	165.3947
146.0596	1.6000	dynamic	25	0	0	187	191	197.3684
150.6431	1.6000	dynamic	25	0	0	187	161	195.0000
155.2420	1.6000	dynamic	25	1	0	187	192	182.7632
159.8418	1.6000	dynamic	25	0	0	187	224	188.6842
164.4252	1.6000	dynamic	25	1	0	187	192	202.5000
169.0249	1.6000	dynamic	25	1	0	187	164	186.3158
173.6080	1.6000	dynamic	25	0	0	187	185	168.9474
178.2073	1.6000	dynamic	25	1	0	187	161	165.3947
182.8071	1.6000	dynamic	25	0	0	187	222	155.1316
187.3901	1.6000	dynamic	25	0	0	187	228	176.8421
191.9731	1.6000	dynamic	25	0	0	187	193	202.5000
196.5728	1.6000	dynamic	25	1	0	187	202	193.8158
201.1725	1.6000	dynamic	25	0	0	187	180	202.5000
205.7723	1.6000	dynamic	25	1	0	187	168	198.9474
210.3883	1.6000	dynamic	25	0	0	187	155	166.5789
214.9882	1.6000	dynamic	25	0	0	187	213	163.8158
219.6047	1.6000	dynamic	25	1	0	187	173	185.5263
224.2044	1.6000	dynamic	25	1	0	187	154	168.9474
228.8208	1.6000	dynamic	25	1	1	141	148	159.4737
233.4205	1.6000	dynamic	25	0	0	141	145	147.6316
238.0202	1.6000	dynamic	25	1	0	141	133	150.7895
242.6224	1.6000	dynamic	25	0	0	141	157	126.3158
247.2362	1.6000	dynamic	25	1	0	141	128	139.7368
251.8693	1.6000	dynamic	25	1	0	141	121	125.1316
256.4690	1.6000	dynamic	25	0	0	141	137	124.7368
261.0690	1.6000	dynamic	25	1	0	141	177	128.2895
265.6684	1.6000	dynamic	25	1	0	141	164	154.7368
270.2684	1.6000	dynamic	25	1	1	50	47	153.1579
274.8678	1.6000	dynamic	25	1	0	50	49	110.1316
279.4674	1.6000	dynamic	25	1	0	50	41	81.3158
284.0675	1.6000	dynamic	25	1	0	50	65	41.0526
288.6669	1.6000	dynamic	25	1	0	50	71	54.8684
293.2669	1.6000	dynamic	25	1	0	50	36	57.2368
297.8834	1.6000	dynamic	25	1	0	50	27	46.5789
302.4826	1.6000	dynamic	25	0	0	50	41	29.6053
307.0822	1.6000	dynamic	25	0	0	50	43	30.7895
311.6992	1.6000	dynamic	25	0	0	50	24	26.4474
