onset	duration	begsample	endsample	offset
9.782	0.9	24456	26705	-750
10.3392	0.9	25849	28098	-750
10.8932	0.9	27234	29483	-750
11.446	0.9	28616	30865	-750
12	0.9	30001	32250	-750
12.5532	0.9	31384	33633	-750
13.1072	0.9	32769	35018	-750
13.6612	0.9	34154	36403	-750
14.2144	0.9	35537	37786	-750
14.7684	0.9	36922	39171	-750
15.3272	0.9	38319	40568	-750
15.8852	0.9	39714	41963	-750
16.4444	0.9	41112	43361	-750
16.9984	0.9	42497	44746	-750
17.5516	0.9	43880	46129	-750
18.1056	0.9	45265	47514	-750
18.6584	0.9	46647	48896	-750
19.2124	0.9	48032	50281	-750
19.7668	0.9	49418	51667	-750
20.3196	0.9	50800	53049	-750
20.8736	0.9	52185	54434	-750
21.4276	0.9	53570	55819	-750
21.9808	0.9	54953	57202	-750
22.5348	0.9	56338	58587	-750
23.0876	0.9	57720	59969	-750
23.642	0.9	59106	61355	-750
24.1956	0.9	60490	62739	-750
24.7488	0.9	61873	64122	-750
25.3028	0.9	63258	65507	-750
25.8572	0.9	64644	66893	-750
26.41	0.9	66026	68275	-750
26.964	0.9	67411	69660	-750
27.5172	0.9	68794	71043	-750
28.0712	0.9	70179	72428	-750
28.6252	0.9	71564	73813	-750
29.178	0.9	72946	75195	-750
29.7324	0.9	74332	76581	-750
30.2852	0.9	75714	77963	-750
30.8392	0.9	77099	79348	-750
31.3932	0.9	78484	80733	-750
31.9464	0.9	79867	82116	-750
32.5004	0.9	81252	83501	-750
33.0544	0.9	82637	84886	-750
33.6076	0.9	84020	86269	-750
34.1616	0.9	85405	87654	-750
34.7144	0.9	86787	89036	-750
35.2684	0.9	88172	90421	-750
35.8224	0.9	89557	91806	-750
36.3756	0.9	90940	93189	-750
36.9296	0.9	92325	94574	-750
37.4836	0.9	93710	95959	-750
38.0368	0.9	95093	97342	-750
38.5908	0.9	96478	98727	-750
39.144	0.9	97861	100110	-750
39.698	0.9	99246	101495	-750
40.252	0.9	100631	102880	-750
40.8048	0.9	102013	104262	-750
41.3588	0.9	103398	105647	-750
41.9132	0.9	104784	107033	-750
42.466	0.9	106166	108415	-750
43.02	0.9	107551	109800	-750
43.5732	0.9	108934	111183	-750
44.1272	0.9	110319	112568	-750
44.6812	0.9	111704	113953	-750
45.2344	0.9	113087	115336	-750
45.7884	0.9	114472	116721	-750
46.3412	0.9	115854	118103	-750
46.8952	0.9	117239	119488	-750
47.4492	0.9	118624	120873	-750
48.0024	0.9	120007	122256	-750
48.5564	0.9	121392	123641	-750
49.1104	0.9	122777	125026	-750
49.6636	0.9	124160	126409	-750
50.2176	0.9	125545	127794	-750
50.7708	0.9	126928	129177	-750
51.3248	0.9	128313	130562	-750
51.8788	0.9	129698	131947	-750
52.4316	0.9	131080	133329	-750
52.9856	0.9	132465	134714	-750
53.5388	0.9	133848	136097	-750
54.0928	0.9	135233	137482	-750
54.6468	0.9	136618	138867	-750
55.2	0.9	138001	140250	-750
55.754	0.9	139386	141635	-750
56.308	0.9	140771	143020	-750
56.8608	0.9	142153	144402	-750
57.4152	0.9	143539	145788	-750
57.968	0.9	144921	147170	-750
58.522	0.9	146306	148555	-750
59.076	0.9	147691	149940	-750
