onset	duration	sample	value	event_onset	event_type
131.734375	0.001953125	33724	I_pressed	33725	I_pressed
422.6992188	0.001953125	108211	P_pressed	108212	P_pressed
509.1953125	0.001953125	130354	D_pressed	130355	D_pressed
722.5058594	0.001953125	184961.5	S_pressed	184962.5	S_pressed
734.4238281	0.001953125	188012.5	C_pressed	188013.5	C_pressed
842.3632812	0.001953125	215645	L_pressed	215646	L_pressed
849.5800781	0.001953125	217492.5	R_pressed	217493.5	R_pressed
894.4023438	0.001953125	228967	N_pressed	228968	N_pressed
1448.773438	0.001953125	370886	A_pressed	370887	A_pressed
1605.232422	0.001953125	410939.5	F_pressed	410940.5	F_pressed
