onset	duration	trial_type	score
7.923	5.152	food	55
16.821	9.172	food	39
30.353	7.442	food	51
39.335	4.027	food	73
44.651	4.989	food	100
50.767	5.088	food	93
56.666	4.523	food	18
65.281	10.539	food	67
77.963	3.818	food	26
86.012	3.86	food	84
90.478	4.045	food	75
97.01	8.105	food	87
108.659	4.317	food	72
114.591	3.028	food	87
118.841	2.397	food	86
124.94	3.033	food	49
132.256	3.227	food	100
138.305	8.353	food	75
147.537	4.197	food	85
153.153	2.353	food	100
159.402	4.466	food	100
164.401	9.067	food	44
176.899	2.779	food	36
180.632	3.27	food	100
185.248	5.787	food	43
193.647	10	food_too-slow	n/a
208.645	2.273	food	73
213.661	3.938	food	91
219.61	3.994	food	45
228.042	3.091	food	100
233.008	4.024	food	100
240.324	5.17	food	1
246.223	5.738	food	4
255.105	4.27	food	100
263.204	4.165	food	1
270.32	3.069	food	1
275.069	4.654	food	1
282.268	3.256	food	1
287.751	7.754	food	1
297.583	7.009	food	100
307.465	3.736	food	96
314.214	7.019	food	59
324.446	4.095	food	61
329.545	6.233	food	51
339.744	3.778	food	99
346.876	5.994	food	100
355.292	6.092	food	100
365.873	3.429	food	98
372.806	6.27	food	69
383.088	4.56	food	1
391.287	4.386	food	1
397.486	3.423	food	1
402.002	2.909	food	1
408.001	3.505	food	100
413.784	3.492	food	100
419.633	6.087	food	1
427.465	3.677	food	1
435.314	2.372	food	99
440.363	4.584	food	1
446.896	2.741	food	1
450.295	3.198	food	100
