onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	3	1	0	scenes	-1	-1	1	0.511	-1
36	16	3	2	0	faces	1	1	1	0.43	3
52	16	3	3	0	scenes	-1	-1	1	0.471	-1
68	16	3	4	0	faces	1	1	1	0.421	3
84	16	3	5	0	scenes	1	1	1	0.405	4
100	16	3	6	0	scenes	1	1	1	0.429	5
116	16	3	7	0	faces	1	1	1	0.508	6
132	16	3	8	0	scenes	-1	-1	1	0.484	-1
148	16	3	9	0	faces	-1	-1	1	0.5	-1
164	16	3	10	0	faces	-1	1	0	0.397	-1
180	16	3	11	0	scenes	1	1	1	0.348	3
196	16	3	12	0	scenes	-1	-1	1	0.459	-1
212	16	3	13	0	faces	-1	-1	1	0.508	-1
228	16	3	14	0	scenes	1	-1	0	0.458	5
244	16	3	15	0	scenes	1	1	1	0.314	3
260	16	3	16	0	faces	1	1	1	0.546	6
276	16	3	17	0	faces	-1	-1	1	0.626	-1
292	16	3	18	0	faces	-1	-1	1	0.53	-1
308	16	3	19	0	scenes	-1	-1	1	0.458	-1
324	16	3	20	0	faces	1	0	0	0	4
