onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	4	1	0	faces	-1	-1	1	0.495	-1
36	16	4	2	0	scenes	-1	-1	1	0.599	-1
52	16	4	3	0	faces	-1	-1	1	0.575	-1
68	16	4	4	0	scenes	-1	-1	1	0.438	-1
84	16	4	5	0	faces	-1	-1	1	0.397	-1
100	16	4	6	0	scenes	-1	-1	1	0.446	-1
116	16	4	7	0	faces	-1	-1	1	0.462	-1
132	16	4	8	0	faces	-1	-1	1	0.677	-1
148	16	4	9	0	scenes	1	1	1	0.364	4
164	16	4	10	0	scenes	-1	-1	1	0.404	-1
180	16	4	11	0	scenes	-1	-1	1	0.436	-1
196	16	4	12	0	scenes	-1	-1	1	0.348	-1
212	16	4	13	0	faces	1	1	1	0.38	3
228	16	4	14	0	faces	-1	-1	1	0.378	-1
244	16	4	15	0	faces	1	1	1	0.418	4
260	16	4	16	0	scenes	1	-1	0	0.611	6
276	16	4	17	0	faces	1	1	1	0.346	3
292	16	4	18	0	scenes	1	1	1	0.433	5
308	16	4	19	0	scenes	-1	-1	1	0.409	-1
324	16	4	20	0	faces	-1	1	0	0.546	-1
