onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	5	1	0	stay	scene	top	1	0	0	0	4
40	20	5	2	0	stay	scene	top	1	1	1	0.392	6
60	20	5	3	0	stay	scene	bottom	1	1	1	0.424	3
80	20	5	4	0	stay	scene	bottom	1	1	1	0.206	3
100	28	5	5	0	switch	scene	bottom	1	1	1	0.373	4
128	20	5	6	0	stay	scene	top	-1	-1	1	0.429	-1
148	28	5	7	0	switch	scene	top	-1	-1	1	0.406	-1
176	28	5	8	0	switch	scene	top	-1	-1	1	0.446	-1
204	20	5	9	0	stay	scene	bottom	-1	-1	1	0.389	-1
224	20	5	10	0	stay	scene	top	-1	1	0	0.797	-1
244	20	5	11	0	stay	scene	top	1	1	1	0.317	5
264	28	5	12	0	switch	scene	bottom	1	1	1	0.324	3
292	20	5	13	0	stay	scene	bottom	1	1	1	0.333	4
312	28	5	14	0	switch	scene	top	-1	-1	1	0.467	-1
340	20	5	15	0	stay	scene	bottom	-1	-1	1	0.331	-1
360	20	5	16	0	stay	scene	top	-1	-1	1	0.364	-1
380	28	5	17	0	switch	scene	bottom	1	1	1	0.195	3
408	20	5	18	0	stay	scene	bottom	-1	1	0	0.85	-1
