onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	1	1	0	faces	1	1	1	0.851	6
36	16	1	2	0	scenes	-1	-1	1	0.604	-1
52	16	1	3	0	scenes	-1	-1	1	0.66	-1
68	16	1	4	0	scenes	1	1	1	0.516	4
84	16	1	5	0	faces	1	1	1	0.571	6
100	16	1	6	0	scenes	1	1	1	0.49	5
116	16	1	7	0	scenes	-1	-1	1	0.764	-1
132	16	1	8	0	faces	1	1	1	0.378	5
148	16	1	9	0	scenes	1	1	1	0.442	4
164	16	1	10	0	faces	1	1	1	0.457	5
180	16	1	11	0	scenes	1	1	1	0.419	5
196	16	1	12	0	faces	-1	-1	1	0.449	-1
212	16	1	13	0	scenes	1	1	1	0.458	3
228	16	1	14	0	faces	1	-1	0	0.481	3
244	16	1	15	0	faces	1	-1	0	0.536	5
260	16	1	16	0	scenes	1	1	1	0.417	4
276	16	1	17	0	scenes	-1	-1	1	0.528	-1
292	16	1	18	0	faces	-1	-1	1	0.48	-1
308	16	1	19	0	faces	-1	-1	1	0.423	-1
324	16	1	20	0	faces	-1	-1	1	0.391	-1
