onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	2	1	0	stay	scene	top	-1	-1	1	0.424	-1
40	28	2	2	0	switch	scene	top	1	1	1	0.464	6
68	20	2	3	0	stay	scene	top	1	-1	0	0.51	3
88	20	2	4	0	stay	scene	bottom	1	-1	0	0.704	4
108	20	2	5	0	stay	scene	bottom	1	1	1	0.271	4
128	28	2	6	0	switch	scene	top	1	1	1	0.445	5
156	28	2	7	0	switch	scene	top	1	1	1	0.423	4
184	20	2	8	0	stay	scene	top	-1	1	0	0.67	-1
204	20	2	9	0	stay	scene	bottom	-1	-1	1	0.335	-1
224	20	2	10	0	stay	scene	bottom	1	1	1	0.51	5
244	20	2	11	0	stay	scene	bottom	-1	-1	1	0.436	-1
264	28	2	12	0	switch	scene	bottom	-1	-1	1	0.476	-1
292	20	2	13	0	stay	scene	top	1	1	1	0.396	4
312	20	2	14	0	stay	scene	top	-1	-1	1	0.493	-1
332	28	2	15	0	switch	scene	bottom	-1	-1	1	0.467	-1
360	20	2	16	0	stay	scene	bottom	-1	-1	1	0.516	-1
380	28	2	17	0	switch	scene	bottom	-1	-1	1	0.466	-1
408	20	2	18	0	stay	scene	top	1	1	1	0.355	3
