onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	3	1	0	stay	scene	bottom	1	1	1	0.399	3
40	20	3	2	0	stay	scene	bottom	1	1	1	0.446	5
60	20	3	3	0	stay	scene	bottom	-1	1	0	0.486	-1
80	20	3	4	0	stay	scene	bottom	1	1	1	0.471	5
100	20	3	5	0	stay	scene	top	-1	-1	1	0.607	-1
120	20	3	6	0	stay	scene	top	1	1	1	0.39	4
140	20	3	7	0	stay	scene	top	1	1	1	0.477	4
160	28	3	8	0	switch	scene	bottom	1	1	1	0.381	5
188	28	3	9	0	switch	scene	bottom	1	-1	0	0.468	5
216	20	3	10	0	stay	scene	top	-1	-1	1	0.589	-1
236	28	3	11	0	switch	scene	top	-1	-1	1	0.5	-1
264	20	3	12	0	stay	scene	top	1	1	1	0.717	4
284	28	3	13	0	switch	scene	bottom	1	1	1	0.378	4
312	20	3	14	0	stay	scene	top	-1	-1	1	0.388	-1
332	20	3	15	0	stay	scene	bottom	-1	1	0	0.363	-1
352	28	3	16	0	switch	scene	top	-1	-1	1	0.563	-1
380	20	3	17	0	stay	scene	bottom	-1	-1	1	0.427	-1
400	28	3	18	0	switch	scene	top	-1	-1	1	0.323	-1
