onset	duration	block	trial	delay	cond	answer	resp	acc	rt	rsvp
20	16	2	1	0	faces	1	1	1	0.504	5
36	16	2	2	0	faces	-1	-1	1	0.535	-1
52	16	2	3	0	faces	1	1	1	0.415	3
68	16	2	4	0	scenes	-1	-1	1	0.47	-1
84	16	2	5	0	faces	-1	-1	1	0.574	-1
100	16	2	6	0	scenes	1	1	1	0.813	6
116	16	2	7	0	faces	1	1	1	0.414	3
132	16	2	8	0	scenes	-1	-1	1	0.565	-1
148	16	2	9	0	faces	1	1	1	0.518	6
164	16	2	10	0	scenes	-1	-1	1	0.557	-1
180	16	2	11	0	scenes	1	-1	0	0.636	6
196	16	2	12	0	scenes	1	1	1	0.253	4
212	16	2	13	0	faces	-1	-1	1	0.468	-1
228	16	2	14	0	scenes	1	1	1	0.411	4
244	16	2	15	0	faces	1	1	1	0.452	4
260	16	2	16	0	faces	-1	-1	1	0.451	-1
276	16	2	17	0	scenes	1	1	1	0.379	3
292	16	2	18	0	scenes	-1	-1	1	0.499	-1
308	16	2	19	0	faces	1	1	1	0.434	4
324	16	2	20	0	scenes	1	1	1	0.297	3
