onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	top	1	1	1	0.56	3
40	28	4	2	0	switch	scene	top	1	-1	0	0.607	6
68	28	4	3	0	switch	scene	bottom	-1	-1	1	0.439	-1
96	20	4	4	0	stay	scene	bottom	1	1	1	0.72	5
116	20	4	5	0	stay	scene	top	-1	-1	1	0.39	-1
136	20	4	6	0	stay	scene	top	1	1	1	0.526	6
156	20	4	7	0	stay	scene	bottom	-1	-1	1	0.398	-1
176	20	4	8	0	stay	scene	top	-1	-1	1	0.462	-1
196	20	4	9	0	stay	scene	top	-1	-1	1	0.67	-1
216	20	4	10	0	stay	scene	top	1	1	1	0.438	6
236	20	4	11	0	stay	scene	bottom	1	1	1	0.406	3
256	20	4	12	0	stay	scene	bottom	-1	-1	1	0.749	-1
276	20	4	13	0	stay	scene	bottom	1	1	1	0.428	5
296	28	4	14	0	switch	scene	bottom	-1	-1	1	0.459	-1
324	28	4	15	0	switch	scene	top	1	-1	0	0.54	3
352	28	4	16	0	switch	scene	top	1	1	1	0.515	5
380	28	4	17	0	switch	scene	bottom	-1	-1	1	0.402	-1
408	20	4	18	0	stay	scene	bottom	-1	-1	1	0.355	-1
