onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	28	6	1	0	switch	scene	bottom	-1	-1	1	0.432	-1
48	20	6	2	0	stay	scene	top	-1	1	0	0.52	-1
68	20	6	3	0	stay	scene	bottom	1	1	1	0.176	3
88	20	6	4	0	stay	scene	bottom	-1	-1	1	0.392	-1
108	28	6	5	0	switch	scene	bottom	-1	-1	1	0.463	-1
136	20	6	6	0	stay	scene	top	1	1	1	0.408	5
156	28	6	7	0	switch	scene	top	1	-1	0	0.318	3
184	28	6	8	0	switch	scene	top	1	1	1	0.413	6
212	20	6	9	0	stay	scene	top	-1	-1	1	0.389	-1
232	20	6	10	0	stay	scene	top	1	1	1	0.431	5
252	20	6	11	0	stay	scene	top	1	1	1	0.35	3
272	20	6	12	0	stay	scene	bottom	-1	-1	1	0.39	-1
292	20	6	13	0	stay	scene	top	-1	-1	1	0.557	-1
312	20	6	14	0	stay	scene	bottom	1	1	1	0.38	5
332	28	6	15	0	switch	scene	bottom	-1	-1	1	0.485	-1
360	20	6	16	0	stay	scene	bottom	-1	-1	1	0.372	-1
380	28	6	17	0	switch	scene	top	1	1	1	0.362	4
408	20	6	18	0	stay	scene	bottom	1	1	1	0.372	3
