onset	duration	frame_number
10.055220136648131	n/a	1
10.121487981188693	n/a	2
10.13631322164656	n/a	3
10.176325197635379	n/a	4
10.216330803417804	n/a	5
10.256342071605104	n/a	6
10.296337060375663	n/a	7
10.336371685987615	n/a	8
10.388307981089383	n/a	9
10.416334767101944	n/a	10
10.456329401971743	n/a	11
10.49630846522632	n/a	12
10.536356539052576	n/a	13
10.576370992343072	n/a	14
10.616331298877412	n/a	15
10.65637795710245	n/a	16
10.6963294161269	n/a	17
10.736342807716937	n/a	18
10.77636752412036	n/a	19
10.816308012232184	n/a	20
10.856375196679437	n/a	21
10.896327717406166	n/a	22
10.938072389611989	n/a	23
10.976316279346065	n/a	24
11.016347012053302	n/a	25
11.056327137008338	n/a	26
11.096355746314657	n/a	27
11.136350735085216	n/a	28
11.176335106845727	n/a	29
11.216329033915827	n/a	30
11.257114282214388	n/a	31
11.296309102246596	n/a	32
11.336391150507552	n/a	33
11.376334823724392	n/a	34
11.416342199008795	n/a	35
11.456996504171912	n/a	36
11.496328637545957	n/a	37
11.536331058225187	n/a	38
11.57632215409103	n/a	39
11.616330944976653	n/a	40
11.656920132470987	n/a	41
11.696311367208182	n/a	42
11.736325112698978	n/a	43
11.776420609176057	n/a	44
11.816344463970381	n/a	45
11.856904985535948	n/a	46
11.896365584745581	n/a	47
11.93636977492497	n/a	48
11.97636299419537	n/a	49
12.01634064184691	n/a	50
12.056798886203978	n/a	51
12.096322833580416	n/a	52
12.136351796787494	n/a	53
12.176342538752579	n/a	54
12.220903904015358	n/a	55
12.256693494673527	n/a	56
12.296361125600015	n/a	57
12.336383010799182	n/a	58
12.37633553152591	n/a	59
12.416343968510773	n/a	60
12.456637295294058	n/a	61
12.496324744643061	n/a	62
12.536355831251058	n/a	63
12.576352235622835	n/a	64
12.616322805268283	n/a	65
12.656616485952327	n/a	66
12.696311013307422	n/a	67
12.736379259455134	n/a	68
12.776414592868605	n/a	69
12.816307658333244	n/a	70
12.856502954713505	n/a	71
12.896308960685928	n/a	72
12.936321998375206	n/a	73
12.976310616939372	n/a	74
13.016334271640517	n/a	75
13.056396855381536	n/a	76
13.096342652001113	n/a	77
13.136328085462083	n/a	78
13.17634997066125	n/a	79
13.216331157316745	n/a	80
13.256324022686385	n/a	81
13.296334229173226	n/a	82
13.336394335610748	n/a	83
13.376331284722255	n/a	84
13.420460891531548	n/a	85
13.456350635993658	n/a	86
13.49632686804398	n/a	87
13.536331412125946	n/a	88
13.576315429985698	n/a	89
13.616308649254279	n/a	90
13.65635176847536	n/a	91
13.696349234547597	n/a	92
13.736345638921193	n/a	93
13.776341689392211	n/a	94
13.81632039874603	n/a	95
13.85635608606026	n/a	96
13.896320285497495	n/a	97
13.93636021961538	n/a	98
13.976336451667521	n/a	99
14.016345950352843	n/a	100
14.056374205758402	n/a	101
14.096321417979198	n/a	102
14.136832039590445	n/a	103
14.176362711074034	n/a	104
14.216349560136223	n/a	105
14.25693662422782	n/a	106
14.296321488758622	n/a	107
14.336338065451855	n/a	108
14.37633553152591	n/a	109
14.416326273492814	n/a	110
14.456342850186047	n/a	111
14.503359576225193	n/a	112
14.536405377302799	n/a	113
14.576326754797265	n/a	114
14.616317496762349	n/a	115
14.656340443663794	n/a	116
14.696327292725982	n/a	117
14.73634882402439	n/a	118
14.786609046966987	n/a	119
14.81636145118864	n/a	120
14.856401385306526	n/a	121
14.896317100394299	n/a	122
14.936367651524051	n/a	123
14.976327250256873	n/a	124
15.016345950352843	n/a	125
15.056326783109398	n/a	126
15.09632884988605	n/a	127
15.153105440367654	n/a	128
15.176320950829904	n/a	129
15.216313462298785	n/a	130
15.256368260232193	n/a	131
15.296351216389667	n/a	132
15.336318247031159	n/a	133
15.376372691065626	n/a	134
15.416348569215188	n/a	135
15.456371870015573	n/a	136
15.496346332565736	n/a	137
15.536348045443447	n/a	138
15.576344449815224	n/a	139
15.616318558464627	n/a	140
15.65633619685832	n/a	141
15.696317383515634	n/a	142
15.736344931119675	n/a	143
15.776355845408034	n/a	144
15.816329246255918	n/a	145
15.856361394564374	n/a	146
15.896337626616514	n/a	147
15.936321644474447	n/a	148
15.976348838179547	n/a	149
16.016369307777495	n/a	150
16.069442684773094	n/a	151
16.096326018683612	n/a	152
16.136319591852953	n/a	153
16.176318119627467	n/a	154
16.216320186405937	n/a	155
16.256342071605104	n/a	156
16.296344492282515	n/a	157
16.336329217943785	n/a	158
16.376315713105214	n/a	159
16.41927957209191	n/a	160
16.456347450890462	n/a	161
16.49635978078004	n/a	162
16.536341675237054	n/a	163
16.576334186704116	n/a	164
16.616327759873457	n/a	165
16.65632734934843	n/a	166
16.70251382511742	n/a	167
16.736362272238694	n/a	168
16.77634310499343	n/a	169
16.816355434883008	n/a	170
16.856375550580196	n/a	171
16.896322054999473	n/a	172
16.93633580049027	n/a	173
16.98572472071828	n/a	174
17.01635727516441	n/a	175
17.056381283766314	n/a	176
17.096376626437632	n/a	177
17.136353920188412	n/a	178
17.17636589617723	n/a	179
17.2163506218385	n/a	180
17.256351980815452	n/a	181
17.296328212865774	n/a	182
17.336380887398263	n/a	183
17.376325268414803	n/a	184
17.41633158199693	n/a	185
17.456344265787266	n/a	186
17.496319436137128	n/a	187
17.53631159370525	n/a	188
17.57633206330138	n/a	189
17.616343685391257	n/a	190
17.656338320261057	n/a	191
17.69633897143831	n/a	192
17.736326882200956	n/a	193
17.785474796277413	n/a	194
17.816349772476315	n/a	195
17.856416956923567	n/a	196
17.896327717406166	n/a	197
17.936331907585554	n/a	198
17.97632937365961	n/a	199
