onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
290.765	0.001	290766	Stimulus	S  1
291.382	0.001	291383	Stimulus	S  2
292.758	0.001	292759	Stimulus	S  3
293.44	0.001	293441	Stimulus	S  4
295.215	0.001	295216	Stimulus	S  6
296.264	0.001	296265	Stimulus	S  1
296.715	0.001	296716	Stimulus	S  2
298.074	0.001	298075	Stimulus	S  3
298.184	0.001	298185	Stimulus	S  5
300.531	0.001	300532	Stimulus	S  6
301.565	0.001	301566	Stimulus	S  1
302.064	0.001	302065	Stimulus	S  2
303.436	0.001	303437	Stimulus	S  3
304	0.001	304001	Stimulus	S  5
306.032	0.001	306033	Stimulus	S  7
307.063	0.001	307064	Stimulus	S  1
307.497	0.001	307498	Stimulus	S  2
308.867	0.001	308868	Stimulus	S  3
309.992	0.001	309993	Stimulus	S  5
311.43	0.001	311431	Stimulus	S  7
312.479	0.001	312480	Stimulus	S  1
313.062	0.001	313063	Stimulus	S  2
314.422	0.001	314423	Stimulus	S  3
315.809	0.001	315810	Stimulus	S  4
316.963	0.001	316964	Stimulus	S  7
317.996	0.001	317997	Stimulus	S  1
318.545	0.001	318546	Stimulus	S  2
319.916	0.001	319917	Stimulus	S  3
320.84	0.001	320841	Stimulus	S  5
322.445	0.001	322446	Stimulus	S  6
323.477	0.001	323478	Stimulus	S  1
324.01	0.001	324011	Stimulus	S  2
325.37	0.001	325371	Stimulus	S  3
326.168	0.001	326169	Stimulus	S  5
327.944	0.001	327945	Stimulus	S  6
328.977	0.001	328978	Stimulus	S  1
329.477	0.001	329478	Stimulus	S  2
330.833	0.001	330834	Stimulus	S  3
331.616	0.001	331617	Stimulus	S  5
333.294	0.001	333295	Stimulus	S  6
334.327	0.001	334328	Stimulus	S  1
334.81	0.001	334811	Stimulus	S  2
336.169	0.001	336170	Stimulus	S  3
336.776	0.001	336777	Stimulus	S  5
338.693	0.001	338694	Stimulus	S  6
339.726	0.001	339727	Stimulus	S  1
340.259	0.001	340260	Stimulus	S  2
341.628	0.001	341629	Stimulus	S  3
342	0.001	342001	Stimulus	S  5
344.225	0.001	344226	Stimulus	S  7
345.258	0.001	345259	Stimulus	S  1
345.708	0.001	345709	Stimulus	S  2
347.064	0.001	347065	Stimulus	S  3
348.097	0.001	348098	Stimulus	S  4
349.508	0.001	349509	Stimulus	S  7
350.54	0.001	350541	Stimulus	S  1
351.141	0.001	351142	Stimulus	S  2
352.516	0.001	352517	Stimulus	S  3
353.841	0.001	353842	Stimulus	S  5
355.074	0.001	355075	Stimulus	S  7
356.107	0.001	356108	Stimulus	S  1
356.607	0.001	356608	Stimulus	S  2
357.96	0.001	357961	Stimulus	S  3
358.928	0.001	358929	Stimulus	S  5
360.506	0.001	360507	Stimulus	S  7
361.539	0.001	361540	Stimulus	S  1
362.139	0.001	362140	Stimulus	S  2
363.5	0.001	363501	Stimulus	S  3
364.041	0.001	364042	Stimulus	S  5
365.972	0.001	365973	Stimulus	S  7
367.005	0.001	367006	Stimulus	S  1
367.522	0.001	367523	Stimulus	S  2
368.884	0.001	368885	Stimulus	S  3
370.465	0.001	370466	Stimulus	S  5
371.421	0.001	371422	Stimulus	S  7
372.455	0.001	372456	Stimulus	S  1
372.988	0.001	372989	Stimulus	S  2
374.356	0.001	374357	Stimulus	S  3
374.801	0.001	374802	Stimulus	S  4
376.821	0.001	376822	Stimulus	S  7
377.854	0.001	377855	Stimulus	S  1
378.271	0.001	378272	Stimulus	S  2
379.639	0.001	379640	Stimulus	S  3
380.161	0.001	380162	Stimulus	S  5
382.07	0.001	382071	Stimulus	S  7
383.103	0.001	383104	Stimulus	S  1
383.67	0.001	383671	Stimulus	S  2
385.039	0.001	385040	Stimulus	S  3
385.921	0.001	385922	Stimulus	S  5
387.605	0.001	387606	Stimulus	S  7
388.635	0.001	388636	Stimulus	S  1
389.069	0.001	389070	Stimulus	S  2
390.434	0.001	390435	Stimulus	S  3
391.089	0.001	391090	Stimulus	S  4
392.918	0.001	392919	Stimulus	S  7
393.951	0.001	393952	Stimulus	S  1
394.468	0.001	394469	Stimulus	S  2
395.839	0.001	395840	Stimulus	S  3
396.641	0.001	396642	Stimulus	S  4
398.468	0.001	398469	Stimulus	S  6
399.5	0.001	399501	Stimulus	S  1
400.001	0.001	400002	Stimulus	S  2
401.36	0.001	401361	Stimulus	S  3
402.241	0.001	402242	Stimulus	S  5
403.967	0.001	403968	Stimulus	S  7
405	0.001	405001	Stimulus	S  1
405.55	0.001	405551	Stimulus	S  2
406.911	0.001	406912	Stimulus	S  3
407.809	0.001	407810	Stimulus	S  4
409.383	0.001	409384	Stimulus	S  6
410.415	0.001	410416	Stimulus	S  1
410.999	0.001	411000	Stimulus	S  2
412.359	0.001	412360	Stimulus	S  3
413.481	0.001	413482	Stimulus	S  4
414.832	0.001	414833	Stimulus	S  6
415.865	0.001	415866	Stimulus	S  1
416.381	0.001	416382	Stimulus	S  2
417.744	0.001	417745	Stimulus	S  3
418.689	0.001	418690	Stimulus	S  4
420.331	0.001	420332	Stimulus	S  6
421.364	0.001	421365	Stimulus	S  1
421.931	0.001	421932	Stimulus	S  2
423.291	0.001	423292	Stimulus	S  3
423.793	0.001	423794	Stimulus	S  4
425.814	0.001	425815	Stimulus	S  6
426.847	0.001	426848	Stimulus	S  1
427.447	0.001	427448	Stimulus	S  2
428.811	0.001	428812	Stimulus	S  3
429.561	0.001	429562	Stimulus	S  4
431.313	0.001	431314	Stimulus	S  7
432.346	0.001	432347	Stimulus	S  1
432.796	0.001	432797	Stimulus	S  2
434.154	0.001	434155	Stimulus	S  3
434.801	0.001	434802	Stimulus	S  4
436.696	0.001	436697	Stimulus	S  7
437.729	0.001	437730	Stimulus	S  1
438.262	0.001	438263	Stimulus	S  2
439.622	0.001	439623	Stimulus	S  3
441.185	0.001	441186	Stimulus	S  4
442.195	0.001	442196	Stimulus	S  7
443.228	0.001	443229	Stimulus	S  1
443.728	0.001	443729	Stimulus	S  2
445.098	0.001	445099	Stimulus	S  3
445.481	0.001	445482	Stimulus	S  5
447.578	0.001	447579	Stimulus	S  7
448.61	0.001	448611	Stimulus	S  1
449.177	0.001	449178	Stimulus	S  2
450.534	0.001	450535	Stimulus	S  3
451.113	0.001	451114	Stimulus	S  5
453.11	0.001	453111	Stimulus	S  7
454.144	0.001	454145	Stimulus	S  1
454.61	0.001	454611	Stimulus	S  2
455.964	0.001	455965	Stimulus	S  3
456.754	0.001	456755	Stimulus	S  4
458.559	0.001	458560	Stimulus	S  7
459.592	0.001	459593	Stimulus	S  1
460.059	0.001	460060	Stimulus	S  2
461.426	0.001	461427	Stimulus	S  3
461.977	0.001	461978	Stimulus	S  4
464.042	0.001	464043	Stimulus	S  7
465.075	0.001	465076	Stimulus	S  1
465.625	0.001	465626	Stimulus	S  2
466.976	0.001	466977	Stimulus	S  3
467.521	0.001	467522	Stimulus	S  5
469.408	0.001	469409	Stimulus	S  6
470.442	0.001	470443	Stimulus	S  1
470.958	0.001	470959	Stimulus	S  2
472.315	0.001	472316	Stimulus	S  3
472.793	0.001	472794	Stimulus	S  5
474.907	0.001	474908	Stimulus	S  6
475.94	0.001	475941	Stimulus	S  1
476.474	0.001	476475	Stimulus	S  2
477.833	0.001	477834	Stimulus	S  3
478.545	0.001	478546	Stimulus	S  5
480.39	0.001	480391	Stimulus	S  6
481.422	0.001	481423	Stimulus	S  1
481.94	0.001	481941	Stimulus	S  2
483.319	0.001	483320	Stimulus	S  3
484.089	0.001	484090	Stimulus	S  5
485.822	0.001	485823	Stimulus	S  6
486.855	0.001	486856	Stimulus	S  1
487.455	0.001	487456	Stimulus	S  2
488.814	0.001	488815	Stimulus	S  3
489.441	0.001	489442	Stimulus	S  4
491.405	0.001	491406	Stimulus	S  6
492.438	0.001	492439	Stimulus	S  1
492.905	0.001	492906	Stimulus	S  2
494.271	0.001	494272	Stimulus	S  3
494.913	0.001	494914	Stimulus	S  4
496.738	0.001	496739	Stimulus	S  6
497.771	0.001	497772	Stimulus	S  1
498.187	0.001	498188	Stimulus	S  2
499.549	0.001	499550	Stimulus	S  3
500.754	0.001	500755	Stimulus	S  5
502.17	0.001	502171	Stimulus	S  6
503.203	0.001	503204	Stimulus	S  1
503.754	0.001	503755	Stimulus	S  2
505.128	0.001	505129	Stimulus	S  3
505.897	0.001	505898	Stimulus	S  5
507.753	0.001	507754	Stimulus	S  7
508.785	0.001	508786	Stimulus	S  1
509.269	0.001	509270	Stimulus	S  2
510.624	0.001	510625	Stimulus	S  3
511.498	0.001	511499	Stimulus	S  5
513.085	0.001	513086	Stimulus	S  7
514.119	0.001	514120	Stimulus	S  1
514.685	0.001	514686	Stimulus	S  2
516.051	0.001	516052	Stimulus	S  3
516.922	0.001	516923	Stimulus	S  4
