onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.0100000000	n/a	9010	ignore	n/a	n/a	n/a	n/a
12.1100000000	n/a	12110	ignore	n/a	n/a	n/a	n/a
15.1260000000	n/a	15126	ignore	n/a	n/a	n/a	n/a
30.3930000000	n/a	30393	ignore	n/a	n/a	n/a	n/a
33.4930000000	n/a	33493	ignore	n/a	n/a	n/a	n/a
36.4800000000	n/a	36480	ignore	n/a	n/a	n/a	n/a
52.7600000000	n/a	52760	NeuStim	n/a	n/a	n/a	n/a
55.8600000000	n/a	55860	NeuNonAlcP1000	n/a	n/a	n/a	n/a
60.8470000000	n/a	60847	NeuNonAlcP1000	n/a	n/a	n/a	n/a
70.1270000000	n/a	70127	PosStim	n/a	n/a	n/a	n/a
73.1600000000	n/a	73160	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
89.3270000000	n/a	89327	NeuStim	n/a	n/a	n/a	n/a
92.4270000000	n/a	92427	NeuAlcP2000	n/a	n/a	n/a	n/a
96.4140000000	n/a	96414	NeuAlcP2000	n/a	n/a	n/a	n/a
107.8770000000	n/a	107877	NegStim	n/a	n/a	n/a	n/a
110.9770000000	n/a	110977	NegNonAlcP2000	n/a	n/a	n/a	n/a
114.9640000000	n/a	114964	NegNonAlcP2000	n/a	n/a	n/a	n/a
126.3100000000	n/a	126310	NeuStim	n/a	n/a	n/a	n/a
129.3430000000	n/a	129343	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
143.7430000000	n/a	143743	PosStim	n/a	n/a	n/a	n/a
146.8430000000	n/a	146843	PosNonAlcP1000	n/a	n/a	n/a	n/a
151.8300000000	n/a	151830	PosNonAlcP1000	n/a	n/a	n/a	n/a
162.5430000000	n/a	162543	NeuStim	n/a	n/a	n/a	n/a
165.6430000000	n/a	165643	NeuAlcP1000	n/a	n/a	n/a	n/a
170.6300000000	n/a	170630	NeuAlcP1000	n/a	n/a	n/a	n/a
179.6770000000	n/a	179677	NegStim	n/a	n/a	n/a	n/a
182.7100000000	n/a	182710	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
195.8100000000	n/a	195810	NeuStim	n/a	n/a	n/a	n/a
198.9100000000	n/a	198910	NeuNonAlcP1000	n/a	n/a	n/a	n/a
203.8970000000	n/a	203897	NeuNonAlcP1000	n/a	n/a	n/a	n/a
212.6600000000	n/a	212660	NegStim	n/a	n/a	n/a	n/a
215.7600000000	n/a	215760	NegNonAlcP3000	n/a	n/a	n/a	n/a
218.7470000000	n/a	218747	NegNonAlcP3000	n/a	n/a	n/a	n/a
231.2760000000	n/a	231276	PosStim	n/a	n/a	n/a	n/a
234.3760000000	n/a	234376	PosNonAlcP3000	n/a	n/a	n/a	n/a
237.3630000000	n/a	237363	PosNonAlcP3000	n/a	n/a	n/a	n/a
247.7100000000	n/a	247710	NeuStim	n/a	n/a	n/a	n/a
250.8100000000	n/a	250810	NeuAlcP1000	n/a	n/a	n/a	n/a
255.7970000000	n/a	255797	NeuAlcP1000	n/a	n/a	n/a	n/a
265.1930000000	n/a	265193	NegStim	n/a	n/a	n/a	n/a
268.2260000000	n/a	268226	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
282.0760000000	n/a	282076	PosStim	n/a	n/a	n/a	n/a
285.1100000000	n/a	285110	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
300.0600000000	n/a	300060	NegStim	n/a	n/a	n/a	n/a
303.1600000000	n/a	303160	NegAlcP3000	n/a	n/a	n/a	n/a
306.1470000000	n/a	306147	NegAlcP3000	n/a	n/a	n/a	n/a
319.9430000000	n/a	319943	NeuStim	n/a	n/a	n/a	n/a
322.9760000000	n/a	322976	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
337.7760000000	n/a	337776	PosStim	n/a	n/a	n/a	n/a
340.8760000000	n/a	340876	PosNonAlcP1000	n/a	n/a	n/a	n/a
345.8630000000	n/a	345863	PosNonAlcP1000	n/a	n/a	n/a	n/a
356.8100000000	n/a	356810	NegStim	n/a	n/a	n/a	n/a
359.9100000000	n/a	359910	NegAlcP3000	n/a	n/a	n/a	n/a
362.8970000000	n/a	362897	NegAlcP3000	n/a	n/a	n/a	n/a
375.7760000000	n/a	375776	NegStim	n/a	n/a	n/a	n/a
378.8100000000	n/a	378810	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
391.9430000000	n/a	391943	PosStim	n/a	n/a	n/a	n/a
395.0430000000	n/a	395043	PosAlcP1000	n/a	n/a	n/a	n/a
400.0300000000	n/a	400030	PosAlcP1000	n/a	n/a	n/a	n/a
410.2260000000	n/a	410226	NeuStim	n/a	n/a	n/a	n/a
413.2600000000	n/a	413260	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
427.2930000000	n/a	427293	NegStim	n/a	n/a	n/a	n/a
430.3930000000	n/a	430393	NegNonAlcP1000	n/a	n/a	n/a	n/a
435.3800000000	n/a	435380	NegNonAlcP1000	n/a	n/a	n/a	n/a
447.0930000000	n/a	447093	PosStim	n/a	n/a	n/a	n/a
450.1930000000	n/a	450193	PosAlcP3000	n/a	n/a	n/a	n/a
453.1800000000	n/a	453180	PosAlcP3000	n/a	n/a	n/a	n/a
464.9100000000	n/a	464910	NeuStim	n/a	n/a	n/a	n/a
468.0090000000	n/a	468009	NeuAlcP3000	n/a	n/a	n/a	n/a
470.9960000000	n/a	470996	NeuAlcP3000	n/a	n/a	n/a	n/a
481.7430000000	n/a	481743	NegStim	n/a	n/a	n/a	n/a
484.7760000000	n/a	484776	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
499.2930000000	n/a	499293	PosStim	n/a	n/a	n/a	n/a
502.3930000000	n/a	502393	PosNonAlcP2000	n/a	n/a	n/a	n/a
506.3800000000	n/a	506380	PosNonAlcP2000	n/a	n/a	n/a	n/a
515.6760000000	n/a	515676	NegStim	n/a	n/a	n/a	n/a
