onset	duration	sample	trial_type	response_time	stim_file	value	correct
3.4090000000	n/a	3409	ignore	4374	n/a	n/a	1
8.8590000000	n/a	8859	ignore	1000	n/a	n/a	1
10.8590000000	n/a	10859	ignore	1700	n/a	n/a	1
12.5590000000	n/a	12559	ignore	2026	n/a	n/a	1
15.6590000000	n/a	15659	ignore	1000	n/a	n/a	1
17.6590000000	n/a	17659	ignore	1700	n/a	n/a	1
19.3590000000	n/a	19359	ignore	7038	n/a	n/a	1
27.4590000000	n/a	27459	ignore	1000	n/a	n/a	1
29.4590000000	n/a	29459	ignore	1700	n/a	n/a	1
31.1590000000	n/a	31159	ignore	1603	n/a	n/a	1
33.8260000000	n/a	33826	ignore	1000	n/a	n/a	1
35.8260000000	n/a	35826	ignore	1700	n/a	n/a	1
37.5260000000	n/a	37526	ignore	3958	n/a	n/a	1
42.5590000000	n/a	42559	ignore	1000	n/a	n/a	1
44.5590000000	n/a	44559	ignore	1700	n/a	n/a	1
46.2590000000	n/a	46259	ignore	876	n/a	n/a	1
48.2090000000	n/a	48209	ignore	1000	n/a	n/a	1
50.2090000000	n/a	50209	STATUS	1700	n/a	n/a	1
51.9090000000	n/a	51909	ignore	1605	n/a	n/a	1
54.5920000000	n/a	54592	ignore	1000	n/a	n/a	1
56.5920000000	n/a	56592	STATUS	1700	n/a	n/a	1
58.2920000000	n/a	58292	ignore	768	n/a	n/a	1
60.1260000000	n/a	60126	ignore	1000	n/a	n/a	1
62.1260000000	n/a	62126	STATUS	1700	n/a	n/a	1
63.8260000000	n/a	63826	ignore	3366	n/a	n/a	1
67.2590000000	n/a	67259	ignore 	2000	n/a	n/a	1
74.4920000000	n/a	74492	ignore	1000	n/a	n/a	1
76.4920000000	n/a	76492	STATUS	1700	n/a	n/a	1
78.1920000000	n/a	78192	ignore	5206	n/a	n/a	0
84.4760000000	n/a	84476	ignore	1000	n/a	n/a	1
86.4760000000	n/a	86476	STATUS	1700	n/a	n/a	1
88.1760000000	n/a	88176	ignore	1283	n/a	n/a	1
90.5260000000	n/a	90526	ignore	1000	n/a	n/a	1
92.5260000000	n/a	92526	STATUS	1700	n/a	n/a	1
94.2260000000	n/a	94226	ignore	1619	n/a	n/a	0
96.9090000000	n/a	96909	ignore	1000	n/a	n/a	1
98.9090000000	n/a	98909	STATUS	1700	n/a	n/a	1
100.6090000000	n/a	100609	ignore	1594	n/a	n/a	1
103.2760000000	n/a	103276	ignore	1000	n/a	n/a	1
105.2760000000	n/a	105276	STATUS	1700	n/a	n/a	1
106.9760000000	n/a	106976	ignore	1289	n/a	n/a	1
109.3420000000	n/a	109342	ignore	1000	n/a	n/a	1
111.3420000000	n/a	111342	STATUS	1700	n/a	n/a	1
113.0420000000	n/a	113042	ignore	1809	n/a	n/a	0
115.9260000000	n/a	115926	ignore	1000	n/a	n/a	1
117.9260000000	n/a	117926	STATUS	1700	n/a	n/a	1
119.6260000000	n/a	119626	ignore	1035	n/a	n/a	0
121.7260000000	n/a	121726	ignore	1000	n/a	n/a	1
123.7260000000	n/a	123726	ignore	1700	n/a	n/a	1
125.4260000000	n/a	125426	ignore	3986	n/a	n/a	0
129.4760000000	n/a	129476	STATUS	2000	n/a	n/a	1
150.7090000000	n/a	150709	PenaltyB1	2115	n/a	n/a	1
153.8920000000	n/a	153892	NeuCorrB1	1000	n/a	n/a	1
155.8920000000	n/a	155892	ignore	1700	n/a	n/a	1
157.5920000000	n/a	157592	PenaltyB1	2619	n/a	n/a	1
161.2760000000	n/a	161276	NeuCorrB1	1000	n/a	n/a	1
163.2760000000	n/a	163276	ignore	1700	n/a	n/a	1
164.9760000000	n/a	164976	PenaltyB1	2649	n/a	n/a	0
168.6920000000	n/a	168692	PunIncorrB1	1000	n/a	n/a	1
170.6920000000	n/a	170692	ignore	1700	n/a	n/a	1
172.3920000000	n/a	172392	RewardB1	2101	n/a	n/a	1
175.5590000000	n/a	175559	RewardCorrB1	1000	n/a	n/a	1
177.5590000000	n/a	177559	ignore	1700	n/a	n/a	1
179.2590000000	n/a	179259	RewardB1	2418	n/a	n/a	1
182.7420000000	n/a	182742	RewardCorrB1	1000	n/a	n/a	1
184.7420000000	n/a	184742	ignore	1700	n/a	n/a	1
186.4420000000	n/a	186442	PenaltyB1	2334	n/a	n/a	1
