onset	duration	sample	trial_type	response_time	stim_file	value	correct
4.4020000000	n/a	4402	FrequentFixedSOA	1633	n/a	n/a	1
6.0350000000	n/a	6035	FrequentFixedSOA	1633	n/a	n/a	1
7.6690000000	n/a	7669	FrequentFixedSOA	1633	n/a	n/a	1
9.3020000000	n/a	9302	FrequentFixedSOA	1633	n/a	n/a	1
10.9350000000	n/a	10935	FrequentFixedSOA	1633	n/a	n/a	1
12.5690000000	n/a	12569	FrequentFixedSOA	1633	n/a	n/a	1
14.2020000000	n/a	14202	FrequentFixedSOA	1633	n/a	n/a	1
15.8350000000	n/a	15835	FrequentFixedSOA	1633	n/a	n/a	1
17.4690000000	n/a	17469	FrequentFixedSOA	1633	n/a	n/a	1
19.1020000000	n/a	19102	FrequentFixedSOA	1633	n/a	n/a	1
20.7350000000	n/a	20735	NovelFixedSOA	1633	n/a	n/a	1
22.3690000000	n/a	22369	FrequentFixedSOA	1633	n/a	n/a	1
24.0020000000	n/a	24002	GoFixedSOA	378	n/a	n/a	1
25.6350000000	n/a	25635	FrequentFixedSOA	1633	n/a	n/a	1
27.2690000000	n/a	27269	FrequentFixedSOA	1633	n/a	n/a	1
28.9020000000	n/a	28902	FrequentFixedSOA	1633	n/a	n/a	1
30.5350000000	n/a	30535	GoFixedSOA	335	n/a	n/a	1
32.1690000000	n/a	32169	FrequentFixedSOA	1633	n/a	n/a	1
33.8020000000	n/a	33802	FrequentFixedSOA	1633	n/a	n/a	1
35.4350000000	n/a	35435	FrequentFixedSOA	1633	n/a	n/a	1
37.0690000000	n/a	37069	NovelFixedSOA	1633	n/a	n/a	1
38.7020000000	n/a	38702	FrequentFixedSOA	1633	n/a	n/a	1
40.3350000000	n/a	40335	FrequentFixedSOA	1633	n/a	n/a	1
41.9690000000	n/a	41969	FrequentFixedSOA	1633	n/a	n/a	1
43.6020000000	n/a	43602	GoFixedSOA	326	n/a	n/a	1
45.2350000000	n/a	45235	FrequentFixedSOA	1633	n/a	n/a	1
46.8690000000	n/a	46869	NovelFixedSOA	1633	n/a	n/a	1
48.5020000000	n/a	48502	FrequentFixedSOA	1633	n/a	n/a	1
50.1350000000	n/a	50135	FrequentFixedSOA	1633	n/a	n/a	1
51.7690000000	n/a	51769	FrequentFixedSOA	1633	n/a	n/a	1
53.4020000000	n/a	53402	GoFixedSOA	351	n/a	n/a	1
55.0350000000	n/a	55035	FrequentFixedSOA	1633	n/a	n/a	1
56.6690000000	n/a	56669	GoFixedSOA	502	n/a	n/a	1
58.3020000000	n/a	58302	FrequentFixedSOA	1633	n/a	n/a	1
59.9350000000	n/a	59935	FrequentFixedSOA	1633	n/a	n/a	1
61.5690000000	n/a	61569	GoFixedSOA	296	n/a	n/a	1
63.2020000000	n/a	63202	FrequentFixedSOA	1633	n/a	n/a	1
64.8350000000	n/a	64835	FrequentFixedSOA	1633	n/a	n/a	1
66.4690000000	n/a	66469	FrequentFixedSOA	1633	n/a	n/a	1
68.1020000000	n/a	68102	FrequentFixedSOA	1633	n/a	n/a	1
69.7350000000	n/a	69735	NovelFixedSOA	1633	n/a	n/a	1
71.3690000000	n/a	71369	FrequentFixedSOA	1633	n/a	n/a	1
73.0020000000	n/a	73002	NovelFixedSOA	1633	n/a	n/a	1
