onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.3330000000	n/a	9333	ignore	n/a	n/a	n/a	n/a
12.4330000000	n/a	12433	ignore	n/a	n/a	n/a	n/a
15.4490000000	n/a	15449	ignore	n/a	n/a	n/a	n/a
31.7830000000	n/a	31783	ignore	n/a	n/a	n/a	n/a
34.8830000000	n/a	34883	ignore	n/a	n/a	n/a	n/a
37.8700000000	n/a	37870	ignore	n/a	n/a	n/a	n/a
53.1330000000	n/a	53133	PosStim	n/a	n/a	n/a	n/a
56.1670000000	n/a	56167	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
72.0500000000	n/a	72050	NegStim	n/a	n/a	n/a	n/a
75.0830000000	n/a	75083	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
90.7500000000	n/a	90750	NeuStim	n/a	n/a	n/a	n/a
93.8500000000	n/a	93850	NeuNonAlcP2000	n/a	n/a	n/a	n/a
97.8370000000	n/a	97837	NeuNonAlcP2000	n/a	n/a	n/a	n/a
110.0660000000	n/a	110066	NegStim	n/a	n/a	n/a	n/a
113.1660000000	n/a	113166	NegAlcP2000	n/a	n/a	n/a	n/a
117.1530000000	n/a	117153	NegAlcP2000	n/a	n/a	n/a	n/a
127.0000000000	n/a	127000	NeuStim	n/a	n/a	n/a	n/a
130.0330000000	n/a	130033	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
147.0500000000	n/a	147050	PosStim	n/a	n/a	n/a	n/a
150.1500000000	n/a	150150	PosAlcP1000	n/a	n/a	n/a	n/a
155.1370000000	n/a	155137	PosAlcP1000	n/a	n/a	n/a	n/a
166.3160000000	n/a	166316	NeuStim	n/a	n/a	n/a	n/a
169.4160000000	n/a	169416	NeuAlcP2000	n/a	n/a	n/a	n/a
173.4030000000	n/a	173403	NeuAlcP2000	n/a	n/a	n/a	n/a
185.3000000000	n/a	185300	NegStim	n/a	n/a	n/a	n/a
188.4000000000	n/a	188400	NegAlcP3000	n/a	n/a	n/a	n/a
191.3870000000	n/a	191387	NegAlcP3000	n/a	n/a	n/a	n/a
201.6000000000	n/a	201600	PosStim	n/a	n/a	n/a	n/a
204.6330000000	n/a	204633	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
218.9330000000	n/a	218933	NeuStim	n/a	n/a	n/a	n/a
222.0330000000	n/a	222033	NeuAlcP1000	n/a	n/a	n/a	n/a
227.0200000000	n/a	227020	NeuAlcP1000	n/a	n/a	n/a	n/a
236.4160000000	n/a	236416	NegStim	n/a	n/a	n/a	n/a
239.5160000000	n/a	239516	NegNonAlcP3000	n/a	n/a	n/a	n/a
242.5030000000	n/a	242503	NegNonAlcP3000	n/a	n/a	n/a	n/a
253.2660000000	n/a	253266	PosStim	n/a	n/a	n/a	n/a
256.3660000000	n/a	256366	PosAlcP2000	n/a	n/a	n/a	n/a
260.3530000000	n/a	260353	PosAlcP2000	n/a	n/a	n/a	n/a
269.8000000000	n/a	269800	NegStim	n/a	n/a	n/a	n/a
272.8330000000	n/a	272833	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
286.5000000000	n/a	286500	PosStim	n/a	n/a	n/a	n/a
289.5330000000	n/a	289533	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
304.7160000000	n/a	304716	NeuStim	n/a	n/a	n/a	n/a
307.8160000000	n/a	307816	NeuNonAlcP3000	n/a	n/a	n/a	n/a
310.8030000000	n/a	310803	NeuNonAlcP3000	n/a	n/a	n/a	n/a
321.5160000000	n/a	321516	NegStim	n/a	n/a	n/a	n/a
324.6160000000	n/a	324616	NegAlcP1000	n/a	n/a	n/a	n/a
329.6030000000	n/a	329603	NegAlcP1000	n/a	n/a	n/a	n/a
338.1990000000	n/a	338199	NeuStim	n/a	n/a	n/a	n/a
341.2990000000	n/a	341299	NeuAlcP3000	n/a	n/a	n/a	n/a
344.2860000000	n/a	344286	NeuAlcP3000	n/a	n/a	n/a	n/a
357.4330000000	n/a	357433	PosStim	n/a	n/a	n/a	n/a
360.5330000000	n/a	360533	PosAlcP3000	n/a	n/a	n/a	n/a
363.5200000000	n/a	363520	PosAlcP3000	n/a	n/a	n/a	n/a
375.2490000000	n/a	375249	NeuStim	n/a	n/a	n/a	n/a
378.2830000000	n/a	378283	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
393.7160000000	n/a	393716	NegStim	n/a	n/a	n/a	n/a
396.8160000000	n/a	396816	NegAlcP1000	n/a	n/a	n/a	n/a
401.8030000000	n/a	401803	NegAlcP1000	n/a	n/a	n/a	n/a
412.7990000000	n/a	412799	NeuStim	n/a	n/a	n/a	n/a
415.8990000000	n/a	415899	NeuNonAlcP3000	n/a	n/a	n/a	n/a
418.8860000000	n/a	418886	NeuNonAlcP3000	n/a	n/a	n/a	n/a
431.7160000000	n/a	431716	NegStim	n/a	n/a	n/a	n/a
434.8160000000	n/a	434816	NegNonAlcP2000	n/a	n/a	n/a	n/a
438.8030000000	n/a	438803	NegNonAlcP2000	n/a	n/a	n/a	n/a
448.0660000000	n/a	448066	PosStim	n/a	n/a	n/a	n/a
