onset	duration	trial_type	trial_content
0	30	faces	movieactors
30	30	language	countries
60	30	rest	rest
90	30	spatial	market
120	30	motor	badminton
150	30	language	animals
180	30	rest	rest
210	30	faces	athletes
240	30	spatial	school
270	30	motor	swimming
300	30	rest	rest
330	30	language	animals
360	30	spatial	citysquare
390	30	faces	family
420	30	motor	badminton
450	30	language	tools
480	30	faces	friends
510	30	spatial	market
540	30	rest	rest
570	30	motor	tennis
600	30	spatial	church
630	30	rest	rest
660	30	language	fruit
690	30	faces	politicians
720	30	motor	climbing
