onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	tan	4.29	9.06	25	226.5
3.069	0	1	null	NA	null	-1	-1	-1	-1
6.139	0	1	RepeatCorrect	NA	fig	4.97	7.54	16	120.64
9.209	0	1	null	NA	null	-1	-1	-1	-1
12.279	0	1	RepeatCorrect	NA	roar	3.81	7.32	31	226.92
15.349	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	RepeatCorrect	NA	tub	4.64	7.86	17	133.62
27.629	0	1	null	NA	null	-1	-1	-1	-1
30.699	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	RepeatIncorrect	NA	mare	4.75	7.27	23	167.21
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.979	0	1	RepeatCorrect	NA	nag	3.03	6.69	17	113.73
46.048	0	1	null	NA	null	-1	-1	-1	-1
49.118	0	1	RepeatCorrect	NA	loot	4.5	6.91	26	179.66
52.188	0	1	null	NA	null	-1	-1	-1	-1
55.258	0	1	null	NA	null	-1	-1	-1	-1
58.328	0	1	null	NA	null	-1	-1	-1	-1
61.398	0	1	RepeatCorrect	NA	beef	4.74	8.57	15	128.55
64.468	0	1	null	NA	null	-1	-1	-1	-1
67.538	0	1	RepeatCorrect	NA	lid	4.96	7.97	23	183.31
70.608	0	1	null	NA	null	-1	-1	-1	-1
73.678	0	1	null	NA	null	-1	-1	-1	-1
76.748	0	1	null	NA	null	-1	-1	-1	-1
79.818	0	1	RepeatCorrect	NA	purse	4.9	7.53	19	143.07
82.888	0	1	null	NA	null	-1	-1	-1	-1
85.957	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.027	0	1	null	NA	null	-1	-1	-1	-1
92.097	0	1	RepeatCorrect	NA	soup	4.72	8.71	22	191.62
95.167	0	1	null	NA	null	-1	-1	-1	-1
98.236	0	1	RepeatCorrect	NA	hate	1.97	10.69	24	256.56
101.306	0	1	null	NA	null	-1	-1	-1	-1
104.376	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.446	0	1	null	NA	null	-1	-1	-1	-1
110.516	0	1	RepeatCorrect	NA	weed	4.9	8.01	24	192.24
113.586	0	1	null	NA	null	-1	-1	-1	-1
116.656	0	1	RepeatCorrect	NA	gone	2.04	10.86	17	184.62
119.726	0	1	null	NA	null	-1	-1	-1	-1
122.796	0	1	RepeatCorrect	NA	ring	4.81	10.7	23	246.1
125.865	0	1	null	NA	null	-1	-1	-1	-1
128.935	0	1	null	NA	null	-1	-1	-1	-1
132.005	0	1	null	NA	null	-1	-1	-1	-1
135.075	0	1	RepeatCorrect	NA	dead	4.07	11.2	24	268.8
138.145	0	1	null	NA	null	-1	-1	-1	-1
141.215	0	1	RepeatCorrect	NA	shop	4.31	10.24	16	163.84
144.285	0	1	null	NA	null	-1	-1	-1	-1
147.355	0	1	null	NA	null	-1	-1	-1	-1
150.425	0	1	null	NA	null	-1	-1	-1	-1
153.495	0	1	RepeatCorrect	NA	ham	4.9	8.82	26	229.32
156.565	0	1	null	NA	null	-1	-1	-1	-1
159.635	0	1	RepeatCorrect	NA	hook	4.79	9.36	16	149.76
162.705	0	1	null	NA	null	-1	-1	-1	-1
165.774	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.844	0	1	null	NA	null	-1	-1	-1	-1
171.914	0	1	RepeatCorrect	NA	face	4.87	11.26	21	236.46
174.984	0	1	null	NA	null	-1	-1	-1	-1
178.054	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.124	0	1	null	NA	null	-1	-1	-1	-1
184.194	0	1	RepeatCorrect	NA	zeal	2.33	6.55	15	98.25
187.264	0	1	null	NA	null	-1	-1	-1	-1
190.334	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.404	0	1	null	NA	null	-1	-1	-1	-1
196.474	0	1	RepeatCorrect	NA	coat	4.97	9.24	31	286.44
199.544	0	1	null	NA	null	-1	-1	-1	-1
202.614	0	1	RepeatIncorrect	NA	lop	3.32	5.64	22	124.08
205.684	0	1	null	NA	null	-1	-1	-1	-1
