onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	ListenWord	NA	dike	4.54	5.2	19	98.8
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	ListenWord	NA	robe	5	7.4	18	133.2
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.28	0	1	ListenWord	NA	sap	4.37	8.22	27	221.94
15.35	0	1	null	NA	null	-1	-1	-1	-1
18.419	0	1	ListenNoise	NA	null	-1	-1	-1	-1
21.489	0	1	null	NA	null	-1	-1	-1	-1
24.559	0	1	ListenWord	NA	Pope	4.71	9.01	22	198.22
27.629	0	1	null	NA	null	-1	-1	-1	-1
30.699	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	ListenWord	NA	chick	4.93	8.06	23	185.38
39.909	0	1	null	NA	null	-1	-1	-1	-1
42.979	0	1	ListenWord	NA	coil	4.56	8.13	18	146.34
46.049	0	1	null	NA	null	-1	-1	-1	-1
49.119	0	1	ListenWord	NA	gear	4.28	9.64	21	202.44
52.189	0	1	null	NA	null	-1	-1	-1	-1
55.259	0	1	null	NA	null	-1	-1	-1	-1
58.329	0	1	null	NA	null	-1	-1	-1	-1
61.398	0	1	ListenWord	NA	rag	4.67	8.25	28	231
64.468	0	1	null	NA	null	-1	-1	-1	-1
67.538	0	1	ListenWord	NA	lip	4.96	8.11	29	235.19
70.608	0	1	null	NA	null	-1	-1	-1	-1
73.678	0	1	null	NA	null	-1	-1	-1	-1
76.748	0	1	null	NA	null	-1	-1	-1	-1
79.818	0	1	ListenWord	NA	loop	4.26	9.7	18	174.6
82.888	0	1	null	NA	null	-1	-1	-1	-1
85.957	0	1	ListenNoise	NA	null	-1	-1	-1	-1
89.027	0	1	null	NA	null	-1	-1	-1	-1
92.097	0	1	ListenWord	NA	lash	3.79	6.48	26	168.48
95.167	0	1	null	NA	null	-1	-1	-1	-1
98.237	0	1	ListenWord	NA	peck	4.16	6.97	20	139.4
101.306	0	1	null	NA	null	-1	-1	-1	-1
104.376	0	1	ListenNoise	NA	null	-1	-1	-1	-1
107.446	0	1	null	NA	null	-1	-1	-1	-1
110.516	0	1	ListenWord	NA	kite	5	7.76	20	155.2
113.586	0	1	null	NA	null	-1	-1	-1	-1
116.656	0	1	ListenWord	NA	gull	4.08	5.64	21	118.44
119.726	0	1	null	NA	null	-1	-1	-1	-1
122.796	0	1	ListenWord	NA	dim	3.31	8.36	21	175.56
125.866	0	1	null	NA	null	-1	-1	-1	-1
128.936	0	1	null	NA	null	-1	-1	-1	-1
132.006	0	1	null	NA	null	-1	-1	-1	-1
135.076	0	1	ListenWord	NA	dug	4	7.96	22	175.12
138.146	0	1	null	NA	null	-1	-1	-1	-1
141.215	0	1	ListenWord	NA	hop	3.8	8.41	20	168.2
144.285	0	1	null	NA	null	-1	-1	-1	-1
147.355	0	1	null	NA	null	-1	-1	-1	-1
150.425	0	1	null	NA	null	-1	-1	-1	-1
153.495	0	1	ListenWord	NA	rope	4.93	8.76	27	236.52
156.565	0	1	null	NA	null	-1	-1	-1	-1
159.635	0	1	ListenWord	NA	peach	4.9	7.5	22	165
162.705	0	1	null	NA	null	-1	-1	-1	-1
165.775	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.845	0	1	null	NA	null	-1	-1	-1	-1
171.915	0	1	ListenWord	NA	lob	3.83	6.15	20	123
174.985	0	1	null	NA	null	-1	-1	-1	-1
178.055	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.125	0	1	null	NA	null	-1	-1	-1	-1
184.194	0	1	ListenWord	NA	lab	4.69	10.12	20	202.4
187.264	0	1	null	NA	null	-1	-1	-1	-1
190.334	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.404	0	1	null	NA	null	-1	-1	-1	-1
196.474	0	1	ListenWord	NA	mass	3.44	10.43	26	271.18
199.544	0	1	null	NA	null	-1	-1	-1	-1
202.613	0	1	ListenWord	NA	vile	2.14	7.91	22	174.02
205.684	0	1	null	NA	null	-1	-1	-1	-1
208.754	0	1	ListenWord	NA	tip	4.5	9.59	25	239.75
211.823	0	1	null	NA	null	-1	-1	-1	-1
214.893	0	1	ListenWord	NA	beach	4.79	10.19	18	183.42
217.963	0	1	null	NA	null	-1	-1	-1	-1
221.033	0	1	null	NA	null	-1	-1	-1	-1
224.102	0	1	null	NA	null	-1	-1	-1	-1
227.172	0	1	ListenWord	NA	moon	4.9	10.33	21	216.93
230.242	0	1	null	NA	null	-1	-1	-1	-1
233.312	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.382	0	1	null	NA	null	-1	-1	-1	-1
239.452	0	1	ListenWord	NA	lag	3.04	7.89	27	213.03
242.522	0	1	null	NA	null	-1	-1	-1	-1
245.592	0	1	null	NA	null	-1	-1	-1	-1
248.662	0	1	null	NA	null	-1	-1	-1	-1
251.732	0	1	ListenWord	NA	rib	4.9	7.09	19	134.71
254.802	0	1	null	NA	null	-1	-1	-1	-1
