onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
0	0	1	RepeatCorrect	NA	rut	3.64	6.05	28	169.4
3.07	0	1	null	NA	null	-1	-1	-1	-1
6.14	0	1	RepeatCorrect	NA	hawk	4.93	8.19	18	147.42
9.21	0	1	null	NA	null	-1	-1	-1	-1
12.28	0	1	RepeatCorrect	NA	rip	3.79	8.99	32	287.68
15.35	0	1	null	NA	null	-1	-1	-1	-1
18.42	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
21.49	0	1	null	NA	null	-1	-1	-1	-1
24.56	0	1	null	NA	null	-1	-1	-1	-1
27.63	0	1	null	NA	null	-1	-1	-1	-1
30.7	0	1	null	NA	null	-1	-1	-1	-1
33.769	0	1	null	NA	null	-1	-1	-1	-1
36.839	0	1	RepeatCorrect	NA	wick	4.69	6.33	26	164.58
39.908	0	1	null	NA	null	-1	-1	-1	-1
42.978	0	1	RepeatCorrect	NA	tug	3.5	7.07	18	127.26
46.048	0	1	null	NA	null	-1	-1	-1	-1
49.118	0	1	RepeatCorrect	NA	chair	4.58	9.83	20	196.6
52.188	0	1	null	NA	null	-1	-1	-1	-1
55.258	0	1	null	NA	null	-1	-1	-1	-1
58.328	0	1	null	NA	null	-1	-1	-1	-1
61.398	0	1	RepeatCorrect	NA	tang	4.42	7.85	18	141.3
64.468	0	1	null	NA	null	-1	-1	-1	-1
67.538	0	1	RepeatIncorrect	NA	hen	4.9	7.17	24	172.08
70.608	0	1	null	NA	null	-1	-1	-1	-1
73.678	0	1	null	NA	null	-1	-1	-1	-1
76.748	0	1	null	NA	null	-1	-1	-1	-1
79.817	0	1	RepeatCorrect	NA	moose	4.97	8.15	19	154.85
82.887	0	1	null	NA	null	-1	-1	-1	-1
85.957	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
89.027	0	1	null	NA	null	-1	-1	-1	-1
92.097	0	1	RepeatCorrect	NA	pup	4.61	7.48	21	157.08
95.167	0	1	null	NA	null	-1	-1	-1	-1
98.237	0	1	RepeatCorrect	NA	miss	2.54	10.34	23	237.82
101.307	0	1	null	NA	null	-1	-1	-1	-1
104.377	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
107.447	0	1	null	NA	null	-1	-1	-1	-1
110.517	0	1	RepeatCorrect	NA	pen	4.92	8.97	29	260.13
113.587	0	1	null	NA	null	-1	-1	-1	-1
116.657	0	1	RepeatCorrect	NA	deep	3.38	10.66	18	191.88
119.727	0	1	null	NA	null	-1	-1	-1	-1
122.796	0	1	RepeatCorrect	NA	deck	4.77	10.27	20	205.4
125.866	0	1	null	NA	null	-1	-1	-1	-1
128.936	0	1	null	NA	null	-1	-1	-1	-1
132.006	0	1	null	NA	null	-1	-1	-1	-1
135.076	0	1	RepeatCorrect	NA	wall	4.86	11.43	23	262.89
138.146	0	1	null	NA	null	-1	-1	-1	-1
141.216	0	1	RepeatCorrect	NA	girl	4.85	10.61	16	169.76
144.286	0	1	null	NA	null	-1	-1	-1	-1
147.356	0	1	null	NA	null	-1	-1	-1	-1
150.426	0	1	null	NA	null	-1	-1	-1	-1
153.496	0	1	RepeatCorrect	NA	tot	4.22	7.74	26	201.24
156.565	0	1	null	NA	null	-1	-1	-1	-1
159.635	0	1	RepeatCorrect	NA	gang	4.43	8.96	15	134.4
162.704	0	1	null	NA	null	-1	-1	-1	-1
165.774	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
168.844	0	1	null	NA	null	-1	-1	-1	-1
171.914	0	1	RepeatCorrect	NA	talk	4.07	11.42	23	262.66
174.984	0	1	null	NA	null	-1	-1	-1	-1
178.054	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
181.124	0	1	null	NA	null	-1	-1	-1	-1
184.194	0	1	RepeatCorrect	NA	peeve	2	6.74	16	107.84
187.264	0	1	null	NA	null	-1	-1	-1	-1
190.334	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
193.404	0	1	null	NA	null	-1	-1	-1	-1
196.474	0	1	RepeatCorrect	NA	wine	4.79	9.48	30	284.4
199.544	0	1	null	NA	null	-1	-1	-1	-1
202.613	0	1	RepeatCorrect	NA	dupe	2.23	5.96	18	107.28
205.683	0	1	null	NA	null	-1	-1	-1	-1
208.753	0	1	RepeatCorrect	NA	sake	2.74	9.35	28	261.8
211.823	0	1	null	NA	null	-1	-1	-1	-1
214.893	0	1	RepeatCorrect	NA	hub	3.59	8.41	19	159.79
217.963	0	1	null	NA	null	-1	-1	-1	-1
221.033	0	1	null	NA	null	-1	-1	-1	-1
224.103	0	1	null	NA	null	-1	-1	-1	-1
227.173	0	1	RepeatCorrect	NA	wed	3.11	9.62	25	240.5
230.243	0	1	null	NA	null	-1	-1	-1	-1
233.313	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.383	0	1	null	NA	null	-1	-1	-1	-1
239.453	0	1	RepeatCorrect	NA	tool	4.6	10.41	23	239.43
242.522	0	1	null	NA	null	-1	-1	-1	-1
245.592	0	1	null	NA	null	-1	-1	-1	-1
248.662	0	1	null	NA	null	-1	-1	-1	-1
251.732	0	1	RepeatCorrect	NA	roach	4.96	6.69	18	120.42
254.802	0	1	null	NA	null	-1	-1	-1	-1
257.872	0	1	RepeatIncorrect	NA	niche	2.52	7.81	16	124.96
260.942	0	1	null	NA	null	-1	-1	-1	-1
264.012	0	1	RepeatCorrect	NA	pace	3.11	8.88	30	266.4
267.082	0	1	null	NA	null	-1	-1	-1	-1
270.152	0	1	null	NA	null	-1	-1	-1	-1
273.222	0	1	null	NA	null	-1	-1	-1	-1
276.292	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.361	0	1	null	NA	null	-1	-1	-1	-1
282.43	0	1	RepeatCorrect	NA	jeer	2.62	4.23	23	97.29
285.5	0	1	null	NA	null	-1	-1	-1	-1
288.57	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
291.64	0	1	null	NA	null	-1	-1	-1	-1
294.71	0	1	RepeatIncorrect	NA	cove	4.57	7.04	18	126.72
297.78	0	1	null	NA	null	-1	-1	-1	-1
300.85	0	1	RepeatCorrect	NA	lace	4.85	8.1	29	234.9
303.92	0	1	null	NA	null	-1	-1	-1	-1
306.99	0	1	RepeatCorrect	NA	neat	2.47	9.38	25	234.5
310.06	0	1	null	NA	null	-1	-1	-1	-1
313.13	0	1	RepeatCorrect	NA	tough	2.5	9.76	17	165.92
316.2	0	1	null	NA	null	-1	-1	-1	-1
319.27	0	1	null	NA	null	-1	-1	-1	-1
322.339	0	1	null	NA	null	-1	-1	-1	-1
325.409	0	1	RepeatCorrect	NA	dope	3	7.55	20	151
328.479	0	1	null	NA	null	-1	-1	-1	-1
331.549	0	1	RepeatCorrect	NA	wrath	2.42	8.64	17	146.88
334.619	0	1	null	NA	null	-1	-1	-1	-1
337.689	0	1	RepeatCorrect	NA	rare	1.96	10.5	22	231
340.759	0	1	null	NA	null	-1	-1	-1	-1
343.829	0	1	RepeatCorrect	NA	cup	5	10.23	18	184.14
346.899	0	1	null	NA	null	-1	-1	-1	-1
349.969	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
353.039	0	1	null	NA	null	-1	-1	-1	-1
356.109	0	1	RepeatCorrect	NA	wren	3.8	6.54	26	170.04
359.179	0	1	null	NA	null	-1	-1	-1	-1
362.249	0	1	null	NA	null	-1	-1	-1	-1
365.318	0	1	null	NA	null	-1	-1	-1	-1
368.388	0	1	RepeatCorrect	NA	mob	3.88	8.93	15	133.95
371.458	0	1	null	NA	null	-1	-1	-1	-1
374.528	0	1	null	NA	null	-1	-1	-1	-1
377.598	0	1	null	NA	null	-1	-1	-1	-1
380.668	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
383.738	0	1	null	NA	null	-1	-1	-1	-1
386.808	0	1	RepeatCorrect	NA	mutt	3.89	6.09	30	182.7
389.878	0	1	null	NA	null	-1	-1	-1	-1
392.948	0	1	RepeatCorrect	NA	kick	4.33	9.9	28	277.2
396.018	0	1	null	NA	null	-1	-1	-1	-1
399.088	0	1	RepeatCorrect	NA	muff	4.12	5.85	18	105.3
402.158	0	1	null	NA	null	-1	-1	-1	-1
405.226	0	1	RepeatCorrect	NA	dean	4.45	9.58	24	229.92
408.296	0	1	null	NA	null	-1	-1	-1	-1
411.366	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
414.436	0	1	null	NA	null	-1	-1	-1	-1
417.506	0	1	RepeatCorrect	NA	choke	3.97	7.99	17	135.83
420.576	0	1	null	NA	null	-1	-1	-1	-1
423.646	0	1	RepeatCorrect	NA	bought	2.96	10.95	25	273.75
426.716	0	1	null	NA	null	-1	-1	-1	-1
429.786	0	1	null	NA	null	-1	-1	-1	-1
432.856	0	1	null	NA	null	-1	-1	-1	-1
435.926	0	1	RepeatCorrect	NA	roof	4.79	8.64	13	112.32
438.996	0	1	null	NA	null	-1	-1	-1	-1
442.066	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
445.135	0	1	null	NA	null	-1	-1	-1	-1
448.205	0	1	RepeatCorrect	NA	botch	2.75	5.49	13	71.37
451.275	0	1	null	NA	null	-1	-1	-1	-1
454.345	0	1	RepeatIncorrect	NA	rid	2.13	9.91	29	287.39
457.415	0	1	null	NA	null	-1	-1	-1	-1
460.485	0	1	RepeatCorrect	NA	sought	2.26	8.86	24	212.64
463.555	0	1	null	NA	null	-1	-1	-1	-1
466.625	0	1	RepeatCorrect	NA	vice	2.46	9.67	16	154.72
469.695	0	1	null	NA	null	-1	-1	-1	-1
472.765	0	1	RepeatCorrect	NA	god	2.07	11.77	19	223.63
475.835	0	1	null	NA	null	-1	-1	-1	-1
478.905	0	1	null	NA	null	-1	-1	-1	-1
481.975	0	1	null	NA	null	-1	-1	-1	-1
485.045	0	1	RepeatCorrect	NA	mace	4.81	7.15	29	207.35
488.114	0	1	null	NA	null	-1	-1	-1	-1
491.184	0	1	RepeatCorrect	NA	cuff	4.61	6.73	16	107.68
494.254	0	1	null	NA	null	-1	-1	-1	-1
497.324	0	1	RepeatCorrect	NA	dive	4.03	9.01	17	153.17
500.394	0	1	null	NA	null	-1	-1	-1	-1
503.464	0	1	RepeatCorrect	NA	bake	4.21	7.84	29	227.36
506.534	0	1	null	NA	null	-1	-1	-1	-1
509.604	0	1	null	NA	null	-1	-1	-1	-1
512.674	0	1	null	NA	null	-1	-1	-1	-1
515.744	0	1	RepeatCorrect	NA	mean	2.5	11.93	23	274.39
518.814	0	1	null	NA	null	-1	-1	-1	-1
521.884	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
524.954	0	1	null	NA	null	-1	-1	-1	-1
528.022	0	1	RepeatCorrect	NA	shall	2.33	11	13	143
531.093	0	1	null	NA	null	-1	-1	-1	-1
534.163	0	1	null	NA	null	-1	-1	-1	-1
537.232	0	1	null	NA	null	-1	-1	-1	-1
540.302	0	1	RepeatCorrect	NA	bag	4.9	9.71	28	271.88
543.372	0	1	null	NA	null	-1	-1	-1	-1
546.442	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
549.512	0	1	null	NA	null	-1	-1	-1	-1
