onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
147.356	0	1	null	NA	null	-1	-1	-1	-1
150.426	0	1	null	NA	null	-1	-1	-1	-1
153.495	0	1	ListenWord	NA	duck	4.86	8.83	25	220.75
156.565	0	1	null	NA	null	-1	-1	-1	-1
159.635	0	1	ListenWord	NA	latch	4.79	7.15	18	128.7
162.705	0	1	null	NA	null	-1	-1	-1	-1
165.775	0	1	ListenNoise	NA	null	-1	-1	-1	-1
168.845	0	1	null	NA	null	-1	-1	-1	-1
171.915	0	1	ListenWord	NA	nap	4.03	7.4	20	148
174.985	0	1	null	NA	null	-1	-1	-1	-1
178.055	0	1	ListenNoise	NA	null	-1	-1	-1	-1
181.125	0	1	null	NA	null	-1	-1	-1	-1
184.195	0	1	ListenWord	NA	mud	4.86	9.35	20	187
187.265	0	1	null	NA	null	-1	-1	-1	-1
190.335	0	1	ListenNoise	NA	null	-1	-1	-1	-1
193.404	0	1	null	NA	null	-1	-1	-1	-1
196.474	0	1	ListenWord	NA	heat	3.79	10.25	25	256.25
199.544	0	1	null	NA	null	-1	-1	-1	-1
202.614	0	1	ListenWord	NA	deuce	3.04	5.86	20	117.2
205.684	0	1	null	NA	null	-1	-1	-1	-1
208.754	0	1	ListenWord	NA	dot	4.12	8.98	26	233.48
211.824	0	1	null	NA	null	-1	-1	-1	-1
214.893	0	1	ListenWord	NA	patch	4.7	10.14	21	212.94
217.963	0	1	null	NA	null	-1	-1	-1	-1
221.033	0	1	null	NA	null	-1	-1	-1	-1
224.103	0	1	null	NA	null	-1	-1	-1	-1
227.173	0	1	ListenWord	NA	shell	4.8	10.52	21	220.92
230.243	0	1	null	NA	null	-1	-1	-1	-1
233.313	0	1	ListenNoise	NA	null	-1	-1	-1	-1
236.382	0	1	null	NA	null	-1	-1	-1	-1
239.452	0	1	ListenWord	NA	jot	3.3	6.29	22	138.38
242.522	0	1	null	NA	null	-1	-1	-1	-1
245.592	0	1	null	NA	null	-1	-1	-1	-1
248.662	0	1	null	NA	null	-1	-1	-1	-1
251.732	0	1	ListenWord	NA	mug	4.8	7.4	21	155.4
254.802	0	1	null	NA	null	-1	-1	-1	-1
257.872	0	1	ListenWord	NA	laugh	4.21	9.51	19	180.69
260.942	0	1	null	NA	null	-1	-1	-1	-1
264.012	0	1	ListenWord	NA	mess	3.9	9.49	18	170.82
267.082	0	1	null	NA	null	-1	-1	-1	-1
270.152	0	1	null	NA	null	-1	-1	-1	-1
273.222	0	1	null	NA	null	-1	-1	-1	-1
276.291	0	1	ListenNoise	NA	null	-1	-1	-1	-1
279.361	0	1	null	NA	null	-1	-1	-1	-1
282.431	0	1	ListenWord	NA	rile	1.96	5.09	26	132.34
285.501	0	1	null	NA	null	-1	-1	-1	-1
288.571	0	1	ListenNoise	NA	null	-1	-1	-1	-1
291.641	0	1	null	NA	null	-1	-1	-1	-1
294.711	0	1	ListenWord	NA	pull	3.97	10.25	16	164
297.781	0	1	null	NA	null	-1	-1	-1	-1
300.851	0	1	ListenWord	NA	nut	4.52	8.4	25	210
303.921	0	1	null	NA	null	-1	-1	-1	-1
306.991	0	1	ListenWord	NA	pet	4.71	9.6	30	288
310.061	0	1	null	NA	null	-1	-1	-1	-1
313.131	0	1	ListenWord	NA	rough	3.83	9.23	20	184.6
316.2	0	1	null	NA	null	-1	-1	-1	-1
319.27	0	1	null	NA	null	-1	-1	-1	-1
322.34	0	1	null	NA	null	-1	-1	-1	-1
325.41	0	1	ListenWord	NA	rub	4.33	8.35	23	192.05
328.48	0	1	null	NA	null	-1	-1	-1	-1
331.55	0	1	ListenWord	NA	howl	3.83	8.08	15	121.2
334.62	0	1	null	NA	null	-1	-1	-1	-1
337.69	0	1	ListenWord	NA	chore	3.78	6.36	21	133.56
340.759	0	1	null	NA	null	-1	-1	-1	-1
343.829	0	1	ListenWord	NA	nip	3.43	6.6	25	165
346.899	0	1	null	NA	null	-1	-1	-1	-1
349.969	0	1	ListenNoise	NA	null	-1	-1	-1	-1
353.039	0	1	null	NA	null	-1	-1	-1	-1
356.108	0	1	ListenWord	NA	deed	3.86	7.59	18	136.62
359.178	0	1	null	NA	null	-1	-1	-1	-1
362.248	0	1	null	NA	null	-1	-1	-1	-1
365.318	0	1	null	NA	null	-1	-1	-1	-1
368.388	0	1	ListenWord	NA	ship	4.87	10.85	19	206.15
371.458	0	1	null	NA	null	-1	-1	-1	-1
374.528	0	1	null	NA	null	-1	-1	-1	-1
377.598	0	1	null	NA	null	-1	-1	-1	-1
380.668	0	1	ListenNoise	NA	null	-1	-1	-1	-1
383.738	0	1	null	NA	null	-1	-1	-1	-1
386.808	0	1	ListenWord	NA	pal	3.93	9.42	20	188.4
389.878	0	1	null	NA	null	-1	-1	-1	-1
392.948	0	1	ListenWord	NA	dull	2.37	8.44	23	194.12
396.017	0	1	null	NA	null	-1	-1	-1	-1
399.087	0	1	ListenWord	NA	shake	4.07	8.57	24	205.68
402.157	0	1	null	NA	null	-1	-1	-1	-1
405.227	0	1	ListenWord	NA	race	3.59	10.75	29	311.75
408.297	0	1	null	NA	null	-1	-1	-1	-1
411.367	0	1	ListenNoise	NA	null	-1	-1	-1	-1
414.437	0	1	null	NA	null	-1	-1	-1	-1
417.507	0	1	ListenWord	NA	gag	4.37	8.06	19	153.14
420.577	0	1	null	NA	null	-1	-1	-1	-1
423.647	0	1	ListenWord	NA	suck	3.46	9.53	25	238.25
426.717	0	1	null	NA	null	-1	-1	-1	-1
429.787	0	1	null	NA	null	-1	-1	-1	-1
432.857	0	1	null	NA	null	-1	-1	-1	-1
435.927	0	1	ListenWord	NA	rich	2.79	10.51	21	220.71
438.996	0	1	null	NA	null	-1	-1	-1	-1
442.066	0	1	ListenNoise	NA	null	-1	-1	-1	-1
445.136	0	1	null	NA	null	-1	-1	-1	-1
448.206	0	1	ListenWord	NA	cowl	3.96	5.81	18	104.58
451.276	0	1	null	NA	null	-1	-1	-1	-1
454.346	0	1	ListenWord	NA	debt	2.72	9.56	28	267.68
457.416	0	1	null	NA	null	-1	-1	-1	-1
460.486	0	1	ListenWord	NA	watt	3.1	8.14	25	203.5
463.555	0	1	null	NA	null	-1	-1	-1	-1
466.625	0	1	ListenWord	NA	foul	2.4	8.31	17	141.27
469.695	0	1	null	NA	null	-1	-1	-1	-1
472.765	0	1	ListenWord	NA	sham	3.07	6.92	15	103.8
475.835	0	1	null	NA	null	-1	-1	-1	-1
478.904	0	1	null	NA	null	-1	-1	-1	-1
481.974	0	1	null	NA	null	-1	-1	-1	-1
485.044	0	1	ListenWord	NA	fat	4.52	10.29	28	288.12
488.114	0	1	null	NA	null	-1	-1	-1	-1
491.184	0	1	ListenWord	NA	tag	4.25	9.94	21	208.74
494.254	0	1	null	NA	null	-1	-1	-1	-1
497.324	0	1	ListenWord	NA	ghoul	2.7	8.82	17	149.94
500.394	0	1	null	NA	null	-1	-1	-1	-1
503.464	0	1	ListenWord	NA	tire	5	8.73	26	226.98
506.534	0	1	null	NA	null	-1	-1	-1	-1
509.604	0	1	null	NA	null	-1	-1	-1	-1
512.674	0	1	null	NA	null	-1	-1	-1	-1
515.744	0	1	ListenWord	NA	veer	3.19	5.24	20	104.8
518.813	0	1	null	NA	null	-1	-1	-1	-1
521.883	0	1	ListenNoise	NA	null	-1	-1	-1	-1
524.953	0	1	null	NA	null	-1	-1	-1	-1
528.023	0	1	ListenWord	NA	chuck	3.82	9.44	20	188.8
531.093	0	1	null	NA	null	-1	-1	-1	-1
534.163	0	1	null	NA	null	-1	-1	-1	-1
537.233	0	1	null	NA	null	-1	-1	-1	-1
540.303	0	1	ListenWord	NA	hot	4.31	10.85	28	303.8
543.373	0	1	null	NA	null	-1	-1	-1	-1
546.443	0	1	ListenNoise	NA	null	-1	-1	-1	-1
549.513	0	1	null	NA	null	-1	-1	-1	-1
