onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	4	1.52328395307995	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	2	4.04771011602134	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	6	2.48371070204303	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	9	1.01894331886433	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	6	2.15722005791031	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	2	1.51721396204084	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	2	8	1.47975597693585	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	2	1.34506437182426	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	8	1.95407325099222	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	1.89835924399085	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	1	1.22771529015154	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	1.44241341017187	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	4	1.72664252505638	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	0	1.58344295294955	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	4	3.14517394080758	2	0	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	0.978730326984078	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	3.93862417293712	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	3.41920196102001	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	3	1.35038373991847	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	4.96767533803359	1	1	1	1	0	1	1	1	0	1	1	1
