onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	10	2.05359002784826	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	6	3.32246757415123	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	3	1.3321279308293	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	8	2.16624356107786	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	1.52579686092213	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	1	1.35312556894496	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	1.69789632107131	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	6	3.24053891794756	2	1	0	0	0	0	0	1	0	1	1	1
98	5	1	2	6	n/a	n/a	0	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	3.86871744599193	2	0	0	1	1	1	0	0	1	1	1	1
122	5	1	2	8	1.14992712601088	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	2.66207896615379	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	1	1.95157989417203	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	7	1.28900607908145	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	1.27539319591597	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	0.334936511004344	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	2	1.87116797221825	1	1	1	1	1	1	0	1	0	1	1	1
206	5	1	2	8	1.0173979899846	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	9	1.28146179090254	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	2	1.32700994098559	1	1	1	1	0	1	1	1	0	1	1	1
