onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	9	1.6018986729905	2	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	n/a	n/a	0	1	0	0	0	1	0	0	1	0	1
26	5	0	2	9	1.07721285591833	2	1	0	1	1	0	1	1	1	0	1	1
38	5	1	1	2	1.83902703900822	1	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	4	1.19998609088361	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	1.97680659312755	2	0	1	0	1	1	1	1	1	1	1	1
74	5	0	2	6	2.49921833002008	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	4	2.45815192419104	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	1.71421197708696	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	1.39617592003196	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	10	1.15949936211109	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	4	1.87314097187482	1	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	2	1.40163246612065	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	8	1.37222856911831	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	1.7662164370995	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	7	1.86225332901813	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	2	6	1.41668292693794	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	8	1.4486276069656	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	1	1.3783318400383	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	2	1.89213459379971	2	0	1	1	0	1	1	1	0	1	1	1
