onset	duration	trial_type	fb_valence	fb_arousal
0.001	42.001	rest	n/a	n/a
42.002	4.000	fb_a_pos	0.000	0.000
46.002	10.001	feel	n/a	n/a
56.003	3.997	fb_a_pos	0.443	0.206
60.000	10.001	feel	n/a	n/a
70.001	4.001	fb_a_pos	-0.231	0.137
74.002	10.000	feel	n/a	n/a
84.002	4.000	fb_a_pos	-0.380	0.120
88.002	10.000	feel	n/a	n/a
98.002	3.999	fb_a_pos	-0.257	0.023
102.001	10.000	rest	n/a	n/a
112.001	4.002	fb_v_neg	0.000	0.000
116.003	9.997	feel	n/a	n/a
126.000	4.001	fb_v_neg	0.671	0.380
130.001	10.000	feel	n/a	n/a
140.001	4.000	fb_v_neg	0.466	0.446
144.001	10.000	feel	n/a	n/a
154.001	4.001	fb_v_neg	0.126	-0.200
158.002	9.999	feel	n/a	n/a
168.001	4.000	fb_v_neg	-0.020	-0.343
172.001	10.000	rest	n/a	n/a
182.001	4.000	fb_v_pos	0.000	0.000
186.001	9.999	feel	n/a	n/a
196.000	4.001	fb_v_pos	0.403	-0.246
200.001	9.999	feel	n/a	n/a
210.000	4.000	fb_v_pos	-0.314	0.909
214.000	10.000	feel	n/a	n/a
224.000	4.001	fb_v_pos	-0.243	0.677
228.001	9.999	feel	n/a	n/a
238.000	4.001	fb_v_pos	-0.060	-0.291
242.001	10.001	rest	n/a	n/a
252.002	4.000	fb_a_neg	0.000	0.000
256.002	10.000	feel	n/a	n/a
266.002	3.998	fb_a_neg	-0.306	-0.314
270.000	10.002	feel	n/a	n/a
280.002	4.000	fb_a_neg	0.066	0.526
284.002	10.000	feel	n/a	n/a
294.002	3.999	fb_a_neg	0.340	0.229
298.001	9.999	feel	n/a	n/a
308.000	4.000	fb_a_neg	0.097	-0.037
312.000	10.002	rest	n/a	n/a
322.002	4.000	fb_v_pos	0.000	0.000
326.002	10.000	feel	n/a	n/a
336.002	4.000	fb_v_pos	0.066	-0.063
340.002	10.000	feel	n/a	n/a
350.002	3.998	fb_v_pos	0.177	0.929
354.000	10.002	feel	n/a	n/a
364.002	4.000	fb_v_pos	-0.043	0.877
368.002	10.000	feel	n/a	n/a
378.002	4.000	fb_v_pos	-0.249	0.389
382.002	9.999	rest	n/a	n/a
392.001	4.001	fb_a_pos	0.000	0.000
396.002	10.000	feel	n/a	n/a
406.002	4.000	fb_a_pos	-0.043	-0.346
410.002	9.999	feel	n/a	n/a
420.001	3.999	fb_a_pos	0.489	0.223
424.000	10.000	feel	n/a	n/a
434.000	4.002	fb_a_pos	-0.411	0.340
438.002	9.998	feel	n/a	n/a
448.000	4.002	fb_a_pos	0.217	0.026
452.002	9.999	rest	n/a	n/a
462.001	4.001	fb_v_neg	0.000	0.000
466.002	9.999	feel	n/a	n/a
476.001	4.000	fb_v_neg	0.043	-0.766
480.001	10.000	feel	n/a	n/a
490.001	4.000	fb_v_neg	0.746	-0.314
494.001	9.999	feel	n/a	n/a
504.000	4.002	fb_v_neg	-0.337	-0.551
508.002	10.000	feel	n/a	n/a
518.002	3.999	fb_v_neg	-0.854	-0.654
522.001	9.999	rest	n/a	n/a
532.000	4.001	fb_a_neg	0.000	0.000
536.001	10.001	feel	n/a	n/a
546.002	3.998	fb_a_neg	0.383	0.243
550.000	10.002	feel	n/a	n/a
560.002	3.999	fb_a_neg	-0.306	-0.580
564.001	10.001	feel	n/a	n/a
574.002	3.998	fb_a_neg	0.186	-0.471
578.000	10.002	feel	n/a	n/a
588.002	4.000	fb_a_neg	-0.806	-0.146
592.002	27.998	finish	n/a	n/a
