onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
12.026	2.000	12.000	2.000	ex_stim	iaps	1750	8.28	4.1
16.395	1.990	16.368	2.000	ex_stim	iaps	5982	7.61	4.51
21.323	2.006	21.297	2.000	in_stim	iaps	2210	4.38	3.56
23.329	1.977	23.297	2.000	in_prep	n/a	n/a	n/a	n/a
25.306	8.012	25.297	8.000	in_feel	n/a	n/a	n/a	n/a
35.558	1.973	35.528	2.000	in_stim	iaps	1630	7.26	4.45
37.531	2.030	37.528	2.000	in_prep	n/a	n/a	n/a	n/a
39.561	8.000	39.528	8.000	in_feel	n/a	n/a	n/a	n/a
52.738	2.011	52.726	2.000	ex_stim	iaps	2540	7.63	3.97
58.537	2.009	58.518	2.000	ex_stim	iaps	9120	3.2	5.77
62.796	2.029	62.784	2.000	ex_stim	iaps	4641	7.2	5.43
70.723	1.991	70.686	2.000	ex_stim	iaps	7100	5.24	2.89
75.912	2.011	75.906	2.000	ex_stim	iaps	2520	4.13	4.22
80.764	1.986	80.740	2.000	ex_stim	iaps	1050	3.46	6.87
87.204	1.998	87.202	2.000	in_stim	iaps	5623	7.19	5.67
89.202	2.000	89.202	2.000	in_prep	n/a	n/a	n/a	n/a
91.202	8.012	91.202	8.000	in_feel	n/a	n/a	n/a	n/a
104.385	1.994	104.377	2.000	in_stim	iaps	1710	8.34	5.41
106.379	2.004	106.377	2.000	in_prep	n/a	n/a	n/a	n/a
108.383	7.989	108.377	8.000	in_feel	n/a	n/a	n/a	n/a
121.062	2.033	121.066	2.000	in_stim	iaps	9623	3.04	6.05
123.095	1.998	123.066	2.000	in_prep	n/a	n/a	n/a	n/a
125.093	7.968	125.066	8.000	in_feel	n/a	n/a	n/a	n/a
135.923	2.006	135.927	2.000	ex_stim	iaps	4503	6	4.93
142.635	2.024	142.639	2.000	ex_stim	iaps	9832	2.94	4.46
147.066	2.007	147.055	2.000	ex_stim	iaps	9360	4.03	2.63
153.838	1.997	153.832	2.000	ex_stim	iaps	7175	4.87	1.72
161.081	2.016	161.076	2.000	ex_stim	iaps	4619	6.46	5.09
168.943	2.002	168.939	2.000	ex_stim	iaps	3310	4.37	5.43
176.263	2.000	176.255	2.000	ex_stim	iaps	1022	4.26	6.02
183.794	1.977	183.780	2.000	ex_stim	iaps	2020	5.68	3.34
190.063	1.995	190.061	2.000	ex_stim	iaps	6300	2.59	6.61
197.746	2.014	197.739	2.000	ex_stim	iaps	7211	4.81	4.2
202.122	2.027	202.128	2.000	ex_stim	iaps	9331	2.87	3.85
206.497	2.015	206.496	2.000	ex_stim	iaps	9622	3.1	6.26
213.303	2.029	213.305	2.000	in_stim	iaps	1610	7.82	3.08
215.332	1.969	215.305	2.000	in_prep	n/a	n/a	n/a	n/a
217.301	8.034	217.305	8.000	in_feel	n/a	n/a	n/a	n/a
227.821	2.016	227.816	2.000	ex_stim	iaps	4531	5.81	4.28
234.356	1.996	234.350	2.000	ex_stim	iaps	3250	3.78	6.29
242.256	2.007	242.263	2.000	in_stim	iaps	3170	1.46	7.21
244.263	1.994	244.263	2.000	in_prep	n/a	n/a	n/a	n/a
246.257	8.028	246.263	8.000	in_feel	n/a	n/a	n/a	n/a
257.550	1.994	257.531	2.000	ex_stim	iaps	9254	2.03	6.04
263.810	2.005	263.812	2.000	ex_stim	iaps	8475	4.85	6.52
269.030	1.989	269.024	2.000	ex_stim	iaps	4626	7.6	5.78
274.393	1.989	274.371	2.000	in_stim	iaps	5972	3.85	6.34
276.382	2.013	276.371	2.000	in_prep	n/a	n/a	n/a	n/a
278.395	7.973	278.371	8.000	in_feel	n/a	n/a	n/a	n/a
290.911	1.993	290.893	2.000	in_stim	iaps	5920	5.16	6.23
292.904	2.000	292.893	2.000	in_prep	n/a	n/a	n/a	n/a
294.904	7.977	294.893	8.000	in_feel	n/a	n/a	n/a	n/a
308.349	2.002	308.353	2.000	ex_stim	iaps	9435	2.27	5
313.259	1.975	313.242	2.000	in_stim	iaps	2060	6.49	3.8
315.234	2.011	315.242	2.000	in_prep	n/a	n/a	n/a	n/a
317.245	7.996	317.242	8.000	in_feel	n/a	n/a	n/a	n/a
328.774	1.998	328.764	2.000	ex_stim	iaps	1931	4	6.8
333.624	2.024	333.629	2.000	ex_stim	iaps	4800	6.44	7.07
339.398	2.025	339.398	2.000	in_stim	iaps	8501	7.91	6.44
341.423	1.999	341.398	2.000	in_prep	n/a	n/a	n/a	n/a
343.422	7.973	343.398	8.000	in_feel	n/a	n/a	n/a	n/a
355.398	1.988	355.375	2.000	ex_stim	iaps	7043	5.17	3.68
362.431	1.991	362.429	2.000	ex_stim	iaps	7285	5.67	3.83
367.053	1.984	367.043	2.000	ex_stim	iaps	9163	2.1	6.53
374.594	1.998	374.596	2.000	in_stim	iaps	5000	7.08	2.67
376.592	1.998	376.596	2.000	in_prep	n/a	n/a	n/a	n/a
378.590	8.019	378.596	8.000	in_feel	n/a	n/a	n/a	n/a
392.432	2.022	392.444	2.000	ex_stim	iaps	2279	4.71	3.74
400.245	1.999	400.233	2.000	ex_stim	iaps	5750	6.6	3.14
405.833	1.974	405.813	2.000	ex_stim	iaps	2058	7.91	5.09
412.939	1.994	412.935	2.000	ex_stim	iaps	4770	4.91	5.85
420.292	2.022	420.291	2.000	ex_stim	iaps	8160	5.07	6.97
427.359	1.999	427.341	2.000	ex_stim	iaps	2722	3.47	3.52
432.890	2.019	432.897	2.000	ex_stim	iaps	3500	2.21	6.99
438.278	2.001	438.277	2.000	ex_stim	iaps	4550	4.95	5
446.197	1.996	446.186	2.000	ex_stim	iaps	7490	5.52	2.42
453.400	1.992	453.401	2.000	ex_stim	iaps	3015	1.52	5.9
457.690	2.012	457.683	2.000	in_stim	iaps	9090	3.56	3.97
459.702	1.971	459.683	2.000	in_prep	n/a	n/a	n/a	n/a
461.673	8.026	461.683	8.000	in_feel	n/a	n/a	n/a	n/a
