onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	640	7	n/a	1650.0	7.0	n/a	thimble/thimble_07s.jpg
7.5	0.5	exp	452	7	n/a	1132.0	7.0	n/a	peanut/peanut_07s.jpg
12.0	0.5	exp	277	7	n/a	690.0	7.0	n/a	golf_cart/golf_cart_07s.jpg
16.5	0.5	exp	344	7	n/a	870.0	7.0	n/a	key/key_07s.jpg
21.0	0.5	exp	183	7	n/a	442.0	7.0	n/a	crib/crib_07s.jpg
25.5	0.5	exp	599	7	n/a	1540.0	7.0	n/a	stapler/stapler_07s.jpg
30.0	0.5	exp	660	7	n/a	1696.0	7.0	n/a	tractor/tractor_07n.jpg
34.5	0.5	exp	92	7	n/a	216.0	7.0	n/a	bulldozer/bulldozer_07s.jpg
39.0	0.5	exp	373	7	n/a	939.0	7.0	n/a	llama/llama_07s.jpg
43.5	0.5	exp	71	7	n/a	166.0	7.0	n/a	book/book_07s.jpg
48.0	0.5	test	562	13	81.0	1438.0	13.0	n/a	shredder/shredder_13s.jpg
52.5	0.5	test	46	13	11.0	114.0	14.0	n/a	beer/beer_14s.jpg
57.0	0.5	catch	721	78	n/a	n/a	n/a	1.218	catch078.jpg
61.5	0.5	exp	31	7	n/a	66.0	7.0	n/a	banana_split/banana_split_07s.jpg
66.0	0.5	exp	357	7	n/a	909.0	7.0	n/a	lectern/lectern_07s.jpg
70.5	0.5	exp	362	7	n/a	916.0	7.0	n/a	lemonade/lemonade_07s.jpg
75.0	0.5	exp	129	7	n/a	301.0	7.0	n/a	chair/chair_07s.jpg
79.5	0.5	catch	721	49	n/a	n/a	n/a	0.914	catch049.jpg
84.0	0.5	exp	229	7	n/a	551.0	7.0	n/a	eggplant/eggplant_07s.jpg
88.5	0.5	exp	708	7	n/a	1820.0	7.0	n/a	windowsill/windowsill_07s.jpg
93.0	0.5	catch	721	67	n/a	n/a	n/a	n/a	catch067.jpg
97.5	0.5	exp	211	7	n/a	506.0	7.0	n/a	donut/donut_07s.jpg
102.0	0.5	test	436	13	71.0	1094.0	14.0	n/a	pacifier/pacifier_14s.jpg
106.5	0.5	exp	73	7	n/a	171.0	7.0	n/a	bottle/bottle_07s.jpg
111.0	0.5	catch	721	30	n/a	n/a	n/a	1.042	catch030.jpg
115.5	0.5	exp	400	7	n/a	1003.0	7.0	n/a	milkshake/milkshake_07s.jpg
120.0	0.5	exp	629	7	n/a	1618.0	7.0	n/a	taillight/taillight_07s.jpg
124.5	0.5	exp	8	7	n/a	18.0	7.0	n/a	aluminum_foil/aluminum_foil_07s.jpg
129.0	0.5	exp	516	7	n/a	1293.0	7.0	n/a	ready_meal/ready_meal_07s.jpg
133.5	0.5	exp	550	7	n/a	1403.0	7.0	n/a	seesaw/seesaw_07s.jpg
138.0	0.5	exp	697	7	n/a	1786.0	7.0	n/a	wasp/wasp_07s.jpg
142.5	0.5	exp	56	7	n/a	132.0	7.0	n/a	birdhouse/birdhouse_07s.jpg
147.0	0.5	catch	721	39	n/a	n/a	n/a	0.781	catch039.jpg
151.5	0.5	exp	461	7	n/a	1162.0	7.0	n/a	phone/phone_07s.jpg
156.0	0.5	exp	693	7	n/a	1780.0	7.0	n/a	walrus/walrus_07s.jpg
160.5	0.5	exp	663	7	n/a	1705.0	7.0	n/a	trashcan/trashcan_07s.jpg
165.0	0.5	exp	114	7	n/a	259.0	7.0	n/a	cane/cane_07s.jpg
169.5	0.5	exp	569	7	n/a	1460.0	7.0	n/a	skunk/skunk_07s.jpg
174.0	0.5	exp	254	7	n/a	624.0	7.0	n/a	flyswatter/flyswatter_07n.jpg
