onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	53	new	scene	0	0	0	1	NEW	3	NEW+	1	2.87
n/a	n/a	54	switch	scene	1	10	-1	-1	OLD	-3	OLD+	1	0.9
n/a	n/a	55	stay	scene	5	16	-1	-1	OLD	-3	OLD+	1	1.1
n/a	n/a	56	new	scene	0	0	0	1	NEW	3	NEW+	1	1.4
n/a	n/a	57	new	scene	0	0	0	1	NEW	3	NEW+	1	1.55
n/a	n/a	58	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.58
n/a	n/a	59	stay	scene	6	9	-1	-1	OLD	-3	OLD+	1	0.81
n/a	n/a	60	stay	scene	6	12	-1	-1	OLD	-3	OLD+	1	0.95
n/a	n/a	61	new	scene	0	0	0	1	NEW	3	NEW+	1	2
n/a	n/a	62	stay	scene	3	5	-1	-1	OLD	-2	old-	1	1.8
n/a	n/a	63	switch	scene	6	8	1	-1	OLD	-3	OLD+	1	1.05
n/a	n/a	64	new	scene	0	0	0	1	NEW	3	NEW+	1	1.96
n/a	n/a	65	new	scene	0	0	0	1	NEW	3	NEW+	1	1.06
n/a	n/a	66	new	scene	0	0	0	1	NEW	-2	old-	0	1.53
n/a	n/a	67	stay	scene	6	13	-1	-1	OLD	3	NEW+	0	1.84
n/a	n/a	68	switch	scene	5	7	-1	-1	OLD	2	new-	0	2.07
n/a	n/a	69	new	scene	0	0	0	1	NEW	3	NEW+	1	1.79
n/a	n/a	70	new	scene	0	0	0	1	NEW	-2	old-	0	2.7
n/a	n/a	71	new	scene	0	0	0	1	NEW	2	new-	1	1.94
n/a	n/a	72	switch	scene	2	15	-1	-1	OLD	2	new-	0	1.63
n/a	n/a	73	switch	scene	5	14	-1	-1	OLD	-3	OLD+	1	0.99
n/a	n/a	74	new	scene	0	0	0	1	NEW	2	new-	1	1.61
n/a	n/a	75	switch	scene	5	12	1	-1	OLD	-3	OLD+	1	1.69
n/a	n/a	76	new	scene	0	0	0	1	NEW	2	new-	1	1.51
n/a	n/a	77	stay	scene	4	7	-1	-1	OLD	-3	OLD+	1	1.14
n/a	n/a	78	new	scene	0	0	0	1	NEW	2	new-	1	3
n/a	n/a	79	switch	scene	3	9	1	-1	OLD	-3	OLD+	1	1.44
n/a	n/a	80	new	scene	0	0	0	1	NEW	2	new-	1	1.6
n/a	n/a	81	stay	scene	1	4	-1	-1	OLD	-3	OLD+	1	1.46
