onset	duration	trial_type	response_time	feedback_onset	correct/incorrect
0.703428416191	2.5	A	0.666771710587	1.70339913671	0.0
3.2199951703900003	2.5	B	0.833402457061	4.2199664946099995	1.0
5.7199133689499995	2.5	C	0.683377403484	6.71988590057	0.0
8.21983458601	2.5	BL	0.633301337197	9.21965981466	1.0
10.7195713725	2.5	BL	0.600119834588	11.719577409500001	1.0
13.219503758	2.5	B	0.750039844246	14.219476591500001	0.0
15.7194261825	2.5	A	0.816759938423	16.7193972049	1.0
18.2193422681	2.5	BL	0.633472788191	19.2193395514	1.0
20.7192649944	2.5	C	0.7501255697429999	21.7192381297	0.0
23.2191844004	2.5	A	0.666782577196	24.219154517199996	1.0
25.7191013915	2.5	C	0.766736394095	26.7190727157	1.0
28.2191913429	2.5	B	0.383437773551	29.2191602523	0.0
30.7191095415	2.5	A	0.583395212654	31.7190814694	1.0
33.2190256271	2.5	C	0.400086631047	34.2189999698	1.0
35.7189453349	2.5	B	0.616655800053	36.7189377886	1.0
38.2188674575	2.5	A	0.483468260436	39.2188587039	1.0
40.7187868635	2.5	BL	0.766632557579	41.7186081681	1.0
43.21853632770001	2.5	B	0.616770805034	44.2185139908	1.0
45.7184566392	2.5	C	0.383416644028	46.7184343023	1.0
48.2183799692	2.5	BL	0.933461016029	49.2183639711	1.0
50.7182975641	2.5	A	0.5334244921360001	51.7182710012	1.0
53.2182166682	2.5	C	0.350091460654	54.21819131270001	1.0
55.71813697970001	2.5	B	0.666740318151	56.7181095113	1.0
58.2180572912	2.5	C	0.500076669987	59.2180328413	1.0
60.7179757916	2.5	A	0.4000519182590001	61.717950738	1.0
63.2178973105	2.5	BL	0.600137040055	64.21788795319999	1.0
65.717817622	2.5	B	0.48341151257	66.7177967943	1.0
68.2177346132	2.5	A	0.56671466087	69.217710767	1.0
70.7176546228	2.5	BL	0.43347973074900004	71.717646171	1.0
73.2175758399	2.5	B	0.46671284976899996	74.2175498808	0.0
75.7174922274	2.5	C	0.350055238614	76.717468683	1.0
78.21742219810001	2.5	BL	0.533461317878	79.21741435	1.0
80.7173310393	2.5	B	0.633379214585	81.7173099097	1.0
83.21725436930001	2.5	C	0.600074557035	84.2172265991	1.0
85.717178303	2.5	A	0.600127984546	86.717139968	1.0
88.21726312290001	2.5	B	0.45007999033999996	89.21723414530001	1.0
90.7171719641	2.5	BL	0.5668172899880001	91.7170050409	1.0
93.2169332005	2.5	C	0.48346494008199997	94.2169066377	1.0
95.71685351200001	2.5	BL	0.700103534668	96.7168432491	1.0
98.2167735217	2.5	A	0.616709529415	99.2167475626	1.0
100.716691418	2.5	BL	0.46680763077699994	101.71668508	0.0
103.216610824	2.5	B	0.666799178965	104.21658607299999	0.0
105.716521175	2.5	A	0.43341936068099995	106.716504573	1.0
108.216450542	2.5	C	0.31674876995900003	109.21643273299999	1.0
110.71637145700001	2.5	BL	0.5668043104230001	111.71635274200001	1.0
113.216286335	2.5	B	0.633411210722	114.21626429999999	1.0
115.71621177799999	2.5	A	0.483406381116	116.71618732799999	0.0
118.216128769	2.5	C	0.5000824051439999	119.216112168	1.0
120.716051496	2.5	BL	0.6668230251430001	121.71604274200001	1.0
123.215979353	2.5	C	0.4834284161899999	124.215946754	1.0
125.715888798	2.5	A	0.516782879049	126.715862537	1.0
128.215810015	2.5	BL	0.7334634308319999	129.21580216700002	1.0
130.715730629	2.5	B	0.700127984544	131.71570165100002	0.0
133.215649431	2.5	A	0.4834860696060001	134.215611096	1.0
135.715570346	2.5	B	0.750165413987	136.715576685	1.0
138.215656977	2.5	C	0.416720396028	139.21563735700002	1.0
140.71557427	2.5	B	0.500107156871	141.715539256	1.0
143.2154976	2.5	C	0.366717075673	144.215471641	1.0
145.715416704	2.5	A	0.416804612272	146.71538953799998	1.0
148.21533762	2.5	B	0.48351323613700004	149.215312566	1.0
150.73192007	2.5	A	0.566717981224	151.731895922	1.0
153.23183042	2.5	C	0.433426001387	154.231817441	1.0
155.73174922299998	2.5	BL	0.566785595702	156.731594072	1.0
158.231514987	2.5	BL	0.666769597634	159.231503818	1.0
160.731431978	2.5	B	0.7334631289810001	161.731412056	1.0
163.231350177	2.5	A	0.6834057774160001	164.23132633	1.0
165.73127229899998	2.5	C	0.500081197742	166.731246642	1.0
168.231192309	2.5	BL	0.633430529144	169.231182348	1.0
170.73111262	2.5	BL	0.566754203266	171.731102961	1.0
173.231034139	2.5	B	0.533440490204	174.23101270799995	1.0
175.730950527	2.5	BL	0.633441697608	176.730941471	0.0
178.230870536	2.5	C	0.6334133236739999	179.230845483	1.0
180.730792055	2.5	BL	0.800074858886	181.730782396	0.0
183.230709348	2.5	A	0.55005252196	184.23068399299999	1.0
185.730632376	2.5	B	0.683493615865	186.730610945	1.0
188.230550575	2.5	BL	0.9001062513200001	189.230542123	0.0
190.73047239599998	2.5	C	n/a	191.73044734200002	n/a
193.23039270700002	2.5	A	0.533410607022	194.230362522	1.0
195.73031	2.5	B	0.616714962722	196.730283437	1.0
198.23023272700001	2.5	A	0.483413927373	199.23020374900003	1.0
200.73015122700002	2.5	C	0.466748468109	201.730115005	1.0
203.230074859	2.5	B	0.450051616408	204.2300489	1.0
205.729980983	2.5	BL	0.566757825471	206.72998702	1.0
208.22991397299998	2.5	C	0.5500482960540001	209.229891334	1.0
210.729840925	2.5	A	0.500096290258	211.72980259	1.0
213.22975489799998	2.5	C	0.350087234749	214.229732561	1.0
215.729671889	2.5	BL	0.7001856379610001	216.72966373900002	0.0
218.22958888	2.5	A	0.550055238611	219.229566845	1.0
