onset	duration	trial_type	correct
4	6.0	CS2	1
14	6.0	MS1	0
24	6.0	CS1	1
34	6.0	MS3	1
44	6.0	MS4	1
60	6.0	MS1	1
70	6.0	CS2	1
82	6.0	MS4	1
92	6.0	MS4	1
104	6.0	MS1	1
116	6.0	MS2	1
126	6.0	MS1	1
136	6.0	MS3	1
146	6.0	MS2	1
158	6.0	MS3	1
168	6.0	CS1	1
180	6.0	CS3	1
194	6.0	CS1	1
210	6.0	CS4	1
222	6.0	CS2	1
234	6.0	CS2	1
246	6.0	CS3	1
256	6.0	MS1	1
266	6.0	CS4	1
278	6.0	MS2	1
288	6.0	MS3	0
302	6.0	MS3	1
314	6.0	CS3	1
324	6.0	MS4	1
334	6.0	CS4	1
344	6.0	CS4	1
354	6.0	CS3	1
364	6.0	MS2	1
374	6.0	CS3	1
386	6.0	CS2	1
396	6.0	CS1	1
406	6.0	MS4	1
416	6.0	MS2	1
426	6.0	CS1	1
438	6.0	CS4	1
