onset	duration	trial_type	correct
4	6.0	CS3	1
18	6.0	CS3	1
28	6.0	MS3	1
38	6.0	MS4	1
48	6.0	MS4	1
58	6.0	MS2	1
70	6.0	MS2	1
84	6.0	MS4	1
94	6.0	CS1	1
104	6.0	MS1	1
118	6.0	CS1	1
128	6.0	MS2	1
138	6.0	MS2	1
148	6.0	CS4	1
158	6.0	CS1	1
170	6.0	CS4	1
182	6.0	CS3	1
192	6.0	CS4	1
206	6.0	MS1	1
218	6.0	MS3	1
228	6.0	MS1	1
238	6.0	MS1	1
248	6.0	CS2	1
262	6.0	MS3	1
276	6.0	CS4	1
286	6.0	CS2	1
298	6.0	CS3	1
310	6.0	CS2	1
320	6.0	MS3	1
334	6.0	CS2	1
344	6.0	CS4	1
356	6.0	MS3	1
366	6.0	CS1	1
378	6.0	MS1	1
388	6.0	MS4	1
398	6.0	CS3	1
408	6.0	MS2	1
418	6.0	CS1	1
428	6.0	MS4	1
438	6.0	CS2	1
