onset	duration	subject	gender	effort	task	target	jitter	rt	acc
9.71172011546	0	1	male	LowEff	house	absent	6.48897848332	0.252608714865	1
14.4615150112	0	1	male	LowEff	house	absent	3.49774703696	0.646311549692	1
21.1785601521	0	1	male	LowEff	house	absent	5.07592306322	0.610077103831	1
28.6444004455	0	1	male	LowEff	house	absent	5.86640604304	0.447423179568	1
32.0947194219	0	1	male	LowEff	house	present	2.016353883	0.741991327019	1
38.8775042414	0	1	male	LowEff	house	absent	5.0569364876	0.603694374475	1
41.6273731091	0	1	male	LowEff	house	present	1.15386618891	0.809212687836	1
49.0605200074	0	1	male	LowEff	house	absent	5.6381693336	0.298101192453	1
52.3776653147	0	1	male	LowEff	house	present	2.02632741104	0.380081734289	1
55.6436245398	0	1	male	LowEff	house	present	1.90369173193	0.429765319735	1
61.2435834869	0	1	male	LowEff	house	absent	4.18338694699	0.55959903958	0
65.2933279151	0	1	male	LowEff	house	present	2.50477898519	0.85159898066	1
70.3266893002	0	1	male	LowEff	house	absent	3.193240575	0.720219213386	1
73.4430300096	0	1	male	LowEff	house	present	1.39281806702	0.277456912094	1
77.6262542422	0	1	male	LowEff	house	present	2.91135970885	0.235343771395	1
80.1771047284	0	1	male	LowEff	house	present	1.32548517594	0.267278232817	1
82.876073475	0	1	male	LowEff	house	present	1.44522949952	0.235210557699	1
89.9925627689	0	1	male	LowEff	house	absent	5.90176507701	0.355734049101	1
101.058887819	0	1	male	HighEff	face	absent	1.63745472991	0.318512348846	1
103.775464791	0	1	male	HighEff	face	absent	1.4069412223	0.523807465219	1
108.991916554	0	1	male	HighEff	face	present	3.69336607409	0.432008817723	0
113.159129205	0	1	male	HighEff	face	present	2.74345962272	0.312510047068	0
116.559086679	0	1	male	HighEff	face	present	2.0925667339	0.357723608478	0
120.274903436	0	1	male	HighEff	face	absent	2.36228799323	0.275814797094	1
127.274739161	0	1	male	HighEff	face	present	5.7270955522	0.235010416927	1
130.757916128	0	1	male	HighEff	face	present	2.26079331067	0.491254008419	0
135.407952537	0	1	male	HighEff	face	absent	3.17085034006	0.440950787144	1
138.341557998	0	1	male	HighEff	face	present	1.50753841836	0.47638146767	0
143.690972402	0	1	male	HighEff	face	absent	3.88735468927	0.294003910591	1
146.47408161	0	1	male	HighEff	face	present	1.50753841836	0.508577553108	0
153.841053643	0	1	male	HighEff	face	present	5.86640604304	0.352031925175	1
157.773892485	0	1	male	HighEff	face	absent	2.5871286487	0.249299187075	1
161.040897566	0	1	male	HighEff	face	present	2.02632741104	0.388347388018	1
166.673527813	0	1	male	HighEff	face	absent	4.25301616293	0.226702493466	1
169.990681446	0	1	male	HighEff	face	absent	2.0925667339	0.257622481349	0
172.539939132	0	1	male	HighEff	face	absent	1.30144470078	0.255717781658	1
184.390292756	0	1	male	LowEff	face	absent	2.50938462407	0.433551983124	1
187.756132153	0	1	male	LowEff	face	present	1.95462348989	0.268244672572	1
195.773124585	0	1	male	LowEff	face	absent	6.76567780973	0.307610921218	1
198.322496911	0	1	male	LowEff	face	present	1.24565114476	0.285624897127	1
205.538924018	0	1	male	LowEff	face	absent	5.93313518926	0.25092817284	1
208.8060162	0	1	male	LowEff	face	present	2.02632741104	0.299830408716	1
211.988765858	0	1	male	LowEff	face	absent	1.90369173193	0.222195323302	1
