onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
0.48	3.00	mal4	1242	1	236	500	118000	0.0172	malware08.jpg
3.98	3.00	bus3	1038	1	721	1280	922880	0.9079	busRept02.jpg
7.48	3.00	bus4	655	1	697	1280	892160	0.8739	busRept13.jpg
10.98	3.00	mal4	870	1	383	539	206437	0.1150	malware06.jpg
14.48	3.00	mal4	995	1	407	500	203500	0.1118	malware15.jpg
17.98	3.00	novel	1095	1	768	1029	790272	0.7612	busNoRept20.jpg
21.48	3.00	bus4	750	1	768	879	675072	0.6337	busRept16.jpg
24.98	3.00	bus4	706	2	720	1280	921600	0.9065	busRept05.jpg
28.48	3.00	bus4	902	1	721	1280	922880	0.9079	busRept02.jpg
31.98	3.00	mal4	765	1	457	500	228500	0.1394	malware11.jpg
35.48	3.00	bus3	756	1	768	1029	790272	0.7612	busRept12.jpg
38.98	3.00	bus4	634	1	686	1280	878080	0.8583	busRept09.jpg
42.48	3.00	bus4	673	1	692	1280	885760	0.8668	busRept15.jpg
45.98	3.00	bus3	974	1	686	1280	878080	0.8583	busRept11.jpg
49.48	3.00	mal5	1078	1	383	539	206437	0.1150	malware06.jpg
52.98	3.00	bus4	600	1	760	1280	972800	0.9632	busRept07.jpg
56.48	3.00	bus4	580	1	768	1148	881664	0.8623	busRept17.jpg
59.98	3.00	mal4	983	2	265	500	132500	0.0332	malware10.jpg
63.48	3.00	bus3	1066	1	768	1020	783360	0.7535	busRept01.jpg
66.98	3.00	bus5	648	1	697	1280	892160	0.8739	busRept13.jpg
70.48	3.00	mal5	1087	1	457	500	228500	0.1394	malware11.jpg
73.98	3.00	bus4	695	2	768	1024	786432	0.7569	busRept03.jpg
77.48	3.00	mal5	874	1	407	500	203500	0.1118	malware15.jpg
80.98	3.00	mal6	995	1	457	500	228500	0.1394	malware11.jpg
84.48	3.00	mal5	1145	2	265	500	132500	0.0332	malware10.jpg
87.98	3.00	bus5	1475	1	768	1148	881664	0.8623	busRept17.jpg
91.48	3.00	bus4	1194	1	768	1244	955392	0.9439	busRept14.jpg
94.98	3.00	novel	2209	1	768	1003	770304	0.7391	busNoRept01.jpg
98.48	3.00	mal4	1459	1	448	500	224000	0.1345	malware20.jpg
101.98	3.00	bus5	1069	1	686	1280	878080	0.8583	busRept09.jpg
105.48	3.00	bus3	1772	1	756	1280	967680	0.9575	busRept10.jpg
108.98	3.00	mal5	2279	2	300	461	138300	0.0396	malware07.jpg
112.50	3.00	bus4	595	1	686	1280	878080	0.8583	busRept19.jpg
116.00	3.00	bus5	788	2	720	1280	921600	0.9065	busRept05.jpg
119.50	3.00	bus3	620	1	768	1021	784128	0.7544	busRept06.jpg
123.00	3.00	bus4	758	1	768	1020	783360	0.7535	busRept01.jpg
126.50	3.00	mal4	0	NaN	295	500	147500	0.0498	malware09.jpg
130.00	3.00	bus4	2671	1	756	1280	967680	0.9575	busRept10.jpg
133.50	3.00	bus4	1013	1	768	1056	811008	0.7841	busRept18.jpg
137.00	3.00	mal4	649	1	410	500	205000	0.1134	malware17.jpg
140.50	3.00	bus4	763	1	768	1056	811008	0.7841	busRept20.jpg
144.00	3.00	mal4	818	2	389	500	194500	0.1018	malware01.jpg
147.50	3.00	mal4	1357	2	334	500	167000	0.0714	malware13.jpg
150.99	3.00	mal5	2016	1	676	1274	861224	0.8397	malware19.jpg
154.49	3.00	bus4	828	1	686	1280	878080	0.8583	busRept11.jpg
157.99	3.00	mal4	1203	2	609	1274	775866	0.7452	malware16.jpg
161.49	3.00	bus5	703	1	721	1280	922880	0.9079	busRept02.jpg
164.99	3.00	novel	1719	1	768	1024	786432	0.7569	busNoRept02.jpg
168.49	3.00	bus5	912	1	756	1280	967680	0.9575	busRept10.jpg
171.99	3.00	bus5	1210	1	686	1280	878080	0.8583	busRept11.jpg
175.49	3.00	mal5	646	1	271	500	135500	0.0365	malware12.jpg
178.99	3.00	mal5	653	2	389	500	194500	0.1018	malware01.jpg
182.49	3.00	mal5	1125	1	236	500	118000	0.0172	malware08.jpg
185.99	3.00	mal5	1001	2	334	500	167000	0.0714	malware13.jpg
189.49	3.00	bus6	530	1	686	1280	878080	0.8583	busRept09.jpg
192.99	3.00	novel	2036	1	768	1090	837120	0.8130	busNoRept05.jpg
196.49	3.00	bus6	0	NaN	756	1280	967680	0.9575	busRept10.jpg
199.99	3.00	mal4	858	1	360	500	180000	0.0858	malware04.jpg
203.49	3.00	bus5	2873	1	686	1280	878080	0.8583	busRept19.jpg
206.99	3.00	bus5	725	1	768	1056	811008	0.7841	busRept18.jpg
210.49	3.00	mal5	2369	2	768	1223	939264	0.9261	malware03.jpg
213.99	3.00	mal4	1930	1	598	1007	602186	0.5530	malware02.jpg
217.49	3.00	mal5	2374	1	360	500	180000	0.0858	malware04.jpg
220.99	3.00	bus6	1366	1	721	1280	922880	0.9079	busRept02.jpg
224.49	3.00	mal4	1255	1	281	500	140500	0.0421	malware14.jpg
227.99	3.00	bus5	866	2	768	1024	786432	0.7569	busRept03.jpg
231.49	3.00	bus5	1109	1	760	1280	972800	0.9632	busRept07.jpg
234.99	3.00	novel	866	1	768	1029	790272	0.7612	busNoRept16.jpg
238.49	3.00	bus5	1237	1	692	1280	885760	0.8668	busRept15.jpg
241.99	3.00	bus4	578	1	768	1021	784128	0.7544	busRept06.jpg
245.49	3.00	mal6	1039	1	407	500	203500	0.1118	malware15.jpg
248.99	3.00	mal5	2326	1	410	500	205000	0.1134	malware17.jpg
252.49	3.00	mal4	1634	2	205	500	102500	0.0000	malware05.jpg
255.99	3.00	mal4	912	1	229	500	114500	0.0133	malware18.jpg
259.49	3.00	mal5	1836	1	609	1274	775866	0.7452	malware16.jpg
262.99	3.00	mal6	830	1	383	539	206437	0.1150	malware06.jpg
266.49	3.00	mal5	735	1	448	500	224000	0.1345	malware20.jpg
269.99	3.00	mal5	658	2	205	500	102500	0.0000	malware05.jpg
273.49	3.00	bus4	847	1	768	1029	790272	0.7612	busRept12.jpg
276.99	3.00	bus5	840	1	768	1056	811008	0.7841	busRept20.jpg
280.49	3.00	mal6	667	1	271	500	135500	0.0365	malware12.jpg
283.99	3.00	mal6	2333	2	609	1274	775866	0.7452	malware16.jpg
287.49	3.00	mal5	678	2	598	1007	602186	0.5530	malware02.jpg
290.99	3.00	novel	1468	1	768	1056	811008	0.7841	busNoRept12.jpg
294.49	3.00	bus5	569	1	768	1021	784128	0.7544	busRept06.jpg
297.99	3.00	mal5	1023	2	295	500	147500	0.0498	malware09.jpg
301.49	3.00	mal6	814	2	389	500	194500	0.1018	malware01.jpg
