onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
418.52	3.00	bus3	1825	1	768	1244	955392	0.9439	busRept14.jpg
422.02	3.00	bus2	648	1	768	1021	784128	0.7544	busRept06.jpg
425.52	3.00	mal4	795	1	271	500	135500	0.0365	malware12.jpg
429.02	3.00	bus3	576	1	697	1280	892160	0.8739	busRept13.jpg
432.52	3.00	mal2	908	2	334	500	167000	0.0714	malware13.jpg
436.02	3.00	mal3	1924	1	281	500	140500	0.0421	malware14.jpg
439.52	3.00	mal3	1968	2	334	500	167000	0.0714	malware13.jpg
443.02	3.00	mal3	1278	1	407	500	203500	0.1118	malware15.jpg
446.52	3.00	mal3	1586	2	389	500	194500	0.1018	malware01.jpg
450.02	3.00	bus3	1652	1	768	879	675072	0.6337	busRept16.jpg
