onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0.0521	1.0334	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.0855	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
1.6021	1.2333	T_INK	1	Incongruent	zielony	green	czerwony	red	incorrect	n/a
2.8096	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
2.8355	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3.3521	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.3688	0.5333	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4.9021	0.9667	T_INK	2	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
5.8427	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
5.8688	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6.3855	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.4022	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
7.9188	0.7667	T_INK	3	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	incorrect	n/a
8.6522	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
8.6855	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
9.2022	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.2189	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10.7355	0.6833	T_INK	4	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
11.3979	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
11.4189	0.5166	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11.9355	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
12.9522	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
13.4689	0.8334	T_INK	5	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
14.2714	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
14.3022	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14.8189	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15.8355	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.3522	0.6833	T_INK	6	Incongruent	zielony	green	żółty	yellow	hit	n/a
17.0011	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
17.0356	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
17.5522	1.0334	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.5856	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.1023	1.1166	T_INK	7	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
20.1937	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
20.2189	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
20.7356	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
21.7523	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
22.2689	0.9166	T_INK	8	Incongruent	żółty	yellow	zielony	green	hit	n/a
23.1628	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
23.1856	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
23.7023	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.719	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.2356	0.8	T_INK	9	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
26.0045	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
26.0356	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.5523	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
27.569	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
28.0857	0.95	T_INK	10	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
29.0055	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
29.0356	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.5523	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
30.569	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.0857	0.8167	T_INK	11	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
31.879	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
31.9023	0.5166	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
32.419	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.4357	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.9523	0.85	T_INK	12	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
34.7683	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
34.8024	0.5167	FEEDBACK	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.319	1.0333	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.3942	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.4524	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.4691	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.9858	0.8	INK	1	Neutral	xxxxxxxx	xxxxxxxx	żółty	yellow	hit	n/a
46.7568	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
46.7858	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
47.8024	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
48.3191	0.7167	INK	2	Incongruent	czerwony	red	żółty	yellow	hit	n/a
49.0075	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
49.0358	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.0525	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
50.5692	0.7	INK	3	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
51.2426	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
51.2691	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.2858	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.8025	0.6833	INK	4	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
53.4614	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
53.4858	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.5025	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.0192	0.6667	INK	5	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
55.6644	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
55.6859	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
56.7025	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
57.2192	0.7166	INK	6	Incongruent	żółty	yellow	czerwony	red	hit	n/a
57.9151	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
57.9358	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
58.9525	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.4692	0.6	INK	7	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
60.0382	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
60.0692	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.0859	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.6026	0.8333	INK	8	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
