onset	duration	trial_type	n_back_condition	trial_number	stimulus	response_type
0.0	n/a	RESPONSE	n/a	n/a	n/a	n/a
0.0281	1.0	ISI	n/a	n/a	n/a	n/a
1.028	0.5	DISTRACTOR	1	1	H	Correct Rejection
1.528	1.0	ISI	n/a	n/a	n/a	n/a
2.5281	0.5	DISTRACTOR	1	2	I	Correct Rejection
3.0281	1.0	ISI	n/a	n/a	n/a	n/a
4.0281	0.5	DISTRACTOR	1	3	B	Correct Rejection
4.5281	1.0	ISI	n/a	n/a	n/a	n/a
5.5281	0.5	TARGET	1	4	B	Hit
6.0281	1.0	ISI	n/a	n/a	n/a	n/a
6.6409	n/a	RESPONSE	n/a	n/a	n/a	n/a
7.0281	0.5	DISTRACTOR	1	5	A	Correct Rejection
7.5281	1.9833	ISI	n/a	n/a	n/a	n/a
9.5115	0.5	DISTRACTOR	1	6	H	Correct Rejection
10.0114	1.3333	ISI	n/a	n/a	n/a	n/a
11.3448	0.5	DISTRACTOR	1	7	A	Correct Rejection
11.8448	1.0	ISI	n/a	n/a	n/a	n/a
12.8448	0.5	DISTRACTOR	1	8	D	Correct Rejection
13.3448	1.0	ISI	n/a	n/a	n/a	n/a
14.3448	0.5	DISTRACTOR	1	9	E	Correct Rejection
14.8448	1.0	ISI	n/a	n/a	n/a	n/a
15.8448	0.5	DISTRACTOR	1	10	C	Correct Rejection
16.3449	1.0	ISI	n/a	n/a	n/a	n/a
17.3448	0.5	DISTRACTOR	1	11	D	Correct Rejection
17.8449	1.0	ISI	n/a	n/a	n/a	n/a
18.8449	0.5	DISTRACTOR	1	12	J	Correct Rejection
19.3449	1.0	ISI	n/a	n/a	n/a	n/a
20.3449	0.5	DISTRACTOR	1	13	A	Correct Rejection
20.8449	1.0	ISI	n/a	n/a	n/a	n/a
21.8449	0.5	DISTRACTOR	1	14	H	Correct Rejection
22.3449	1.0	ISI	n/a	n/a	n/a	n/a
23.3449	0.5	DISTRACTOR	1	15	A	Correct Rejection
23.8449	1.0	ISI	n/a	n/a	n/a	n/a
24.8449	0.5	DISTRACTOR	1	16	I	Correct Rejection
25.3449	1.0167	ISI	n/a	n/a	n/a	n/a
26.3616	0.5167	TARGET	1	17	I	Hit
26.755	n/a	RESPONSE	n/a	n/a	n/a	n/a
26.8783	1.0167	ISI	n/a	n/a	n/a	n/a
27.8949	0.5167	DISTRACTOR	1	18	G	Correct Rejection
28.4116	1.0167	ISI	n/a	n/a	n/a	n/a
29.4283	0.5166	TARGET	1	19	G	Hit
29.804	n/a	RESPONSE	n/a	n/a	n/a	n/a
29.9449	1.0167	ISI	n/a	n/a	n/a	n/a
30.9616	0.5167	DISTRACTOR	1	20	F	Correct Rejection
31.4783	1.0167	ISI	n/a	n/a	n/a	n/a
32.495	0.5167	DISTRACTOR	1	21	G	Correct Rejection
33.0116	1.0167	ISI	n/a	n/a	n/a	n/a
34.0283	0.5167	DISTRACTOR	1	22	J	Correct Rejection
34.545	1.0167	ISI	n/a	n/a	n/a	n/a
35.5617	0.5167	DISTRACTOR	1	23	E	Correct Rejection
36.0783	1.0167	ISI	n/a	n/a	n/a	n/a
37.095	0.5167	DISTRACTOR	1	24	J	Correct Rejection
37.6117	1.0167	ISI	n/a	n/a	n/a	n/a
38.6283	0.5167	DISTRACTOR	1	25	F	Correct Rejection
39.145	1.0167	ISI	n/a	n/a	n/a	n/a
40.1617	0.5167	DISTRACTOR	1	26	A	Correct Rejection
40.6784	1.0167	ISI	n/a	n/a	n/a	n/a
41.695	0.5166	DISTRACTOR	1	27	J	Correct Rejection
42.2117	1.0167	ISI	n/a	n/a	n/a	n/a
43.2284	0.5167	DISTRACTOR	1	28	C	Correct Rejection
43.7451	1.0166	ISI	n/a	n/a	n/a	n/a
44.7617	0.5167	DISTRACTOR	1	29	H	Correct Rejection
45.2784	1.0166	ISI	n/a	n/a	n/a	n/a
46.295	0.5167	TARGET	1	30	H	Hit
46.8117	1.0167	ISI	n/a	n/a	n/a	n/a
47.0129	n/a	RESPONSE	n/a	n/a	n/a	n/a
47.8284	0.5167	DISTRACTOR	1	31	B	Correct Rejection
48.3451	1.0166	ISI	n/a	n/a	n/a	n/a
49.3617	0.5167	TARGET	1	32	B	Hit
49.7108	n/a	RESPONSE	n/a	n/a	n/a	n/a
49.8784	1.0167	ISI	n/a	n/a	n/a	n/a
50.8951	0.5166	DISTRACTOR	1	33	D	Correct Rejection
51.4118	1.0167	ISI	n/a	n/a	n/a	n/a
52.4285	0.5167	DISTRACTOR	1	34	H	Correct Rejection
52.9451	1.0167	ISI	n/a	n/a	n/a	n/a
53.9618	0.5167	DISTRACTOR	1	35	A	Correct Rejection
54.4785	1.0167	ISI	n/a	n/a	n/a	n/a
55.4951	0.5167	DISTRACTOR	1	36	F	Correct Rejection
56.0118	1.0167	ISI	n/a	n/a	n/a	n/a
57.0285	0.5166	DISTRACTOR	1	37	E	Correct Rejection
57.5451	1.0167	ISI	n/a	n/a	n/a	n/a
58.5618	0.5167	TARGET	1	38	E	Hit
58.9376	n/a	RESPONSE	n/a	n/a	n/a	n/a
59.0785	1.0167	ISI	n/a	n/a	n/a	n/a
60.0952	0.5167	DISTRACTOR	1	39	D	Correct Rejection
60.6119	1.0167	ISI	n/a	n/a	n/a	n/a
61.6285	0.5167	TARGET	1	40	D	Hit
61.9867	n/a	RESPONSE	n/a	n/a	n/a	n/a
62.1452	1.0167	ISI	n/a	n/a	n/a	n/a
63.1619	0.5167	TARGET	1	41	D	Miss
63.6785	1.0167	ISI	n/a	n/a	n/a	n/a
64.6952	0.5166	TARGET	1	42	D	Hit
65.2119	1.0167	ISI	n/a	n/a	n/a	n/a
65.2752	n/a	RESPONSE	n/a	n/a	n/a	n/a
66.2286	0.5167	DISTRACTOR	1	43	F	Correct Rejection
66.7452	1.0167	ISI	n/a	n/a	n/a	n/a
67.7619	0.5167	DISTRACTOR	1	44	E	Correct Rejection
68.2786	1.0167	ISI	n/a	n/a	n/a	n/a
69.2953	0.5167	DISTRACTOR	1	45	D	Correct Rejection
69.8119	1.0166	ISI	n/a	n/a	n/a	n/a
70.8286	0.5167	TARGET	1	46	D	Hit
71.2775	n/a	RESPONSE	n/a	n/a	n/a	n/a
71.3453	1.0167	ISI	n/a	n/a	n/a	n/a
72.3619	0.5166	DISTRACTOR	1	47	H	Correct Rejection
72.8786	1.0167	ISI	n/a	n/a	n/a	n/a
73.8953	0.5167	DISTRACTOR	1	48	C	Correct Rejection
74.412	1.0166	ISI	n/a	n/a	n/a	n/a
75.4286	0.5167	DISTRACTOR	1	49	F	Correct Rejection
75.9453	1.0167	ISI	n/a	n/a	n/a	n/a
76.962	0.5167	DISTRACTOR	1	50	H	Correct Rejection
