onset	duration	trial	value	instruction
19660	8	1	1	rest
27591	7	1	2	task
34589	5	1	3	interval
39637	8	2	1	rest
47595	7	2	2	task
54606	5	2	3	interval
59643	8	3	1	rest
67595	7	3	2	task
74595	5	3	3	interval
79643	8	4	1	rest
87623	7	4	2	task
94602	5	4	3	interval
99643	8	5	1	rest
107611	7	5	2	task
114607	5	5	3	interval
119658	8	6	1	rest
127610	7	6	2	task
134605	5	6	3	interval
139659	8	7	1	rest
147638	7	7	2	task
154647	5	7	3	interval
159659	8	8	1	rest
167622	7	8	2	task
174609	5	8	3	interval
179656	8	9	1	rest
187638	7	9	2	task
194613	5	9	3	interval
199666	8	10	1	rest
207657	7	10	2	task
214624	5	10	3	interval
219663	8	11	1	rest
227662	7	11	2	task
234628	5	11	3	interval
239668	8	12	1	rest
247652	7	12	2	task
254625	5	12	3	interval
259664	8	13	1	rest
267641	7	13	2	task
274632	5	13	3	interval
279673	8	14	1	rest
287633	7	14	2	task
294632	5	14	3	interval
299672	8	15	1	rest
307649	7	15	2	task
314629	5	15	3	interval
319676	8	16	1	rest
327657	7	16	2	task
334628	5	16	3	interval
339674	8	17	1	rest
347632	7	17	2	task
354633	5	17	3	interval
359673	8	18	1	rest
367656	7	18	2	task
374634	5	18	3	interval
379679	8	19	1	rest
387636	7	19	2	task
394633	5	19	3	interval
399676	8	20	1	rest
407663	7	20	2	task
414640	5	20	3	interval
