onset	duration	sample	value	event_onset	event_type
81.56445312	0.001953125	20880.5	I_pressed	20881.5	I_pressed
659.8183594	0.001953125	168913.5	P_pressed	168914.5	P_pressed
1001.148438	0.001953125	256294	S_pressed	256295	S_pressed
1029.839844	0.001953125	263639	C_pressed	263640	C_pressed
1140.130859	0.001953125	291873.5	L_pressed	291874.5	L_pressed
1167.474609	0.001953125	298873.5	R_pressed	298874.5	R_pressed
1205	0.001953125	308480	N_pressed	308481	N_pressed
1717.314453	0.001953125	439632.5	A_pressed	439633.5	A_pressed
1851.583984	0.001953125	474005.5	F_pressed	474006.5	F_pressed
