onset	duration	response_time	answer	type
38584	3000	1523	0	ASHTRAY.bmp
45573	3000	1331	1	BOWL.bmp
52577	4000	874	0	GORILLA.bmp
60583	3000	846	1	CLOWN.bmp
67588	3000	1447	1	FISH.bmp
74576	3000	2515	0	DRESS.bmp
81581	4000	1170	1	GARBAGEC.bmp
89587	4000	1250	1	BOX.bmp
97576	4000	1297	1	BIRDNEST.bmp
105581	4000	rien	0	FAN.bmp
113587	4000	1087	1	COMPASS.bmp
121576	3000	1880	1	SCORPION.bmp
128581	3000	1443	0	AXE.bmp
135586	4000	1267	1	EAR.bmp
143575	4000	2013	1	CUP.bmp
151581	4000	1717	1	DRAGONFL.bmp
159586	4000	1214	1	frenchcr.bmp
167575	3000	872	1	BICYCLE.bmp
174580	3000	1324	1	ELEPHANT.bmp
181585	4000	1480	1	DONKEY.bmp
189574	3000	1499	1	BEAR.bmp
196579	4000	764	1	CARROT.bmp
204585	3000	1135	1	BOTTLE.bmp
211573	4000	1167	1	BRAIN.bmp
219579	3000	1134	1	CAR.bmp
226584	4000	1388	0	DOGHOUSE.bmp
234573	4000	1510	1	FRYINGPA.bmp
242578	4000	1198	1	BUTTERFL.bmp
250584	3000	1513	1	CATERPIL.bmp
257573	4000	1020	0	CHICKEN.bmp
265578	3000	1400	1	CHEESE.bmp
272583	4000	984	1	ACCORDIO.bmp
280573	3000	1588	1	FLAG.bmp
287577	3000	1326	1	ANCHOR.bmp
294582	4000	2110	1	DRESSER.bmp
302587	4000	1179	1	ARTICHOK.bmp
310577	4000	923	1	APPLE.bmp
318582	4000	1276	1	FLOWER.bmp
326588	4000	1391	0	BOW.bmp
334577	3000	1850	1	DEER.bmp
341582	4000	1639	1	DOLPHIN.bmp
349587	3000	1730	1	HAMMOCK.bmp
356576	3000	1585	1	EYE.bmp
363581	3000	1381	1	GUITAR.bmp
370586	4000	1098	1	CLOUD.bmp
378575	4000	1526	1	BIRDCAGE.bmp
386580	3000	1014	1	AIRPLANE.bmp
393585	4000	1163	1	BELT.bmp
401574	3000	1908	1	FUNNEL.bmp
408579	3000	1247	1	BENCH.bmp
415584	3000	1230	1	RAY.bmp
422573	3000	1215	0	ACORN.bmp
429577	4000	932	1	CROWN.bmp
437583	3000	1121	1	ENVELOPE.bmp
444573	3000	1273	1	EAGLE.bmp
451576	3000	1152	0	COAT.bmp
458581	4000	1327	1	CANNON.bmp
466587	4000	1106	1	DUSTPAN.bmp
474576	4000	1870	1	DOORKNOB.bmp
482582	3000	1305	1	ALLIGATO.bmp
489587	4000	1630	1	CRAB.bmp
497576	4000	1313	0	BROOM.bmp
505581	3000	1443	1	FAUCET.bmp
512586	3000	1031	1	FEATHER.bmp
519575	4000	1348	1	BOOT.bmp
527580	4000	1454	0	COW.bmp
535586	3000	1061	1	GLOVE.bmp
542574	3000	2027	1	ASPARAGU.bmp
549579	3000	1230	1	CAT.bmp
556584	3000	2245	1	CAP.bmp
563573	4000	1547	1	BEE.bmp
571578	4000	1517	1	CORN.bmp
579584	3000	2001	1	CHIMNEY.bmp
586573	4000	1168	1	FORK.bmp
