onset	duration	trial_type	stim_file	stim_file_index	note
76.515	0.3	48	task-sfprescaled_stimuli.npy	439	blank trial
77.015	0.3	48	task-sfprescaled_stimuli.npy	437	blank trial
77.516	0.3	48	task-sfprescaled_stimuli.npy	434	blank trial
78.016	0.3	48	task-sfprescaled_stimuli.npy	433	blank trial
78.516	0.3	48	task-sfprescaled_stimuli.npy	436	blank trial
79.017	0.3	48	task-sfprescaled_stimuli.npy	432	blank trial
79.517	0.3	48	task-sfprescaled_stimuli.npy	435	blank trial
80.017	0.3	38	task-sfprescaled_stimuli.npy	305	n/a
80.517	0.3	38	task-sfprescaled_stimuli.npy	311	n/a
81.017	0.3	38	task-sfprescaled_stimuli.npy	304	n/a
81.518	0.3	38	task-sfprescaled_stimuli.npy	309	n/a
82.017	0.3	38	task-sfprescaled_stimuli.npy	310	n/a
82.518	0.3	38	task-sfprescaled_stimuli.npy	307	n/a
83.018	0.3	38	task-sfprescaled_stimuli.npy	308	n/a
83.518	0.3	38	task-sfprescaled_stimuli.npy	306	n/a
84.018	0.3	6	task-sfprescaled_stimuli.npy	55	n/a
84.518	0.3	6	task-sfprescaled_stimuli.npy	51	n/a
85.018	0.3	6	task-sfprescaled_stimuli.npy	50	n/a
85.518	0.3	6	task-sfprescaled_stimuli.npy	54	n/a
86.018	0.3	6	task-sfprescaled_stimuli.npy	52	n/a
86.518	0.3	6	task-sfprescaled_stimuli.npy	49	n/a
87.018	0.3	6	task-sfprescaled_stimuli.npy	53	n/a
87.518	0.3	6	task-sfprescaled_stimuli.npy	48	n/a
88.003	0.3	17	task-sfprescaled_stimuli.npy	136	n/a
88.503	0.3	17	task-sfprescaled_stimuli.npy	137	n/a
89.003	0.3	17	task-sfprescaled_stimuli.npy	143	n/a
89.503	0.3	17	task-sfprescaled_stimuli.npy	140	n/a
90.004	0.3	17	task-sfprescaled_stimuli.npy	141	n/a
90.503	0.3	17	task-sfprescaled_stimuli.npy	142	n/a
91.003	0.3	17	task-sfprescaled_stimuli.npy	139	n/a
91.503	0.3	17	task-sfprescaled_stimuli.npy	138	n/a
92.003	0.3	13	task-sfprescaled_stimuli.npy	107	n/a
92.503	0.3	13	task-sfprescaled_stimuli.npy	111	n/a
93.004	0.3	13	task-sfprescaled_stimuli.npy	109	n/a
93.504	0.3	13	task-sfprescaled_stimuli.npy	108	n/a
94.004	0.3	13	task-sfprescaled_stimuli.npy	106	n/a
94.504	0.3	13	task-sfprescaled_stimuli.npy	104	n/a
95.004	0.3	13	task-sfprescaled_stimuli.npy	110	n/a
95.504	0.3	13	task-sfprescaled_stimuli.npy	105	n/a
96.004	0.3	42	task-sfprescaled_stimuli.npy	339	n/a
96.505	0.3	42	task-sfprescaled_stimuli.npy	337	n/a
97.004	0.3	42	task-sfprescaled_stimuli.npy	338	n/a
97.505	0.3	42	task-sfprescaled_stimuli.npy	336	n/a
98.005	0.3	42	task-sfprescaled_stimuli.npy	340	n/a
98.507	0.3	42	task-sfprescaled_stimuli.npy	342	n/a
99.006	0.3	42	task-sfprescaled_stimuli.npy	343	n/a
99.506	0.3	42	task-sfprescaled_stimuli.npy	341	n/a
100.006	0.3	7	task-sfprescaled_stimuli.npy	59	n/a
100.506	0.3	7	task-sfprescaled_stimuli.npy	57	n/a
101.007	0.3	7	task-sfprescaled_stimuli.npy	63	n/a
101.506	0.3	7	task-sfprescaled_stimuli.npy	62	n/a
102.007	0.3	7	task-sfprescaled_stimuli.npy	60	n/a
102.506	0.3	7	task-sfprescaled_stimuli.npy	61	n/a
103.009	0.3	7	task-sfprescaled_stimuli.npy	58	n/a
103.508	0.3	7	task-sfprescaled_stimuli.npy	56	n/a
104.008	0.3	48	task-sfprescaled_stimuli.npy	430	blank trial
104.508	0.3	48	task-sfprescaled_stimuli.npy	427	blank trial
105.008	0.3	48	task-sfprescaled_stimuli.npy	428	blank trial
105.508	0.3	48	task-sfprescaled_stimuli.npy	424	blank trial
106.008	0.3	48	task-sfprescaled_stimuli.npy	425	blank trial
106.508	0.3	48	task-sfprescaled_stimuli.npy	429	blank trial
107.008	0.3	48	task-sfprescaled_stimuli.npy	431	blank trial
107.509	0.3	48	task-sfprescaled_stimuli.npy	426	blank trial
108.010	0.3	43	task-sfprescaled_stimuli.npy	348	n/a
108.510	0.3	43	task-sfprescaled_stimuli.npy	345	n/a
109.010	0.3	43	task-sfprescaled_stimuli.npy	350	n/a
109.511	0.3	43	task-sfprescaled_stimuli.npy	346	n/a
110.011	0.3	43	task-sfprescaled_stimuli.npy	347	n/a
110.510	0.3	43	task-sfprescaled_stimuli.npy	349	n/a
111.011	0.3	43	task-sfprescaled_stimuli.npy	344	n/a
111.510	0.3	43	task-sfprescaled_stimuli.npy	351	n/a
112.011	0.3	45	task-sfprescaled_stimuli.npy	362	n/a
112.510	0.3	45	task-sfprescaled_stimuli.npy	360	n/a
113.012	0.3	45	task-sfprescaled_stimuli.npy	364	n/a
113.512	0.3	45	task-sfprescaled_stimuli.npy	366	n/a
114.012	0.3	45	task-sfprescaled_stimuli.npy	365	n/a
114.513	0.3	45	task-sfprescaled_stimuli.npy	361	n/a
115.012	0.3	45	task-sfprescaled_stimuli.npy	367	n/a
115.512	0.3	45	task-sfprescaled_stimuli.npy	363	n/a
116.012	0.3	48	task-sfprescaled_stimuli.npy	387	blank trial
116.512	0.3	48	task-sfprescaled_stimuli.npy	390	blank trial
117.012	0.3	48	task-sfprescaled_stimuli.npy	389	blank trial
117.512	0.3	48	task-sfprescaled_stimuli.npy	384	blank trial
118.014	0.3	48	task-sfprescaled_stimuli.npy	388	blank trial
118.513	0.3	48	task-sfprescaled_stimuli.npy	385	blank trial
119.014	0.3	48	task-sfprescaled_stimuli.npy	386	blank trial
119.513	0.3	48	task-sfprescaled_stimuli.npy	391	blank trial
120.014	0.3	36	task-sfprescaled_stimuli.npy	290	n/a
120.514	0.3	36	task-sfprescaled_stimuli.npy	295	n/a
121.014	0.3	36	task-sfprescaled_stimuli.npy	293	n/a
121.514	0.3	36	task-sfprescaled_stimuli.npy	288	n/a
122.014	0.3	36	task-sfprescaled_stimuli.npy	292	n/a
122.514	0.3	36	task-sfprescaled_stimuli.npy	291	n/a
123.015	0.3	36	task-sfprescaled_stimuli.npy	294	n/a
123.515	0.3	36	task-sfprescaled_stimuli.npy	289	n/a
124.016	0.3	39	task-sfprescaled_stimuli.npy	317	n/a
124.515	0.3	39	task-sfprescaled_stimuli.npy	315	n/a
125.015	0.3	39	task-sfprescaled_stimuli.npy	318	n/a
125.515	0.3	39	task-sfprescaled_stimuli.npy	313	n/a
126.015	0.3	39	task-sfprescaled_stimuli.npy	312	n/a
126.515	0.3	39	task-sfprescaled_stimuli.npy	319	n/a
127.016	0.3	39	task-sfprescaled_stimuli.npy	316	n/a
127.516	0.3	39	task-sfprescaled_stimuli.npy	314	n/a
128.016	0.3	20	task-sfprescaled_stimuli.npy	164	n/a
128.516	0.3	20	task-sfprescaled_stimuli.npy	160	n/a
129.017	0.3	20	task-sfprescaled_stimuli.npy	162	n/a
129.516	0.3	20	task-sfprescaled_stimuli.npy	161	n/a
130.017	0.3	20	task-sfprescaled_stimuli.npy	163	n/a
130.516	0.3	20	task-sfprescaled_stimuli.npy	167	n/a
131.017	0.3	20	task-sfprescaled_stimuli.npy	166	n/a
131.517	0.3	20	task-sfprescaled_stimuli.npy	165	n/a
132.017	0.3	26	task-sfprescaled_stimuli.npy	215	n/a
132.518	0.3	26	task-sfprescaled_stimuli.npy	209	n/a
133.018	0.3	26	task-sfprescaled_stimuli.npy	212	n/a
133.518	0.3	26	task-sfprescaled_stimuli.npy	213	n/a
134.017	0.3	26	task-sfprescaled_stimuli.npy	208	n/a
134.518	0.3	26	task-sfprescaled_stimuli.npy	211	n/a
135.017	0.3	26	task-sfprescaled_stimuli.npy	210	n/a
135.518	0.3	26	task-sfprescaled_stimuli.npy	214	n/a
136.017	0.3	48	task-sfprescaled_stimuli.npy	412	blank trial
136.517	0.3	48	task-sfprescaled_stimuli.npy	409	blank trial
137.017	0.3	48	task-sfprescaled_stimuli.npy	411	blank trial
137.517	0.3	48	task-sfprescaled_stimuli.npy	413	blank trial
138.003	0.3	48	task-sfprescaled_stimuli.npy	408	blank trial
138.503	0.3	48	task-sfprescaled_stimuli.npy	410	blank trial
139.003	0.3	48	task-sfprescaled_stimuli.npy	414	blank trial
139.503	0.3	48	task-sfprescaled_stimuli.npy	415	blank trial
140.004	0.3	9	task-sfprescaled_stimuli.npy	75	n/a
140.503	0.3	9	task-sfprescaled_stimuli.npy	72	n/a
141.004	0.3	9	task-sfprescaled_stimuli.npy	78	n/a
141.503	0.3	9	task-sfprescaled_stimuli.npy	76	n/a
142.003	0.3	9	task-sfprescaled_stimuli.npy	74	n/a
142.503	0.3	9	task-sfprescaled_stimuli.npy	79	n/a
143.004	0.3	9	task-sfprescaled_stimuli.npy	77	n/a
143.504	0.3	9	task-sfprescaled_stimuli.npy	73	n/a
144.004	0.3	48	task-sfprescaled_stimuli.npy	421	blank trial
144.505	0.3	48	task-sfprescaled_stimuli.npy	423	blank trial
145.004	0.3	48	task-sfprescaled_stimuli.npy	419	blank trial
145.504	0.3	48	task-sfprescaled_stimuli.npy	416	blank trial
146.004	0.3	48	task-sfprescaled_stimuli.npy	420	blank trial
146.505	0.3	48	task-sfprescaled_stimuli.npy	417	blank trial
147.004	0.3	48	task-sfprescaled_stimuli.npy	422	blank trial
147.505	0.3	48	task-sfprescaled_stimuli.npy	418	blank trial
148.006	0.3	34	task-sfprescaled_stimuli.npy	277	n/a
148.506	0.3	34	task-sfprescaled_stimuli.npy	279	n/a
149.007	0.3	34	task-sfprescaled_stimuli.npy	274	n/a
149.506	0.3	34	task-sfprescaled_stimuli.npy	273	n/a
150.007	0.3	34	task-sfprescaled_stimuli.npy	275	n/a
150.506	0.3	34	task-sfprescaled_stimuli.npy	276	n/a
151.007	0.3	34	task-sfprescaled_stimuli.npy	278	n/a
151.506	0.3	34	task-sfprescaled_stimuli.npy	272	n/a
152.007	0.3	25	task-sfprescaled_stimuli.npy	201	n/a
152.506	0.3	25	task-sfprescaled_stimuli.npy	202	n/a
153.008	0.3	25	task-sfprescaled_stimuli.npy	205	n/a
153.509	0.3	25	task-sfprescaled_stimuli.npy	207	n/a
154.008	0.3	25	task-sfprescaled_stimuli.npy	204	n/a
154.508	0.3	25	task-sfprescaled_stimuli.npy	206	n/a
155.008	0.3	25	task-sfprescaled_stimuli.npy	200	n/a
155.508	0.3	25	task-sfprescaled_stimuli.npy	203	n/a
156.008	0.3	44	task-sfprescaled_stimuli.npy	352	n/a
156.509	0.3	44	task-sfprescaled_stimuli.npy	356	n/a
157.008	0.3	44	task-sfprescaled_stimuli.npy	353	n/a
157.509	0.3	44	task-sfprescaled_stimuli.npy	357	n/a
158.009	0.3	44	task-sfprescaled_stimuli.npy	358	n/a
158.511	0.3	44	task-sfprescaled_stimuli.npy	354	n/a
159.010	0.3	44	task-sfprescaled_stimuli.npy	355	n/a
159.511	0.3	44	task-sfprescaled_stimuli.npy	359	n/a
160.011	0.3	47	task-sfprescaled_stimuli.npy	383	n/a
160.510	0.3	47	task-sfprescaled_stimuli.npy	381	n/a
161.011	0.3	47	task-sfprescaled_stimuli.npy	377	n/a
161.511	0.3	47	task-sfprescaled_stimuli.npy	382	n/a
162.011	0.3	47	task-sfprescaled_stimuli.npy	380	n/a
