onset	duration	trial_num	target_nontarget	image_id	transition_duration	resp_1st	resp_2nd	rt_1st	rt_2nd	acc
3.00581433600746	1.0001	1	1	3	0.8073	1	0	0.9958	0	1
NaN	1	2	1	1	0.7968	1	0	0.7538	0	1
NaN	1	3	1	7	0.7951	1	0	0.7	0	1
NaN	1	4	1	8	0.8107	1	0	1.0484	0	1
NaN	1	5	1	1	0.81	1	0	1.1128	0	1
NaN	1.0001	6	2	11	0.8074	0	0	0	0	1
NaN	1	7	1	8	0.8088	1	0	0.6283	0	1
NaN	1	8	1	3	0.8036	1	0	0.724	0	1
NaN	1	9	1	2	0.8028	1	0	0.5767	0	1
NaN	1	10	1	6	0.8076	1	0	0.6171	0	1
NaN	1	11	2	11	0.807	0	0	0	0	1
NaN	1	12	1	10	0.802	1	0	0.7333	0	1
NaN	1	13	1	3	0.8059	1	0	0.659	0	1
NaN	1	14	1	4	0.8053	1	0	0.6636	0	1
NaN	1	15	1	2	0.8049	1	0	0.8762	0	1
NaN	1	16	1	9	0.8043	1	0	0.7639	0	1
NaN	1	17	1	6	0.8041	1	0	0.7135	0	1
NaN	1	18	1	5	0.8035	1	0	1.2328	0	1
NaN	1	19	1	9	0.8036	1	0	1.0394	0	1
NaN	1	20	2	11	0.8033	0	0	0	0	1
NaN	1	21	1	8	0.8027	1	0	0.7011	0	1
NaN	1	22	1	10	0.7974	1	0	0.8136	0	1
NaN	1	23	1	8	0.7974	1	0	0.8202	0	1
NaN	1	24	1	4	0.7961	1	0	0.9358	0	1
NaN	1	25	1	7	0.7971	1	0	1.0431	0	1
NaN	1	26	2	11	0.8003	0	0	0	0	1
NaN	1	27	1	8	0.8004	1	0	0.0548	0	1
NaN	1	28	1	6	0.7991	1	0	0.5783	0	1
NaN	1	29	1	7	0.7995	1	0	0.553	0	1
NaN	1	30	1	10	0.7946	1	0	0.6375	0	1
NaN	1	31	1	2	0.7983	1	0	0.6701	0	1
NaN	1	32	1	5	0.8147	1	0	0.8677	0	1
NaN	1	33	1	1	0.8142	1	0	0.8933	0	1
NaN	1	34	1	7	0.8136	1	0	0.822	0	1
NaN	1	35	1	4	0.8084	1	0	0.8017	0	1
NaN	1	36	1	5	0.8133	1	0	0.8432	0	1
NaN	1	37	1	6	0.8089	1	0	0.75	0	1
NaN	1	38	2	11	0.8072	0	0	0	0	1
NaN	1	39	1	9	0.8122	1	0	0.698	0	1
NaN	1	40	1	5	0.8113	1	0	0.5817	0	1
NaN	1	41	1	2	0.8067	1	0	0.7804	0	1
NaN	1	42	1	5	0.8058	1	0	0.9089	0	1
NaN	1	43	1	1	0.8097	1	0	0.8655	0	1
NaN	1	44	1	3	0.8101	1	0	0.7011	0	1
NaN	1	45	2	11	0.8097	1	0	0.6207	0	0
NaN	1	46	1	5	0.8093	1	0	0.6694	0	1
NaN	1	47	1	8	0.8082	1	0	0.549	0	1
NaN	1	48	1	6	0.8091	1	0	0.7297	0	1
NaN	1	49	1	10	0.8072	1	0	0.8492	0	1
NaN	1	50	1	6	0.8072	1	0	0.7228	0	1
NaN	1	51	1	1	0.8021	1	0	0.8315	0	1
NaN	1	52	1	10	0.807	1	0	0.8221	0	1
NaN	1	53	1	4	0.8062	1	0	0.8327	0	1
NaN	1	54	2	11	0.806	0	0	0	0	1
NaN	1	55	1	3	0.8008	1	0	0.6651	0	1
NaN	1	56	1	8	0.8052	1	0	0.8136	0	1
NaN	1	57	1	5	0.805	1	0	0.9483	0	1
NaN	1	58	1	8	0.8044	1	0	0.792	0	1
NaN	1	59	1	9	0.8049	1	0	0.9075	0	1
NaN	1	60	1	4	0.8038	1	0	0.7682	0	1
NaN	1	61	1	9	0.8029	1	0	0.7659	0	1
NaN	1	62	1	6	0.8027	1	0	0.8354	0	1
NaN	1	63	1	10	0.8024	1	0	0.762	0	1
NaN	1	64	1	3	0.8011	1	0	0.7997	0	1
NaN	1	65	1	10	0.8014	1	0	0.7823	0	1
NaN	1	66	1	4	0.8013	1	0	0.8889	0	1
NaN	1	67	2	11	0.8007	0	0	0	0	1
NaN	1	68	1	2	0.7955	1	0	0.7292	0	1
NaN	1	69	1	9	0.8001	1	0	0.7567	0	1
NaN	1	70	1	5	0.7998	1	0	0.8383	0	1
NaN	1	71	2	11	0.8	0	0	0	0	1
NaN	1	72	1	3	0.7948	1	0	0.7606	0	1
NaN	1	73	1	7	0.798	1	0	0.7323	0	1
NaN	1	74	1	4	0.8149	1	0	0.8529	0	1
NaN	1	75	1	2	0.8101	1	0	0.8045	0	1
NaN	1	76	1	7	0.814	1	0	0.7901	0	1
NaN	1	77	1	6	0.8125	1	0	0.818	0	1
NaN	1	78	1	2	0.8117	1	0	0.7666	0	1
NaN	1	79	1	3	0.8114	1	0	0.9572	0	1
NaN	1	80	1	4	0.807	1	0	0.8098	0	1
NaN	1	81	1	1	0.8112	1	0	0.9404	0	1
NaN	1	82	1	4	0.8068	1	0	0.8271	0	1
NaN	1	83	1	9	0.8099	1	0	0.9177	0	1
NaN	1	84	1	8	0.8103	1	0	0.8534	0	1
NaN	1	85	1	7	0.8056	1	0	0.806	0	1
NaN	1	86	1	2	0.8093	1	0	0.6766	0	1
