onset	duration	block	trial	cond	nBack	delay	categor	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt
20	34	4	1	EM	2	0	scene	real	11	0	1	0	8	7	1	0.875	1.324
54	44	4	2	EM	2	0	face	real	16	1	0	1	13	11	2	0.846	0.956
98	54	4	3	EM	2	0	scene	real	21	1	0	0	18	17	1	0.944	0.961
152	36	4	4	EM	2	0	face	real	12	1	0	0	9	8	1	0.889	0.88
188	48	4	5	EM	2	0	lexdec	real	18	0	0	0	15	15	0	1	0.911
236	38	4	6	EM	2	0	scene	real	13	1	0	0	10	8	2	0.8	1.155
274	28	4	7	EM	2	0	face	catch	8	0	1	0	5	4	1	0.8	1.156
302	52	4	8	EM	2	0	lexdec	real	20	0	0	0	17	16	1	0.941	0.973
354	20	4	9	EM	2	0	scene	catch	4	1	0	0	1	0	1	0	0.247
374	42	4	10	EM	2	0	face	real	15	1	0	0	12	12	0	1	0.969
416	18	4	11	EM	2	0	lexdec	catch	3	0	0	0	0	0	0	NaN	0.384
434	50	4	12	EM	2	0	face	real	19	1	0	0	16	16	0	1	0.829
484	40	4	13	EM	2	0	lexdec	real	14	0	0	0	11	11	0	1	0.983
524	32	4	14	EM	2	0	lexdec	real	10	0	0	0	7	6	1	0.857	0.956
556	46	4	15	EM	2	0	scene	real	17	1	0	0	14	13	1	0.929	1.013
