onset	duration	trial_type	stim_file	oneback
350.994813	0.999213	train_face	sub01/run72/F3161.jpg	0
353.992301	0.999226	train_face	sub01/run72/M3143.jpg	0
357.006565	0.999176	Fix	placeholders/fixation.png	0
360.004112	0.999315	train_face	sub01/run72/M3140.jpg	0
363.001607	0.999173	train_face	sub01/run72/M3140.jpg	1
365.999157	0.999201	train_face	sub01/run72/M3145.jpg	0
368.996681	0.999190	train_face	sub01/run72/F3135.jpg	0
371.994265	0.999134	train_face	sub01/run72/M3131.jpg	0
375.008505	0.999191	train_face	sub01/run72/F3164.jpg	0
378.006012	0.999263	Fix	placeholders/fixation.png	0
381.003565	0.999107	train_face	sub01/run72/F3149.jpg	0
384.000000	6.000000	Fix	placeholders/fixation.png	0
390.000000	12.010000	Img	placeholders/fixation.png	0
