onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.22	12	2	1
6	2.5	0	3	2.73	12	2	2
11	2.5	0	3	2.52	3	1	1
16.001	2.5	0	3	2.34	3	1	2
31.001	2.5	0	3	2.18	7	2	1
36	2.5	0	3	2.18	7	2	2
41.001	2.5	0	3	2.41	9	2	1
46.001	2.5	0	3	2.48	9	2	2
61.001	2.5	0	3	2.29	3	1	1
66.001	2.5	0	3	2.34	3	1	2
71	2.5	0	3	2.56	6	1	1
76	2.5	0	3	2.55	6	1	2
81.002	2.5	0	3	2.51	8	2	1
86.002	2.5	1	0	0	8	2	2
91.002	2.5	0	3	2.66	3	1	1
96.001	2.5	0	3	2.4	3	1	2
101.001	2.5	0	3	2.52	4	1	1
106.002	2.5	0	3	2.66	4	1	2
111.001	2.5	0	3	2.6	6	1	1
116	2.5	0	3	2.4	6	1	2
121	2.5	0	3	2.43	9	2	1
126	2.5	0	3	2.38	9	2	2
131.001	2.5	0	3	2.45	5	1	1
136.002	2.5	0	3	2.33	5	1	2
141.001	2.5	0	3	2.54	2	1	1
146	2.5	0	3	2.57	2	1	2
151.001	2.5	0	3	2.66	6	1	1
156.002	2.5	0	3	2.36	6	1	2
161.001	2.5	0	3	2.58	4	1	1
166	2.5	0	3	2.71	4	1	2
181.001	2.5	0	3	2.36	8	2	1
186.001	2.5	0	3	2.4	8	2	2
191.001	2.5	0	3	2.3	8	2	1
196.001	2.5	0	3	2.43	8	2	2
201.001	2.5	0	3	2.43	4	1	1
206.001	2.5	0	3	2.51	4	1	2
211.001	2.5	0	3	2.54	11	2	1
216	2.5	0	3	2.38	11	2	2
221.001	2.5	0	3	2.47	9	2	1
226.001	2.5	0	3	2.51	9	2	2
241.001	2.5	0	3	2.35	1	1	1
246.001	2.5	1	0	2.5	1	1	2
251.002	2.5	1	0	0	2	1	1
256.001	2.5	0	3	2.52	2	1	2
261	2.5	0	3	2.67	10	2	1
266.002	2.5	0	3	2.23	10	2	2
271.001	2.5	0	3	2.43	11	2	1
276.001	2.5	0	3	2.66	11	2	2
281.001	2.5	1	0	0	1	1	1
286.001	2.5	0	3	2.59	1	1	2
291.001	2.5	0	3	2.47	10	2	1
296.001	2.5	0	3	2.76	10	2	2
301.001	2.5	0	3	2.59	11	2	1
306.002	2.5	0	3	2.29	11	2	2
311.001	2.5	0	3	2.47	1	1	1
316.001	2.5	0	3	2.56	1	1	2
331.001	2.5	0	3	2.2	5	1	1
336	2.5	0	3	2.3	5	1	2
341	2.5	0	3	2.28	12	2	1
346	2.5	0	3	2.32	12	2	2
351.002	2.5	0	3	2.34	7	2	1
356	2.5	0	3	2.32	7	2	2
361.001	2.5	0	3	2.23	10	2	1
366.002	2.5	0	3	2.43	10	2	2
371.002	2.5	0	3	2.44	12	2	1
376.001	2.5	0	3	2.45	12	2	2
381	2.5	0	3	2.43	7	2	1
386	2.5	0	3	2.51	7	2	2
391.001	2.5	0	3	2.24	2	1	1
396	2.5	0	3	2.54	2	1	2
401.001	2.5	0	3	2.38	5	1	1
406	2.5	0	3	2.33	5	1	2
