onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.002	2.5	0	3	2.24	12	2	1
6	2.5	0	3	2.57	12	2	2
11	2.5	0	3	2.55	1	1	1
16.002	2.5	0	3	2.64	1	1	2
21	2.5	1	0	2.84	2	1	1
26.001	2.5	0	3	2.64	2	1	2
31	2.5	0	3	2.67	1	1	1
36	2.5	0	3	2.89	1	1	2
51.001	2.5	0	3	2.48	7	2	1
56.001	2.5	1	0	0	7	2	2
61.001	2.5	0	3	2.66	4	1	1
66.001	2.5	0	3	2.67	4	1	2
71.001	2.5	0	3	2.95	3	1	1
76	2.5	0	3	3.29	3	1	2
81.001	2.5	0	3	2.59	8	2	1
86.001	2.5	0	3	2.79	8	2	2
91.002	2.5	0	3	2.52	10	2	1
96	2.5	0	3	3.42	10	2	2
111.001	2.5	0	3	2.63	10	2	1
116.002	2.5	0	3	2.57	10	2	2
121.002	2.5	0	3	2.59	2	1	1
126.001	2.5	0	3	2.9	2	1	2
131.002	2.5	0	3	2.5	6	1	1
136.002	2.5	0	3	2.69	6	1	2
141	2.5	0	3	2.62	5	1	1
146.001	2.5	0	3	2.65	5	1	2
151.002	2.5	0	3	2.22	4	1	1
156	2.5	0	3	2.5	4	1	2
161	2.5	0	3	2.61	7	2	1
166.002	2.5	0	3	2.54	7	2	2
171.001	2.5	0	3	2.68	3	1	1
176.002	2.5	0	3	2.98	3	1	2
181	2.5	0	3	2.72	11	2	1
186.001	2.5	0	3	2.83	11	2	2
191	2.5	0	3	2.71	5	1	1
196	2.5	0	3	2.7	5	1	2
201.001	2.5	0	3	2.77	6	1	1
206	2.5	0	3	2.59	6	1	2
211	2.5	0	3	2.64	10	2	1
216.001	2.5	0	3	3.15	10	2	2
221	2.5	0	3	2.48	3	1	1
226	2.5	0	3	2.73	3	1	2
231	2.5	0	3	2.74	9	2	1
236.001	2.5	0	3	2.76	9	2	2
241.002	2.5	0	3	2.96	2	1	1
246.001	2.5	0	3	2.86	2	1	2
251.001	2.5	1	0	0	12	2	1
256	2.5	0	3	2.62	12	2	2
261	2.5	0	3	2.7	7	2	1
266.001	2.5	0	3	2.94	7	2	2
271	2.5	0	3	2.56	9	2	1
276.001	2.5	0	3	2.5	9	2	2
281.001	2.5	0	3	2.59	1	1	1
286.001	2.5	0	3	2.7	1	1	2
291	2.5	0	3	2.97	4	1	1
296	2.5	0	3	2.65	4	1	2
301.002	2.5	1	0	0	9	2	1
306	2.5	0	3	2.63	9	2	2
321.001	2.5	0	3	2.62	8	2	1
326.001	2.5	0	3	2.41	8	2	2
331.001	2.5	0	3	2.96	11	2	1
336.001	2.5	0	3	2.66	11	2	2
341.001	2.5	0	3	2.67	5	1	1
346.001	2.5	0	3	2.27	5	1	2
351	2.5	0	3	3.38	8	2	1
356.001	2.5	0	3	3.1	8	2	2
361	2.5	0	3	2.76	12	2	1
366	2.5	0	3	2.76	12	2	2
381.002	2.5	0	3	2.45	11	2	1
386.001	2.5	0	3	2.73	11	2	2
401	2.5	0	3	2.59	6	1	1
406	2.5	0	3	2.86	6	1	2
