onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1	2.5	0	3	2.49	5	1	1
6	2.5	0	3	2.5	5	1	2
21	2.5	0	3	2.45	5	1	1
26	2.5	0	3	2.61	5	1	2
31	2.5	0	3	2.52	3	1	1
36.002	2.5	0	3	2.67	3	1	2
41	2.5	0	3	2.36	11	2	1
46	2.5	0	3	2.59	11	2	2
51	2.5	0	3	2.71	8	2	1
56	2.5	0	3	2.61	8	2	2
61	2.5	0	3	2.62	1	1	1
66.002	2.5	0	3	2.43	1	1	2
71	2.5	0	3	2.66	2	1	1
76	2.5	0	3	2.76	2	1	2
81	2.5	0	3	2.57	1	1	1
86	2.5	0	3	2.61	1	1	2
91	2.5	0	3	2.8	5	1	1
96	2.5	0	3	2.83	5	1	2
101	2.5	0	3	2.61	3	1	1
106	2.5	0	3	2.81	3	1	2
111	2.5	0	3	2.56	4	1	1
116	2.5	0	3	3	4	1	2
131	2.5	0	3	2.31	10	2	1
136.002	2.5	0	3	2.71	10	2	2
151	2.5	0	3	2.45	7	2	1
156.002	2.5	0	3	2.24	7	2	2
161	2.5	0	3	2.43	6	1	1
166	2.5	0	3	2.73	6	1	2
171	2.5	0	3	2.49	1	1	1
176	2.5	0	3	2.47	1	1	2
181	2.5	0	3	2.81	4	1	1
186	2.5	0	3	2.53	4	1	2
191	2.5	0	3	2.41	6	1	1
196	2.5	0	3	2.35	6	1	2
201	2.5	0	3	2.24	2	1	1
206.001	2.5	0	3	2.64	2	1	2
211	2.5	0	3	2.68	9	2	1
216	2.5	0	3	2.64	9	2	2
221	2.5	0	3	2.35	4	1	1
226	2.5	0	3	2.43	4	1	2
231	2.5	0	3	2.64	10	2	1
236.001	2.5	0	3	2.31	10	2	2
251	2.5	0	3	2.43	10	2	1
256	2.5	0	3	2.47	10	2	2
261	2.5	0	3	2.71	8	2	1
266	2.5	0	3	2.71	8	2	2
271	2.5	0	3	2.62	7	2	1
276	2.5	0	3	2.5	7	2	2
281	2.5	0	3	2.69	3	1	1
286	2.5	0	3	2.62	3	1	2
291	2.5	0	3	2.91	12	2	1
296	2.5	0	3	2.72	12	2	2
301	2.5	0	3	2.59	11	2	1
306	2.5	0	3	2.66	11	2	2
321	2.5	0	3	2.58	12	2	1
326	2.5	0	3	2.5	12	2	2
331	2.5	0	3	2.68	2	1	1
336	2.5	0	3	2.81	2	1	2
341	2.5	0	3	2.66	11	2	1
346	2.5	0	3	2.63	11	2	2
351	2.5	0	3	2.56	7	2	1
356	2.5	0	3	2.63	7	2	2
361.002	2.5	0	3	2.45	12	2	1
366	2.5	0	3	2.54	12	2	2
371	2.5	0	3	2.54	6	1	1
376	2.5	0	3	2.9	6	1	2
381	2.5	0	3	2.64	9	2	1
386.001	2.5	0	3	2.38	9	2	2
391	2.5	0	3	2.88	8	2	1
396	2.5	0	3	2.6	8	2	2
401	2.5	0	3	2.67	9	2	1
406.001	2.5	0	3	2.58	9	2	2
