onset	duration	is_error	points	movement_time	sequence_num	sequence_type	repetition
1.001	2.5	0	3	2.56	12	2	1
6.001	2.5	0	3	2.66	12	2	2
11.001	2.5	0	3	2.36	3	1	1
16	2.5	0	3	2.17	3	1	2
21.002	2.5	0	3	2.37	6	1	1
26.002	2.5	0	3	2.56	6	1	2
31	2.5	0	3	2.36	11	2	1
36.002	2.5	0	3	2.27	11	2	2
41	2.5	0	3	2.39	7	2	1
46	2.5	0	3	2.37	7	2	2
51.002	2.5	0	3	2.67	1	1	1
56.001	2.5	1	0	2.72	1	1	2
61	2.5	0	3	2.36	8	2	1
66.002	2.5	0	3	2.46	8	2	2
81	2.5	0	3	2.46	10	2	1
86	2.5	0	3	2.87	10	2	2
91.001	2.5	0	3	2.33	5	1	1
96.002	2.5	0	3	2.3	5	1	2
101	2.5	1	0	2.52	11	2	1
106	2.5	0	3	2.76	11	2	2
111.001	2.5	0	3	2.79	3	1	1
116	2.5	0	3	2.59	3	1	2
131	2.5	0	3	2.32	10	2	1
136	2.5	0	3	2.42	10	2	2
141	2.5	0	3	2.3	10	2	1
146.001	2.5	0	3	2.56	10	2	2
151	2.5	0	3	2.46	6	1	1
156	2.5	0	3	2.58	6	1	2
171.001	2.5	0	3	2.41	4	1	1
176.001	2.5	0	3	2.52	4	1	2
181	2.5	0	3	2.48	4	1	1
186.001	2.5	0	3	2.44	4	1	2
191.002	2.5	0	3	2.08	7	2	1
196	2.5	0	3	2.48	7	2	2
201.001	2.5	0	3	2.49	11	2	1
206.001	2.5	0	3	2.64	11	2	2
211	2.5	0	3	2.54	12	2	1
216	2.5	0	3	2.7	12	2	2
221.001	2.5	0	3	2.83	2	1	1
226	2.5	0	3	2.46	2	1	2
231	2.5	0	3	2.67	7	2	1
236.001	2.5	0	3	2.48	7	2	2
241.001	2.5	0	3	2.76	9	2	1
246.001	2.5	0	3	2.5	9	2	2
251	2.5	0	3	2.37	1	1	1
256.002	2.5	0	3	2.3	1	1	2
261.001	2.5	0	3	2.49	4	1	1
266.001	2.5	0	3	2.52	4	1	2
271.002	2.5	0	3	2.44	12	2	1
276.002	2.5	0	3	2.56	12	2	2
281.001	2.5	0	3	2.49	2	1	1
286	2.5	0	3	2.56	2	1	2
291.002	2.5	0	3	2.58	8	2	1
296	2.5	0	3	2.3	8	2	2
301	2.5	0	3	2.62	9	2	1
306	2.5	0	3	2.63	9	2	2
321	2.5	0	3	2.54	5	1	1
326.001	2.5	0	3	3.18	5	1	2
341.001	2.5	0	3	2.59	1	1	1
346.001	2.5	0	3	2.66	1	1	2
351	2.5	0	3	2.65	2	1	1
356	2.5	0	3	2.92	2	1	2
361.001	2.5	0	3	2.69	3	1	1
366.002	2.5	0	3	2.54	3	1	2
371	2.5	0	3	2.35	9	2	1
376	2.5	0	3	2.82	9	2	2
381	2.5	0	3	2.16	5	1	1
386.002	2.5	0	3	2.59	5	1	2
391	2.5	0	3	2.72	6	1	1
396	2.5	0	3	2.74	6	1	2
401.001	2.5	0	3	2.92	8	2	1
406	2.5	1	0	2.62	8	2	2
