onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.628	0	L121	2	1	STIM_LOGO
3.628	5	L121	2	1	RETENTION_LOGO
8.628	0	L121	NaN	NaN	VERBALRESP_LOGO
12.913	0	L121	NaN	NaN	KEYRESP_LOGO
15.628	0	L111	2	1	STIM_LOGO
16.628	5	L111	2	1	RETENTION_LOGO
21.628	0	L111	NaN	NaN	VERBALRESP_LOGO
25.454	0	L111	NaN	NaN	KEYRESP_LOGO
30.628	0	L286	0	1	STIM_LOGO
31.628	5	L286	0	1	RETENTION_LOGO
36.628	0	L286	NaN	NaN	VERBALRESP_LOGO
40.507	0	L286	NaN	NaN	KEYRESP_LOGO
48.628	0	L358	0	1	STIM_LOGO
49.628	5	L358	0	1	RETENTION_LOGO
54.628	0	L358	NaN	NaN	VERBALRESP_LOGO
58.372	0	L358	NaN	NaN	KEYRESP_LOGO
64.628	0	L347	0	1	STIM_LOGO
65.628	5	L347	0	1	RETENTION_LOGO
70.628	0	L347	NaN	NaN	VERBALRESP_LOGO
74.351	0	L347	NaN	NaN	KEYRESP_LOGO
77.628	0	L412	1	2	STIM_LOGO
78.628	5	L412	1	2	RETENTION_LOGO
83.628	0	L412	NaN	NaN	VERBALRESP_LOGO
87.502	0	L412	NaN	NaN	KEYRESP_LOGO
91.628	0	L383	0	1	STIM_LOGO
92.628	5	L383	0	1	RETENTION_LOGO
97.628	0	L383	NaN	NaN	VERBALRESP_LOGO
101.359	0	L383	NaN	NaN	KEYRESP_LOGO
103.628	0	L253	0	1	STIM_LOGO
104.628	5	L253	0	1	RETENTION_LOGO
109.628	0	L253	NaN	NaN	VERBALRESP_LOGO
113.686	0	L253	NaN	NaN	KEYRESP_LOGO
121.628	0	L262	1	1	STIM_LOGO
122.628	5	L262	1	1	RETENTION_LOGO
127.628	0	L262	NaN	NaN	VERBALRESP_LOGO
131.755	0	L262	NaN	NaN	KEYRESP_LOGO
135.628	0	L210	0	1	STIM_LOGO
136.628	5	L210	0	1	RETENTION_LOGO
141.628	0	L210	NaN	NaN	VERBALRESP_LOGO
145.451	0	L210	NaN	NaN	KEYRESP_LOGO
147.628	0	L70	0	1	STIM_LOGO
148.629	5	L70	0	1	RETENTION_LOGO
153.629	0	L70	NaN	NaN	VERBALRESP_LOGO
157.518	0	L70	NaN	NaN	KEYRESP_LOGO
160.645	0	L26	1	2	STIM_LOGO
161.645	5	L26	1	2	RETENTION_LOGO
166.645	0	L26	NaN	NaN	VERBALRESP_LOGO
170.723	0	L26	NaN	NaN	KEYRESP_LOGO
172.662	0	L311	0	1	STIM_LOGO
173.662	5	L311	0	1	RETENTION_LOGO
178.662	0	L311	NaN	NaN	VERBALRESP_LOGO
182.695	0	L311	NaN	NaN	KEYRESP_LOGO
189.662	0	L269	1	2	STIM_LOGO
190.662	5	L269	1	2	RETENTION_LOGO
195.662	0	L269	NaN	NaN	VERBALRESP_LOGO
199.44	0	L269	NaN	NaN	KEYRESP_LOGO
208.662	0	L355	0	1	STIM_LOGO
209.662	5	L355	0	1	RETENTION_LOGO
214.662	0	L355	NaN	NaN	VERBALRESP_LOGO
218.593	0	L355	NaN	NaN	KEYRESP_LOGO
223.662	0	L384	0	1	STIM_LOGO
224.662	5	L384	0	1	RETENTION_LOGO
229.662	0	L384	NaN	NaN	VERBALRESP_LOGO
233.295	0	L384	NaN	NaN	KEYRESP_LOGO
235.662	0	L292	0	1	STIM_LOGO
