onset	duration	stim_filename	verbal_resp	key_resp	event_type
407.192	0	L417	NaN	NaN	KEYRESP_LOGO
408.857	0	L8	0	1	STIM_LOGO
409.857	5	L8	0	1	RETENTION_LOGO
414.857	0	L8	NaN	NaN	VERBALRESP_LOGO
419.327	0	L8	NaN	NaN	KEYRESP_LOGO
422.857	0	L151	0	1	STIM_LOGO
423.857	5	L151	0	1	RETENTION_LOGO
428.857	0	L151	NaN	NaN	VERBALRESP_LOGO
433.694	0	L151	NaN	NaN	KEYRESP_LOGO
435.857	0	L295	1	2	STIM_LOGO
436.857	5	L295	1	2	RETENTION_LOGO
441.857	0	L295	NaN	NaN	VERBALRESP_LOGO
446.445	0	L295	NaN	NaN	KEYRESP_LOGO
448.874	0	L301	0	1	STIM_LOGO
449.874	5	L301	0	1	RETENTION_LOGO
454.874	0	L301	NaN	NaN	VERBALRESP_LOGO
459.761	0	L301	NaN	NaN	KEYRESP_LOGO
460.891	0	L294	0	1	STIM_LOGO
461.891	5	L294	0	1	RETENTION_LOGO
466.891	0	L294	NaN	NaN	VERBALRESP_LOGO
471.432	0	L294	NaN	NaN	KEYRESP_LOGO
477.891	0	L92	0	1	STIM_LOGO
478.891	5	L92	0	1	RETENTION_LOGO
483.891	0	L92	NaN	NaN	VERBALRESP_LOGO
487.892	0	L92	NaN	NaN	KEYRESP_LOGO
493.891	0	L157	1	2	STIM_LOGO
494.891	5	L157	1	2	RETENTION_LOGO
499.891	0	L157	NaN	NaN	VERBALRESP_LOGO
504.256	0	L157	NaN	NaN	KEYRESP_LOGO
507.891	0	L422	0	1	STIM_LOGO
508.891	5	L422	0	1	RETENTION_LOGO
513.891	0	L422	NaN	NaN	VERBALRESP_LOGO
517.601	0	L422	NaN	NaN	KEYRESP_LOGO
522.891	0	L429	0	1	STIM_LOGO
523.891	5	L429	0	1	RETENTION_LOGO
528.891	0	L429	NaN	NaN	VERBALRESP_LOGO
532.744	0	L429	NaN	NaN	KEYRESP_LOGO
540.891	0	L173	0	1	STIM_LOGO
541.891	5	L173	0	1	RETENTION_LOGO
546.891	0	L173	NaN	NaN	VERBALRESP_LOGO
551.366	0	L173	NaN	NaN	KEYRESP_LOGO
553.891	0	L141	0	1	STIM_LOGO
554.891	5	L141	0	1	RETENTION_LOGO
559.891	0	L141	NaN	NaN	VERBALRESP_LOGO
563.954	0	L141	NaN	NaN	KEYRESP_LOGO
567.891	0	L314	0	1	STIM_LOGO
568.891	5	L314	0	1	RETENTION_LOGO
573.891	0	L314	NaN	NaN	VERBALRESP_LOGO
577.703	0	L314	NaN	NaN	KEYRESP_LOGO
580.891	0	L40	1	2	STIM_LOGO
581.891	5	L40	1	2	RETENTION_LOGO
586.891	0	L40	NaN	NaN	VERBALRESP_LOGO
591.231	0	L40	NaN	NaN	KEYRESP_LOGO
592.891	0	L265	0	1	STIM_LOGO
593.891	5	L265	0	1	RETENTION_LOGO
598.891	0	L265	NaN	NaN	VERBALRESP_LOGO
603.19	0	L265	NaN	NaN	KEYRESP_LOGO
610.892	0	L284	0	1	STIM_LOGO
611.892	5	L284	0	1	RETENTION_LOGO
616.892	0	L284	NaN	NaN	VERBALRESP_LOGO
620.721	0	L284	NaN	NaN	KEYRESP_LOGO
624.892	0	L342	0	1	STIM_LOGO
625.892	5	L342	0	1	RETENTION_LOGO
630.892	0	L342	NaN	NaN	VERBALRESP_LOGO
635.129	0	L342	NaN	NaN	KEYRESP_LOGO
