onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.336	0	L36	2	1	STIM_LOGO
3.336	5	L36	2	1	RETENTION_LOGO
8.336	0	L36	NaN	NaN	VERBALRESP_LOGO
12.524	0	L36	NaN	NaN	KEYRESP_LOGO
15.352	0	L434	2	1	STIM_LOGO
16.352	5	L434	2	1	RETENTION_LOGO
21.352	0	L434	NaN	NaN	VERBALRESP_LOGO
25.668	0	L434	NaN	NaN	KEYRESP_LOGO
29.352	0	L241	0	1	STIM_LOGO
30.352	5	L241	0	1	RETENTION_LOGO
35.352	0	L241	NaN	NaN	VERBALRESP_LOGO
39.142	0	L241	NaN	NaN	KEYRESP_LOGO
41.352	0	L405	0	1	STIM_LOGO
42.353	5	L405	0	1	RETENTION_LOGO
47.353	0	L405	NaN	NaN	VERBALRESP_LOGO
51.45	0	L405	NaN	NaN	KEYRESP_LOGO
53.353	0	L188	0	1	STIM_LOGO
54.353	5	L188	0	1	RETENTION_LOGO
59.353	0	L188	NaN	NaN	VERBALRESP_LOGO
63.173	0	L188	NaN	NaN	KEYRESP_LOGO
70.353	0	L230	0	1	STIM_LOGO
71.353	5	L230	0	1	RETENTION_LOGO
76.353	0	L230	NaN	NaN	VERBALRESP_LOGO
80.229	0	L230	NaN	NaN	KEYRESP_LOGO
83.353	0	L415	0	1	STIM_LOGO
84.353	5	L415	0	1	RETENTION_LOGO
89.353	0	L415	NaN	NaN	VERBALRESP_LOGO
92.932	0	L415	NaN	NaN	KEYRESP_LOGO
95.353	0	L227	0	1	STIM_LOGO
96.353	5	L227	0	1	RETENTION_LOGO
101.353	0	L227	NaN	NaN	VERBALRESP_LOGO
105.985	0	L227	NaN	NaN	KEYRESP_LOGO
110.353	0	L397	0	1	STIM_LOGO
111.353	5	L397	0	1	RETENTION_LOGO
116.353	0	L397	NaN	NaN	VERBALRESP_LOGO
120.04	0	L397	NaN	NaN	KEYRESP_LOGO
128.353	0	L427	0	1	STIM_LOGO
129.353	5	L427	0	1	RETENTION_LOGO
134.353	0	L427	NaN	NaN	VERBALRESP_LOGO
138.586	0	L427	NaN	NaN	KEYRESP_LOGO
142.353	0	L317	0	1	STIM_LOGO
143.353	5	L317	0	1	RETENTION_LOGO
148.353	0	L317	NaN	NaN	VERBALRESP_LOGO
152.459	0	L317	NaN	NaN	KEYRESP_LOGO
155.353	0	L440	0	1	STIM_LOGO
156.353	5	L440	0	1	RETENTION_LOGO
161.353	0	L440	NaN	NaN	VERBALRESP_LOGO
165.441	0	L440	NaN	NaN	KEYRESP_LOGO
169.353	0	L164	1	2	STIM_LOGO
170.353	5	L164	1	2	RETENTION_LOGO
175.353	0	L164	NaN	NaN	VERBALRESP_LOGO
179.419	0	L164	NaN	NaN	KEYRESP_LOGO
184.353	0	L3	1	2	STIM_LOGO
185.353	5	L3	1	2	RETENTION_LOGO
190.353	0	L3	NaN	NaN	VERBALRESP_LOGO
194.533	0	L3	NaN	NaN	KEYRESP_LOGO
196.353	0	L374	1	1	STIM_LOGO
197.353	5	L374	1	1	RETENTION_LOGO
202.353	0	L374	NaN	NaN	VERBALRESP_LOGO
206.338	0	L374	NaN	NaN	KEYRESP_LOGO
209.354	0	L413	0	1	STIM_LOGO
210.353	5	L413	0	1	RETENTION_LOGO
215.354	0	L413	NaN	NaN	VERBALRESP_LOGO
219.349	0	L413	NaN	NaN	KEYRESP_LOGO
221.354	0	L324	0	1	STIM_LOGO
222.354	5	L324	0	1	RETENTION_LOGO
227.354	0	L324	NaN	NaN	VERBALRESP_LOGO
232.04	0	L324	NaN	NaN	KEYRESP_LOGO
236.354	0	L333	1	2	STIM_LOGO
237.354	5	L333	1	2	RETENTION_LOGO
242.354	0	L333	NaN	NaN	VERBALRESP_LOGO
246.39	0	L333	NaN	NaN	KEYRESP_LOGO
252.354	0	L257	1	1	STIM_LOGO
253.354	5	L257	1	1	RETENTION_LOGO
258.354	0	L257	NaN	NaN	VERBALRESP_LOGO
262.598	0	L257	NaN	NaN	KEYRESP_LOGO
265.354	0	L404	0	1	STIM_LOGO
266.354	5	L404	0	1	RETENTION_LOGO
271.354	0	L404	NaN	NaN	VERBALRESP_LOGO
274.884	0	L404	NaN	NaN	KEYRESP_LOGO
279.354	0	L261	0	1	STIM_LOGO
280.354	5	L261	0	1	RETENTION_LOGO
285.354	0	L261	NaN	NaN	VERBALRESP_LOGO
289.505	0	L261	NaN	NaN	KEYRESP_LOGO
295.354	0	L207	0	1	STIM_LOGO
296.354	5	L207	0	1	RETENTION_LOGO
301.354	0	L207	NaN	NaN	VERBALRESP_LOGO
304.983	0	L207	NaN	NaN	KEYRESP_LOGO
307.354	0	L190	0	1	STIM_LOGO
308.354	5	L190	0	1	RETENTION_LOGO
313.354	0	L190	NaN	NaN	VERBALRESP_LOGO
317.258	0	L190	NaN	NaN	KEYRESP_LOGO
320.371	0	L260	0	1	STIM_LOGO
321.371	5	L260	0	1	RETENTION_LOGO
326.371	0	L260	NaN	NaN	VERBALRESP_LOGO
331.038	0	L260	NaN	NaN	KEYRESP_LOGO
339.388	0	L421	1	2	STIM_LOGO
340.388	5	L421	1	2	RETENTION_LOGO
345.388	0	L421	NaN	NaN	VERBALRESP_LOGO
350.054	0	L421	NaN	NaN	KEYRESP_LOGO
357.388	0	L81	0	1	STIM_LOGO
358.388	5	L81	0	1	RETENTION_LOGO
363.388	0	L81	NaN	NaN	VERBALRESP_LOGO
367.059	0	L81	NaN	NaN	KEYRESP_LOGO
375.388	0	L312	1	2	STIM_LOGO
376.388	5	L312	1	2	RETENTION_LOGO
381.388	0	L312	NaN	NaN	VERBALRESP_LOGO
385.757	0	L312	NaN	NaN	KEYRESP_LOGO
388.388	0	L329	1	2	STIM_LOGO
389.388	5	L329	1	2	RETENTION_LOGO
394.388	0	L329	NaN	NaN	VERBALRESP_LOGO
398.63	0	L329	NaN	NaN	KEYRESP_LOGO
406.388	0	L186	0	1	STIM_LOGO
407.388	5	L186	0	1	RETENTION_LOGO
412.388	0	L186	NaN	NaN	VERBALRESP_LOGO
416.1	0	L186	NaN	NaN	KEYRESP_LOGO
421.388	0	L21	1	2	STIM_LOGO
422.388	5	L21	1	2	RETENTION_LOGO
427.388	0	L21	NaN	NaN	VERBALRESP_LOGO
431.579	0	L21	NaN	NaN	KEYRESP_LOGO
435.388	0	L270	0	1	STIM_LOGO
436.388	5	L270	0	1	RETENTION_LOGO
441.388	0	L270	NaN	NaN	VERBALRESP_LOGO
445.467	0	L270	NaN	NaN	KEYRESP_LOGO
447.388	0	L276	0	1	STIM_LOGO
448.388	5	L276	0	1	RETENTION_LOGO
453.388	0	L276	NaN	NaN	VERBALRESP_LOGO
457.614	0	L276	NaN	NaN	KEYRESP_LOGO
466.388	0	L16	0	1	STIM_LOGO
467.388	5	L16	0	1	RETENTION_LOGO
472.388	0	L16	NaN	NaN	VERBALRESP_LOGO
476.254	0	L16	NaN	NaN	KEYRESP_LOGO
483.388	0	L109	1	2	STIM_LOGO
484.388	5	L109	1	2	RETENTION_LOGO
489.389	0	L109	NaN	NaN	VERBALRESP_LOGO
493.461	0	L109	NaN	NaN	KEYRESP_LOGO
502.389	0	L155	0	1	STIM_LOGO
